label,kind,level_bp,cr_bp
5y(2s20s30s),fly,52.35555032884423,4.0653517449663354
5y(3s5s7s),fly,0.41180028820156167,-0.15372660206293176
5y(3s5s10s),fly,-9.975332960058495,-1.5748978003579168
5y(3s5s15s),fly,-16.425262660725366,-4.8227724070420095
5y(3s5s20s),fly,-13.429574693293603,-6.608379697986493
5y(3s5s30s),fly,2.0091816181154627,-9.257943465997528
5y(3s7s10s),fly,7.954035872202326,-1.2542903474126206
5y(3s7s15s),fly,1.5041061715354545,-4.502164954096713
5y(3s7s20s),fly,4.499794138967218,-6.287772245041197
5y(3s7s30s),fly,19.938550450376283,-8.937336013052231
5y(3s10s15s),fly,22.278372668055567,-1.6598225575067431
5y(3s10s20s),fly,25.27406063548733,-3.4454298484512265
5y(3s10s30s),fly,40.712816946896396,-6.094993616462261
5y(3s15s20s),fly,38.17392003682107,3.050319364916959
5y(3s15s30s),fly,53.61267634823014,0.400755596905924
5y(3s20s30s),fly,47.62130041336661,3.9719701787948907
5y(5s7s10s),fly,-1.4224488321296462,-1.260867471822337
5y(5s7s15s),fly,-7.8723785327965174,-4.50874207850643
5y(5s7s20s),fly,-4.876690565364754,-6.294349369450913
5y(5s7s30s),fly,10.562065746044311,-8.943913137461948
5y(5s10s15s),fly,12.901887963723595,-1.6663996819164595
5y(5s10s20s),fly,15.897575931155359,-3.452006972860943
5y(5s10s30s),fly,31.336332242564424,-6.101570740871978
5y(5s15s20s),fly,28.7974353324891,3.0437422405072425
5y(5s15s30s),fly,44.23619164389817,0.39417847249620763
5y(5s20s30s),fly,38.24481570903464,3.9653930543851743
5y(7s10s15s),fly,3.9372035475931852,-1.8267034083891076
5y(7s10s20s),fly,6.932891515024949,-3.612310699333591
5y(7s10s30s),fly,22.371647826434014,-6.261874467344626
5y(7s15s20s),fly,19.83275091635869,2.8834385140345944
5y(7s15s30s),fly,35.271507227767756,0.2338747460235595
5y(7s20s30s),fly,29.28013129290423,3.805089327912526
5y(10s15s20s),fly,9.445617668098635,1.4622673157396093
5y(10s15s30s),fly,24.8843739795077,-1.1872964522714256
5y(10s20s30s),fly,18.892998044644173,2.383918129617541
5y(15s20s30s),fly,12.443068343977302,-0.8639564770665515
10y(2s3s5s),fly,-1.128049782679227,-1.1999374417283093
10y(2s3s7s),fly,-3.065363934770687,-3.254585569517019
10y(2s3s10s),fly,-1.4123051962804425,-5.9178432370446785
10y(2s3s15s),fly,7.912500083764883,-7.809737252478499
10y(2s3s20s),fly,19.932935463125375,-9.485023406431822
10y(2s3s30s),fly,44.41333921491787,-11.17861325658231
10y(2s5s7s),fly,6.604397687203857,0.8352050320549438
10y(2s5s10s),fly,8.257456425694102,-1.8280526354727158
10y(2s5s15s),fly,17.582261705739427,-3.719946650906536
10y(2s5s20s),fly,29.60269708509992,-5.395232804859859
10y(2s5s30s),fly,54.08310083689241,-7.088822655010347
10y(2s7s10s),fly,12.132084729877022,2.2812436201047035
10y(2s7s15s),fly,21.456890009922347,0.3893496046708833
10y(2s7s20s),fly,33.47732538928284,-1.2859365492824395
10y(2s7s30s),fly,57.95772914107533,-2.9795263994329275
10y(2s10s15s),fly,18.150772532941858,5.7158649397262025
10y(2s10s20s),fly,30.17120791230235,4.04057878577288
10y(2s10s30s),fly,54.651611664094844,2.3469889356223916
10y(2s15s20s),fly,11.5215973522117,7.82436681664052
10y(2s15s30s),fly,36.002001104004194,6.130776966490032
10y(2s20s30s),fly,11.961130345283209,9.481349274396678
10y(3s5s7s),fly,2.897566658895812,-0.009752827002728282
10y(3s5s10s),fly,4.550625397386057,-2.673010494530388
10y(3s5s15s),fly,13.875430677431382,-4.564904509964208
10y(3s5s20s),fly,25.895866056791874,-6.240190663917531
10y(3s5s30s),fly,50.37626980858437,-7.933780514068019
10y(3s7s10s),fly,8.425253701568977,1.4362857610470314
10y(3s7s15s),fly,17.750058981614302,-0.45560825438678876
10y(3s7s20s),fly,29.770494360974794,-2.1308944083401116
10y(3s7s30s),fly,54.25089811276729,-3.8244842584905996
10y(3s10s15s),fly,14.443941504633813,4.87090708066853
10y(3s10s20s),fly,26.464376883994305,3.1956209267152076
10y(3s10s30s),fly,50.9447806357868,1.5020310765647196
10y(3s15s20s),fly,7.814766323903655,6.979408957582848
10y(3s15s30s),fly,32.29517007569615,5.28581910743236
10y(3s20s30s),fly,8.254299316975164,8.636391415339006
10y(5s7s10s),fly,3.5903728905817047,-0.6086095397389499
10y(5s7s15s),fly,12.91517817062703,-2.50050355517277
10y(5s7s20s),fly,24.935613549987522,-4.175789709126093
10y(5s7s30s),fly,49.416017301780016,-5.869379559276581
10y(5s10s15s),fly,9.60906069364654,2.826011779882549
10y(5s10s20s),fly,21.629496073007033,1.1507256259292262
10y(5s10s30s),fly,46.10989982479953,-0.5428642242212618
