label,kind,level_bp,cr_bp,n_obs,rlzd_vol_bp,level_hist_bp,zs,rac
1y(3s7s),curve_fwd_start,13.147155331415036,-2.058807112865395,500,1.5948389115270822,13.590845360342314,-0.5184518740785262,-0.08132022402780077
1y(3s10s),curve_fwd_start,25.069158967702208,-2.638278468091187,500,2.226568288879998,25.719827932201895,-0.3963707388636137,-0.07464218485339107
1y(3s15s),curve_fwd_start,41.33127707771632,-1.6247452144660883,500,2.819008740587646,42.065262753063394,-0.25304555994915573,-0.036306850224707324
1y(3s20s),curve_fwd_start,47.03530468286425,1.0677701680754126,500,3.1567968801092374,47.55855601590844,-0.15106034061184412,0.021307420369389953
1y(3s30s),curve_fwd_start,41.77436199385659,3.5407040802538177,500,3.5256814812808392,42.477872851836935,-0.014165356096671062,0.06326249071184673
1y(5s7s),curve_fwd_start,7.523922902153743,-0.6985948872840595,500,0.6817742919816585,7.854131369349034,-0.3811895977696618,-0.06454825580955452
1y(5s10s),curve_fwd_start,19.445926538440915,-1.2780662425098512,500,1.3639263175906224,19.983113941208615,-0.26086155869807004,-0.059028559386606214
1y(5s15s),curve_fwd_start,35.70804464845503,-0.26453298888475274,500,1.9918352125000314,36.32854876207011,-0.11441855535724063,-0.008366159937153917
1y(5s20s),curve_fwd_start,41.41207225360296,2.427982393656748,500,2.3510285404898896,41.821842024915156,-0.009395281719539487,0.06505600067442066
1y(5s30s),curve_fwd_start,36.151129564595294,4.900916305835153,500,2.7460232909749793,36.741158860843655,0.13109361801904237,0.11242756357804629
1y(7s10s),curve_fwd_start,11.922003636287172,-0.5794713552257917,500,0.6930504215629258,12.12898257185958,-0.1539508584517399,-0.05267043074777042
1y(7s15s),curve_fwd_start,28.184121746301287,0.43406189839930676,500,1.3395437250772244,28.47441739272108,-0.000291351873874248,0.02041242024063339
1y(7s20s),curve_fwd_start,33.888149351449215,3.1265772809408077,500,1.7147442807168711,33.96771065556612,0.10925575827856507,0.11486019106975096
1y(7s30s),curve_fwd_start,28.62720666244155,5.599511193119213,500,2.1229642203948837,28.88702749149462,0.25430076168791893,0.1661526115925234
1y(10s15s),curve_fwd_start,16.262118110014114,1.0135332536250985,500,0.6757944679220248,16.3454348208615,0.14264266909420492,0.09447634852197366
1y(10s20s),curve_fwd_start,21.966145715162043,3.7060486361665994,500,1.0738891043546193,21.838728083706542,0.25712166417695764,0.21739592943616723
1y(10s30s),curve_fwd_start,16.70520302615438,6.1789825483450045,500,1.4878574488529912,16.75804491963504,0.40641249453976597,0.2616106227581199
1y(15s20s),curve_fwd_start,5.704027605147928,2.692515382541501,500,0.44965126552864243,5.493293262845043,0.4314444464220869,0.37720904904496155
1y(15s30s),curve_fwd_start,0.4430849161402648,5.165449294719906,500,0.8440109513727957,0.41261009877354127,0.5833067584825887,0.3855313957240244
1y(20s30s),curve_fwd_start,-5.260942689007663,2.472933912178405,500,0.4640973392426636,-5.080683164071502,0.7019979794642675,0.33566276003952644
2y(1s2s),curve_fwd_start,1.7469365392993836,-2.432953348560943,500,0.7435331605656457,1.2532360629160166,-0.8690197577321906,-0.2061261866575225
2y(1s3s),curve_fwd_start,4.794259343356941,-4.566573337472846,500,1.2356797041387615,4.252819357999613,-0.79700615731994,-0.23280068440266424
2y(1s5s),curve_fwd_start,13.06990397286313,-7.218985537717742,500,1.8238086614502897,12.907434971011071,-0.6498818781836654,-0.24934268253182182
2y(1s7s),curve_fwd_start,21.609336325151332,-8.234494987852202,500,2.2707279409582597,21.715547774488982,-0.5332565719197855,-0.22843970740555067
2y(1s10s),curve_fwd_start,34.24165843887846,-8.944813465292157,500,2.724761682952487,34.44790289152064,-0.4158563025228131,-0.2067961716142707
2y(1s15s),curve_fwd_start,49.06305817899579,-7.504095095395371,500,3.1787351598637548,49.21115499923354,-0.27213529501824224,-0.14871121192869918
2y(1s20s),curve_fwd_start,52.34570095686962,-5.082710268121275,500,3.4433698011789433,52.335761598715806,-0.16457862477219512,-0.09298468355481809
2y(1s30s),curve_fwd_start,44.718867697553264,-2.716819697812582,500,3.7250736257851753,44.93860444114807,-0.034550539288698445,-0.04594367022425306
2y(2s3s),curve_fwd_start,3.0473228040575577,-2.133619988911903,500,0.5434480068134683,2.999583295083596,-0.69651921079013,-0.2473197511078671
2y(2s5s),curve_fwd_start,11.322967433563747,-4.786032189156799,500,1.2234749871029436,11.654198908095054,-0.5413835308289037,-0.24642243789868912
2y(2s7s),curve_fwd_start,19.86239978585195,-5.801541639291258,500,1.7287441457423256,20.462311711572966,-0.4253531847995451,-0.21140362053539802
2y(2s10s),curve_fwd_start,32.494721899579076,-6.511860116731214,500,2.225605648550152,33.194666828604625,-0.3123739656943556,-0.1843132586504019
2y(2s15s),curve_fwd_start,47.316121639696405,-5.071141746834428,500,2.7118153935818694,47.957918936317526,-0.16916093202588914,-0.11780001829731858
2y(2s20s),curve_fwd_start,50.59876441757024,-2.649756919560332,500,2.9938606939819086,51.08252553579979,-0.06121320012025495,-0.05575376189665747
2y(2s30s),curve_fwd_start,42.97193115825388,-0.2838663492516389,500,3.2961769742795974,43.685368378232056,0.06837053327054132,-0.005425042199754167
2y(3s5s),curve_fwd_start,8.27564462950619,-2.652412200244896,500,0.7914590351244811,8.654615613011458,-0.44839643846920363,-0.21111170108573182
2y(3s7s),curve_fwd_start,16.81507698179439,-3.6679216503793555,500,1.3237139194894496,17.46272841648937,-0.33582724642277384,-0.1745523275098941
2y(3s10s),curve_fwd_start,29.44739909552152,-4.378240127819311,500,1.8408769882524003,30.19508353352103,-0.228484339318589,-0.14982163693168574
2y(3s15s),curve_fwd_start,44.26879883563885,-2.937521757922525,500,2.3459678744018544,44.95833564123393,-0.08525039309813112,-0.07887852140554219
2y(3s20s),curve_fwd_start,47.55144161351268,-0.5161369306484289,500,2.6390955042354367,48.08294224071619,0.023589159429180204,-0.012319967370136905
2y(3s30s),curve_fwd_start,39.92460835419632,1.849753639660264,500,2.9540176031264718,40.68578508314846,0.1532260823903645,0.03944577936113939
2y(5s7s),curve_fwd_start,8.539432352288202,-1.0155094501344593,500,0.5845537078240953,8.808112803477911,-0.19309354796418765,-0.10943576527373101
2y(5s10s),curve_fwd_start,21.17175446601533,-1.7258279275744144,500,1.120415077982871,21.54046792050957,-0.09741273317006376,-0.09703273604704839
2y(5s15s),curve_fwd_start,35.99315420613266,-0.2851095576776288,500,1.6454731320782325,36.30372002822247,0.05221727955135884,-0.010914923861586276
2y(5s20s),curve_fwd_start,39.27579698400649,2.1362752695964673,500,1.9560261562616892,39.428326627704735,0.16594717036208242,0.0687990251639261
2y(5s30s),curve_fwd_start,31.648963724690134,4.50216583990516,500,2.2887307925152856,32.031169470137,0.29777501972860443,0.1239157487521572
2y(7s10s),curve_fwd_start,12.632322113727128,-0.7103184774399551,500,0.5616793261130815,12.73235511703166,-0.011853364509740035,-0.0796644207565326
