windows,ewma_short_spans,ewma_long_spans,retrain_label,retrain_every,svm_c,svm_gamma,z_threshold,total_pnl,sharpe,max_drawdown,n_trades,win_rate,exposure_bars,error
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,0.01,1.25,-74279.36181509984,-0.41986921082215356,-141528.63834823432,21.0,0.5126050420168067,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,0.01,1.25,-72265.86220835915,-0.39742599932677963,-159286.2038242387,15.0,0.5275590551181102,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,0.01,1.25,99818.19567683079,0.6025331261634103,-86240.14717333722,7.0,0.5576923076923077,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,0.01,1.25,-49398.32538229038,-0.27963154859033185,-110098.98070040048,17.0,0.5126050420168067,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,0.01,1.25,-20360.09671681294,-0.11233242957125932,-130467.00337384261,15.0,0.5275590551181102,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,0.01,1.25,92299.88435477608,0.5580482333636346,-93758.45849539193,7.0,0.5480769230769231,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,0.01,1.75,2932.222698903558,0.04460010744363657,-43118.567429765055,2.0,0.5833333333333334,11,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,0.01,1.75,22998.053079454734,0.4027664801501046,-26725.364295680287,5.0,0.5555555555555556,7,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,0.01,1.75,29850.916783307996,0.5141747760139576,-26725.364295680287,7.0,0.5454545454545454,8,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,0.01,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,0.01,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,0.1,1.25,-93342.9424125353,-0.5265879123813699,-130549.88246187432,17.0,0.48739495798319327,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,0.1,1.25,-87196.80605744007,-0.5620914214717387,-108080.84210503992,15.0,0.4567901234567901,74,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,0.1,1.25,102669.95630216239,0.6211609541085413,-114889.795368213,3.0,0.5192307692307693,104,
