windows,svr_c,svr_gamma,signal_threshold,retrain_every,total_pnl,sharpe,max_drawdown,n_trades,win_rate
matlab_hourly,10.0,0.1,0.0001,48,-6064950.617388705,-1.1783482539383103,-7957800.721243228,79.0,0.48852988691437804
fast,10.0,0.1,0.0001,48,-3190685.854737903,-0.6277363330726242,-4727123.080420108,83.0,0.49640287769784175
slow,10.0,0.1,0.0001,48,-8427246.49698656,-1.643795993273686,-8663800.696041752,71.0,0.4959234314073024
matlab_hourly,10.0,0.1,0.0001,96,-2898340.6580240023,-0.5534771390572107,-5170781.94908166,49.0,0.49018977163074945
fast,10.0,0.1,0.0001,96,244140.4384324425,0.04686499804335497,-5170781.949081658,65.0,0.49388280746941404
slow,10.0,0.1,0.0001,96,64003.49090254462,0.013034094941005324,-5170781.949081659,49.0,0.49407114624505927
matlab_hourly,10.0,0.1,0.0005,24,-3859900.4169953503,-0.9408081614132897,-5635141.24938318,123.0,0.48956356736242884
fast,10.0,0.1,0.0005,24,-468185.2785822136,-0.12083848949846361,-4212631.721879532,113.0,0.49298352654057354
slow,10.0,0.1,0.0005,24,-923465.045958567,-0.279243592449811,-3659832.7666193196,97.0,0.494550408719346
matlab_hourly,10.0,0.1,0.0005,48,-3413429.7763666995,-0.7852755081271553,-5109166.570467722,65.0,0.48559670781893005
fast,10.0,0.1,0.0005,48,-2976114.7435178747,-0.6905120663903669,-4873946.915499829,67.0,0.488232074438971
slow,10.0,0.1,0.0005,48,-6863232.445919283,-1.6386577262746096,-7099786.644974477,65.0,0.4916267942583732
matlab_hourly,10.0,0.1,0.0005,96,-4101918.4691964053,-1.0020763522782499,-6191960.469125995,43.0,0.4750554323725055
fast,10.0,0.1,0.0005,96,-3928180.5261845216,-0.9563473292222968,-6257949.330346501,41.0,0.48471121177802945
slow,10.0,0.1,0.0005,96,-2615526.0667449706,-0.6784147447665524,-5440476.258680786,39.0,0.4904109589041096
matlab_hourly,10.0,0.5,0.0,24,-709257.2745729944,-0.13203139506502887,-8186892.931349072,143.0,0.4974512743628186
fast,10.0,0.5,0.0,24,1644748.4829106731,0.30591722064606247,-5188628.737241883,189.0,0.5022475277195085
slow,10.0,0.5,0.0,24,-3537922.120497624,-0.6590538432237948,-5752681.513047995,155.0,0.5025487256371814
matlab_hourly,10.0,0.5,0.0,48,-7370486.040889865,-1.3711546834811474,-7607040.239945059,107.0,0.487256371814093
fast,10.0,0.5,0.0,48,-163052.82816896512,-0.03041875546445834,-4321036.529760985,109.0,0.4907074340527578
slow,10.0,0.5,0.0,48,-5996757.165544044,-1.1163182555231175,-8461136.996096022,99.0,0.49325337331334335
matlab_hourly,10.0,0.5,0.0,96,-2767807.0423513646,-0.5157396433200877,-7189450.831691522,51.0,0.4916016796640672
fast,10.0,0.5,0.0,96,-1009601.992802121,-0.18819790377457443,-5922482.448580306,85.0,0.49415292353823087
slow,10.0,0.5,0.0,96,-2760517.14954232,-0.514969746333691,-7093403.63116901,51.0,0.49385307346326834
matlab_hourly,10.0,0.5,0.0001,24,-3001026.892958959,-0.6195380462901814,-8418647.969741248,155.0,0.4906354515050167
fast,10.0,0.5,0.0001,24,1997864.2574052608,0.394269720720217,-5240923.657301075,175.0,0.49930891499654456
slow,10.0,0.5,0.0001,24,-4249856.819541231,-0.815036835556609,-5752681.513047995,135.0,0.49783116449783116
matlab_hourly,10.0,0.5,0.0001,48,-6726919.242282052,-1.2959336844276532,-7011623.96035415,107.0,0.4825719120135364
fast,10.0,0.5,0.0001,48,-1008829.4044173032,-0.19878976653062558,-4320860.332364182,99.0,0.4868555821099351
slow,10.0,0.5,0.0001,48,-7780049.91929358,-1.4957281603661234,-9941937.848593077,95.0,0.49097472924187724
matlab_hourly,10.0,0.5,0.0001,96,-2919372.7203903818,-0.5624410765381208,-6705356.242643729,67.0,0.4886101023440079
fast,10.0,0.5,0.0001,96,763670.4748955242,0.1503785870447407,-5170781.949081659,81.0,0.49516908212560384
slow,10.0,0.5,0.0001,96,-4093143.206517726,-0.7786899990862313,-8021265.183387978,51.0,0.4925465838509317
matlab_hourly,10.0,0.5,0.0005,24,-3481602.2333884686,-0.9686357764654087,-5543412.694842938,117.0,0.4748062015503876
