mode,pca_window_days,pca_input,zscore_lookback_days,min_zscore_belly,min_zscore_wing,max_adf_pvalue,max_half_life_days,n_trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_days,sharpe,max_loss,mr_exits,sl_exits,mh_exits
spot,260,levels,130,2.0,0.5,0.2,60.0,11,-10627660.858701155,-966150.9871546506,-1088263.7256296258,0.2727272727272727,1.0,-2.5694486980153974,-11451780.016754935,7,4,0
spot,260,levels,130,2.0,0.5,0.2,120.0,11,-10627660.858701155,-966150.9871546506,-1088263.7256296258,0.2727272727272727,1.0,-2.5694486980153974,-11451780.016754935,7,4,0
spot,260,levels,130,2.0,0.5,0.5,60.0,11,-10627660.858701155,-966150.9871546506,-1088263.7256296258,0.2727272727272727,1.0,-2.5694486980153974,-11451780.016754935,7,4,0
spot,260,levels,130,2.0,0.5,0.5,120.0,11,-10627660.858701155,-966150.9871546506,-1088263.7256296258,0.2727272727272727,1.0,-2.5694486980153974,-11451780.016754935,7,4,0
spot,260,changes,130,1.0,0.0,0.1,60.0,383,750859568.7410035,1960468.8478877402,1690487.4378059963,0.6684073107049608,1.0052219321148825,6.364945557147989,-17110509.18103894,191,192,0
spot,260,changes,130,1.0,0.0,0.1,120.0,383,750859568.7410035,1960468.8478877402,1690487.4378059963,0.6684073107049608,1.0052219321148825,6.364945557147989,-17110509.18103894,191,192,0
spot,260,changes,130,1.0,0.0,0.2,60.0,399,773903416.2861811,1939607.5596144919,1690487.4378059963,0.6691729323308271,1.005012531328321,6.412088597941825,-17110509.18103894,200,199,0
spot,260,changes,130,1.0,0.0,0.2,120.0,399,773903416.2861811,1939607.5596144919,1690487.4378059963,0.6691729323308271,1.005012531328321,6.412088597941825,-17110509.18103894,200,199,0
spot,260,changes,130,1.0,0.0,0.5,60.0,401,783640482.1842136,1954215.6662948001,1704769.5194415601,0.6708229426433915,1.0049875311720697,6.467056896715834,-17110509.18103894,201,200,0
spot,260,changes,130,1.0,0.0,0.5,120.0,401,783640482.1842136,1954215.6662948001,1704769.5194415601,0.6708229426433915,1.0049875311720697,6.467056896715834,-17110509.18103894,201,200,0
spot,260,changes,130,1.0,0.25,0.1,60.0,302,653599642.5525953,2164237.2269953503,1798980.8525260752,0.6854304635761589,1.0033112582781456,6.698199810536133,-17110509.18103894,150,152,0
spot,260,changes,130,1.0,0.25,0.1,120.0,302,653599642.5525953,2164237.2269953503,1798980.8525260752,0.6854304635761589,1.0033112582781456,6.698199810536133,-17110509.18103894,150,152,0
spot,260,changes,130,1.0,0.25,0.2,60.0,307,661720391.5343826,2155441.014769977,1791921.6248264622,0.6872964169381107,1.003257328990228,6.722406217662288,-17110509.18103894,151,156,0
spot,260,changes,130,1.0,0.25,0.2,120.0,307,661720391.5343826,2155441.014769977,1791921.6248264622,0.6872964169381107,1.003257328990228,6.722406217662288,-17110509.18103894,151,156,0
spot,260,changes,130,1.0,0.25,0.5,60.0,309,671457457.432415,2173001.4803638044,1806040.0802256882,0.6893203883495146,1.0032362459546926,6.788723941346655,-17110509.18103894,152,157,0
spot,260,changes,130,1.0,0.25,0.5,120.0,309,671457457.432415,2173001.4803638044,1806040.0802256882,0.6893203883495146,1.0032362459546926,6.788723941346655,-17110509.18103894,152,157,0
spot,260,changes,130,1.0,0.5,0.1,60.0,206,459741607.70243853,2231755.377196305,1501138.6305566952,0.6893203883495146,1.0048543689320388,7.452365666923801,-17110509.18103894,101,105,0
spot,260,changes,130,1.0,0.5,0.1,120.0,206,459741607.70243853,2231755.377196305,1501138.6305566952,0.6893203883495146,1.0048543689320388,7.452365666923801,-17110509.18103894,101,105,0
spot,260,changes,130,1.0,0.5,0.2,60.0,207,461417963.47765154,2229072.2873316514,1513092.880776854,0.6908212560386473,1.0048309178743962,7.4612907220766065,-17110509.18103894,101,106,0
spot,260,changes,130,1.0,0.5,0.2,120.0,207,461417963.47765154,2229072.2873316514,1513092.880776854,0.6908212560386473,1.0048309178743962,7.4612907220766065,-17110509.18103894,101,106,0
spot,260,changes,130,1.0,0.5,0.5,60.0,207,461417963.47765154,2229072.2873316514,1513092.880776854,0.6908212560386473,1.0048309178743962,7.4612907220766065,-17110509.18103894,101,106,0
spot,260,changes,130,1.0,0.5,0.5,120.0,207,461417963.47765154,2229072.2873316514,1513092.880776854,0.6908212560386473,1.0048309178743962,7.4612907220766065,-17110509.18103894,101,106,0
spot,260,changes,130,1.5,0.0,0.1,60.0,190,588306409.8446912,3096349.525498377,2139004.6112245354,0.7315789473684211,1.0,8.248526509774852,-17110509.18103894,88,102,0
spot,260,changes,130,1.5,0.0,0.1,120.0,190,588306409.8446912,3096349.525498377,2139004.6112245354,0.7315789473684211,1.0,8.248526509774852,-17110509.18103894,88,102,0
spot,260,changes,130,1.5,0.0,0.2,60.0,199,606737921.8803807,3048934.280805935,2188228.139053636,0.7336683417085427,1.0,8.293134341872248,-17110509.18103894,91,108,0
spot,260,changes,130,1.5,0.0,0.2,120.0,199,606737921.8803807,3048934.280805935,2188228.139053636,0.7336683417085427,1.0,8.293134341872248,-17110509.18103894,91,108,0
spot,260,changes,130,1.5,0.0,0.5,60.0,199,606737921.8803807,3048934.280805935,2188228.139053636,0.7336683417085427,1.0,8.293134341872248,-17110509.18103894,91,108,0
spot,260,changes,130,1.5,0.0,0.5,120.0,199,606737921.8803807,3048934.280805935,2188228.139053636,0.7336683417085427,1.0,8.293134341872248,-17110509.18103894,91,108,0
spot,260,changes,130,1.5,0.25,0.1,60.0,162,540749636.9676073,3337960.72202227,2259006.779249082,0.7345679012345679,1.0,8.515370420815657,-17110509.18103894,74,88,0
spot,260,changes,130,1.5,0.25,0.1,120.0,162,540749636.9676073,3337960.72202227,2259006.779249082,0.7345679012345679,1.0,8.515370420815657,-17110509.18103894,74,88,0
spot,260,changes,130,1.5,0.25,0.2,60.0,166,547130177.3693491,3295964.923911744,2259006.779249082,0.7349397590361446,1.0,8.498388323201016,-17110509.18103894,74,92,0
spot,260,changes,130,1.5,0.25,0.2,120.0,166,547130177.3693491,3295964.923911744,2259006.779249082,0.7349397590361446,1.0,8.498388323201016,-17110509.18103894,74,92,0
spot,260,changes,130,1.5,0.25,0.5,60.0,166,547130177.3693491,3295964.923911744,2259006.779249082,0.7349397590361446,1.0,8.498388323201016,-17110509.18103894,74,92,0
spot,260,changes,130,1.5,0.25,0.5,120.0,166,547130177.3693491,3295964.923911744,2259006.779249082,0.7349397590361446,1.0,8.498388323201016,-17110509.18103894,74,92,0
spot,260,changes,130,1.5,0.5,0.1,60.0,111,334699249.15846086,3015308.550977125,1791661.828392319,0.7027027027027027,1.0,8.135161967263594,-17110509.18103894,50,61,0
spot,260,changes,130,1.5,0.5,0.1,120.0,111,334699249.15846086,3015308.550977125,1791661.828392319,0.7027027027027027,1.0,8.135161967263594,-17110509.18103894,50,61,0
spot,260,changes,130,1.5,0.5,0.2,60.0,112,336375604.93367374,3003353.615479231,1734008.8018026534,0.7053571428571429,1.0,8.137444856715017,-17110509.18103894,50,62,0
spot,260,changes,130,1.5,0.5,0.2,120.0,112,336375604.93367374,3003353.615479231,1734008.8018026534,0.7053571428571429,1.0,8.137444856715017,-17110509.18103894,50,62,0
spot,260,changes,130,1.5,0.5,0.5,60.0,112,336375604.93367374,3003353.615479231,1734008.8018026534,0.7053571428571429,1.0,8.137444856715017,-17110509.18103894,50,62,0
spot,260,changes,130,1.5,0.5,0.5,120.0,112,336375604.93367374,3003353.615479231,1734008.8018026534,0.7053571428571429,1.0,8.137444856715017,-17110509.18103894,50,62,0
spot,260,changes,130,2.0,0.0,0.1,60.0,72,156056222.63894567,2167447.536652023,1715926.296910106,0.6527777777777778,1.0,5.803861366694735,-17110509.18103894,30,42,0
spot,260,changes,130,2.0,0.0,0.1,120.0,72,156056222.63894567,2167447.536652023,1715926.296910106,0.6527777777777778,1.0,5.803861366694735,-17110509.18103894,30,42,0
spot,260,changes,130,2.0,0.0,0.2,60.0,75,162425572.0777942,2165674.2943705893,1715926.296910106,0.6666666666666666,1.0,5.918312844953513,-17110509.18103894,31,44,0
