basis,ma,zscore_window,entry_min_zscore,exit_style,config,n_trades,total_net_bp,hit_rate,avg_net_bp,sharpe,max_dd_bp,avg_hold_days,worst_bp
skew,5,60,1.5,half,skew|ma5|w60|z1.5|half|lag1,11,0.7249999999999996,0.45454545454545453,0.06590909090909088,0.04476674692278756,-26.41786208152612,6.636363636363637,-5.687
skew,5,60,1.5,t10,skew|ma5|w60|z1.5|t10|lag1,11,-19.143,0.2727272727272727,-1.7402727272727274,-0.7798299680895943,-36.85946351790809,10.0,-7.373
skew,5,60,2.0,z0,skew|ma5|w60|z2.0|z0|lag1,4,0.0480000000000001,0.75,0.012000000000000025,0.004328253833800928,-17.839239490276046,14.25,-3.098
skew,5,60,2.0,half,skew|ma5|w60|z2.0|half|lag1,4,3.2119999999999993,0.5,0.8029999999999998,0.37271907520862574,-13.761801060817556,10.5,-5.687
skew,5,60,2.0,t10,skew|ma5|w60|z2.0|t10|lag1,4,1.7089999999999996,0.5,0.4272499999999999,0.19790574067138408,-17.839239490276046,10.0,-3.079
skew,5,60,2.5,z0,skew|ma5|w60|z2.5|z0|lag1,3,-2.731,0.6666666666666666,-0.9103333333333333,-0.33991745556309927,-8.278733674023275,14.0,-3.098
skew,5,60,2.5,half,skew|ma5|w60|z2.5|half|lag1,3,-4.662000000000001,0.3333333333333333,-1.5540000000000003,-0.7501252498937891,-11.566298539451632,9.333333333333334,-5.687
skew,5,60,2.5,t10,skew|ma5|w60|z2.5|t10|lag1,3,-5.969000000000001,0.3333333333333333,-1.9896666666666671,-0.8888867348674739,-10.904852291017004,10.0,-4.166
skew,5,120,1.5,z0,skew|ma5|w120|z1.5|z0|lag1,7,-2.1450000000000005,0.2857142857142857,-0.3064285714285715,-0.10941047957084842,-18.083769408571317,11.142857142857142,-3.942
skew,5,120,1.5,half,skew|ma5|w120|z1.5|half|lag1,7,-4.186000000000002,0.2857142857142857,-0.5980000000000002,-0.407534786940304,-17.53248076488921,7.142857142857143,-5.328
skew,5,120,1.5,t10,skew|ma5|w120|z1.5|t10|lag1,7,-5.2250000000000005,0.42857142857142855,-0.7464285714285716,-0.37925741011200914,-24.90948443643027,10.0,-7.373
skew,5,120,2.0,z0,skew|ma5|w120|z2.0|z0|lag1,4,4.02,0.5,1.005,0.3710376724109653,-12.921359614398868,10.5,-1.227
skew,5,120,2.0,half,skew|ma5|w120|z2.0|half|lag1,4,3.058,0.5,0.7645,0.49650572144583843,-12.363833264201336,8.0,-5.166
skew,5,120,2.0,t10,skew|ma5|w120|z2.0|t10|lag1,4,-6.1930000000000005,0.5,-1.5482500000000001,-0.7774864957538168,-19.13494624651147,10.0,-7.373
skew,5,120,2.5,z0,skew|ma5|w120|z2.5|z0|lag1,0,0.0,,,,0.0,,
skew,5,120,2.5,half,skew|ma5|w120|z2.5|half|lag1,0,0.0,,,,0.0,,
skew,5,120,2.5,t10,skew|ma5|w120|z2.5|t10|lag1,0,0.0,,,,0.0,,
skew,10,60,1.5,z0,skew|ma10|w60|z1.5|z0|lag1,11,-3.7860000000000005,0.6363636363636364,-0.3441818181818182,-0.12576156769093202,-25.893525562173608,12.545454545454545,-9.448
skew,10,60,1.5,half,skew|ma10|w60|z1.5|half|lag1,11,-11.568999999999999,0.36363636363636365,-1.0517272727272726,-0.5707561147969576,-26.639467952779814,9.0,-5.587
skew,10,60,1.5,t10,skew|ma10|w60|z1.5|t10|lag1,12,-23.323,0.5,-1.9435833333333334,-0.9043385370143546,-38.2346963682793,9.833333333333334,-13.295
skew,10,60,2.0,z0,skew|ma10|w60|z2.0|z0|lag1,5,10.206999999999999,0.8,2.0414,0.7275452827739739,-10.041090251439355,15.2,-2.937
skew,10,60,2.0,half,skew|ma10|w60|z2.0|half|lag1,5,16.587000000000003,1.0,3.3174000000000006,1.7798653339637172,-8.053558887470444,12.2,0.018
skew,10,60,2.0,t10,skew|ma10|w60|z2.0|t10|lag1,5,14.466000000000001,1.0,2.8932,1.8652752395708003,-9.513730964894282,10.0,1.276
skew,10,60,2.5,z0,skew|ma10|w60|z2.5|z0|lag1,3,-4.369,0.0,-1.4563333333333333,-0.5039159662123175,-10.596155228281061,15.0,-2.686
skew,10,60,2.5,half,skew|ma10|w60|z2.5|half|lag1,3,1.7390000000000003,0.6666666666666666,0.5796666666666668,0.3331735017518532,-6.791975808002624,11.333333333333334,-0.416
skew,10,60,2.5,t10,skew|ma10|w60|z2.5|t10|lag1,3,-1.2650000000000006,0.6666666666666666,-0.42166666666666686,-0.24912416669211268,-10.30181676737782,10.0,-4.166
skew,10,120,1.5,z0,skew|ma10|w120|z1.5|z0|lag1,8,8.426000000000002,0.5,1.0532500000000002,0.2945770856848456,-17.806644396439346,13.875,-3.581
skew,10,120,1.5,half,skew|ma10|w120|z1.5|half|lag1,8,12.2,0.625,1.525,0.6114326902621074,-12.379061969752927,10.25,-1.651
skew,10,120,1.5,t10,skew|ma10|w120|z1.5|t10|lag1,8,-5.066000000000001,0.625,-0.6332500000000001,-0.2889823070145819,-29.205362931656655,10.0,-13.295
skew,10,120,2.0,z0,skew|ma10|w120|z2.0|z0|lag1,4,3.763,0.25,0.94075,0.3504703753928706,-10.041090251439355,14.5,-1.39
skew,10,120,2.0,half,skew|ma10|w120|z2.0|half|lag1,4,1.9940000000000002,0.5,0.49850000000000005,0.24638387118565983,-11.036917082034066,11.5,-1.39
skew,10,120,2.0,t10,skew|ma10|w120|z2.0|t10|lag1,4,-2.5570000000000004,0.5,-0.6392500000000001,-0.33778904922376135,-15.396288494378636,10.0,-4.166
skew,10,120,2.5,z0,skew|ma10|w120|z2.5|z0|lag1,1,-2.686,0.0,-2.686,-0.5770677493796122,-10.041090251439355,20.0,-2.686
skew,10,120,2.5,half,skew|ma10|w120|z2.5|half|lag1,1,0.092,1.0,0.092,0.045370738604860114,-6.136067861237846,10.0,0.092
skew,10,120,2.5,t10,skew|ma10|w120|z2.5|t10|lag1,1,0.092,1.0,0.092,0.045370738604860114,-6.136067861237846,10.0,0.092
