clock,split,scope,bucket,n_obs,n_days,n_clusters,sum_beta_kneg,se_cluster_kneg,t_cluster_kneg,se_nw_kneg,t_nw_kneg,sum_beta_kpos,se_cluster_kpos,t_cluster_kpos,se_nw_kpos,t_nw_kpos,diff_pos_minus_neg,se_cluster_diff,t_cluster_diff,se_nw_diff,t_nw_diff,beta_k0,se_cluster_k0,t_cluster_k0,abs_ratio_pos_over_neg,post_print_share,centroid_absbeta_D2
exec,nonblock,bucket,TY_UXY,86340,67,67,-0.007403699035512032,0.004819079511095395,-1.5363305416451085,,,-0.0015442675375261384,0.0014927765653160894,-1.034493422127876,,,0.005859431497985895,0.0035179108147191623,1.6655997853810451,,,-0.00036324296614098455,0.00019548158385564502,-1.8581953295877953,0.20858053928435227,0.17258306956345743,-0.9567410806756339
exec,nonblock,bucket,US,86339,67,67,-0.12119639070925367,0.02610526236757684,-4.642603816914001,,,0.03833535176012025,0.03450716567690668,1.1109388733649461,,,0.15953174246937393,0.03742648980563989,4.262535527585964,,,-0.003025939644844495,0.00417370892474363,-0.725000161584187,0.3163077013744209,0.24029921046891137,-0.5584993892552237
exec,D2C,pooled,POOLED,402946,67,67,-0.012325241695262694,0.009407669166250134,-1.3101270333229091,,,-0.004130461122538715,0.002755736136296296,-1.4988594401821238,,,0.008194780572723978,0.007026440289996596,1.1662776931856553,,,-0.0008656554439153504,0.000506662967226885,-1.7085429563824972,0.33512211968437833,0.25100484423372516,-2.78000408500985
exec,D2C,bucket,SFR_FF,57600,44,44,-0.11803128506477026,0.04544496591445126,-2.5972356385294795,,,-0.02557386111805575,0.036227012512027076,-0.7059334829104507,,,0.09245742394671452,0.05988238145628967,1.5439837511172223,,,-0.00030771948466725037,0.003587988110085814,-0.08576379721054611,0.21667019133123872,0.17808457285714024,-3.00893749682718
exec,D2C,bucket,TU,86331,67,67,-0.006509835837730859,0.013740702952140929,-0.47376294068831215,,,-0.019033647323986394,0.008424313416850876,-2.2593707501330633,,,-0.012523811486255535,0.020080092923936657,-0.6236929048932045,,,-0.002225172519521412,0.0015847612112324233,-1.404105870177728,2.9238290793245216,0.7451469012069843,1.5065245499845026
exec,D2C,bucket,FV,86336,67,67,-0.052372189217803844,0.03296259456640393,-1.5888369804233349,,,0.016974231473972166,0.012768101851955541,1.3294248174698278,,,0.06934642069177602,0.04256921841678417,1.6290273411370444,,,-0.004450641290043732,0.00279949857423652,-1.5897994487307472,0.32410773212821514,0.244774442640919,-0.4604135403413826
exec,D2C,bucket,TY_UXY,86340,67,67,-0.0056697434828362255,0.003273105444404764,-1.7322214573100336,,,-0.0024299650143029972,0.0022689517655687832,-1.0709637160108827,,,0.0032397784685332287,0.001456922554711863,2.2237135790474207,,,-0.0003665689950653483,0.00018149551252976464,-2.019713820776876,0.42858464790499384,0.300006477413508,0.28953278808823546
exec,D2C,bucket,US,86339,67,67,-0.080085316134924,0.02568860625968896,-3.117542280236331,,,-0.027663901969070794,0.036617616132850875,-0.7554806918261561,,,0.052421414165853206,0.04093520334074482,1.2805949375528227,,,-0.0064764643356225535,0.004233803749915542,-1.5297034813556836,0.345430389791606,0.2567434126748912,-2.0966120944369075
exec,IDB,pooled,POOLED,402946,67,67,-0.058107797106278045,0.009094984665506513,-6.388993411572941,,,0.011931695143817714,0.006358799830696019,1.876406784534952,,,0.07003949225009576,0.010378372041524305,6.74860103009073,,,0.0011549261093454304,0.002063560630681444,0.5596763633564972,0.20533724797714964,0.17035667679046318,-2.817556978107578
exec,IDB,bucket,SFR_FF,57600,44,44,-0.09626998843313263,0.037404409468407014,-2.573760414917001,,,0.011177935774396833,0.01882960891058635,0.5936361093571303,,,0.10744792420752947,0.0460420072015737,2.333693310483148,,,0.0005845477713431746,0.0052599426296106346,0.11113196711547509,0.11611028479722757,0.10403119331377025,-3.186216697944113
exec,IDB,bucket,TU,86331,67,67,-0.010102055294558184,0.009738556471774759,-1.037325739583372,,,-0.0056900710343030115,0.010570589709147392,-0.5382926772173399,,,0.004411984260255171,0.017232745113385448,0.25602329931916556,,,0.0021321713603815874,0.0021765402780918306,0.9796149337750177,0.5632587496693037,0.3603106330212174,4.108068568444492
exec,IDB,bucket,FV,86336,67,67,-0.11076915986105001,0.015980016191374912,-6.931730139349721,,,0.020953188100850666,0.013199444026380052,1.587429596199218,,,0.1317223479619007,0.023490448165564483,5.60748552064653,,,-0.006933229844722835,0.0032712144930453603,-2.119466595499305,0.18916084700050595,0.15907086705523316,-0.15451891994687306
exec,IDB,bucket,TY_UXY,86340,67,67,-0.09925022837598241,0.026352603709228685,-3.766239931017707,,,-0.0013286119075276766,0.010556663828505362,-0.12585528241792887,,,0.09792161646845474,0.029958888504495372,3.2685330249739226,,,0.0016283776547019646,0.004505939489497471,0.36138471421940266,0.01338648715743598,0.013209656263510356,-3.3302149367501506
exec,IDB,bucket,US,86339,67,67,-0.06416925626071987,0.025272634064664488,-2.539080655246759,,,0.059974757885103334,0.012348334813580355,4.856910570577076,,,0.1241440141458232,0.025976232748451,4.779138505110064,,,0.006138142344357696,0.005346654737759549,1.148034171910979,0.93463383214893,0.48310632049206353,0.490509154826987
diss,all,pooled,POOLED,402946,67,67,-0.1074631232794309,0.018225391928345148,-5.896340868933428,0.01189932705416827,-9.031025266406738,0.007613974594867692,0.012802814179332515,0.5947110133925768,0.011914652166848587,0.6390429605702523,0.1150770978742986,0.022197305589264575,5.184282272977945,0.018093249235500805,6.360222886252269,-0.001346398876753129,0.0021512575477356643,-0.6258659629900194,0.07085197565931023,0.06616411723542608,-6.462887047571058
diss,all,bucket,SFR_FF,57600,44,44,-0.13246264877063096,0.03932452719934111,-3.3684486045861575,0.031460169513386066,-4.2104874455386865,-0.008525523383045576,0.04639325626950133,-0.18376643651655483,0.029326100604361336,-0.2907145241729708,0.12393712538758539,0.06994994354565919,1.7717973611613649,0.04612063870735389,2.6872378367089644,-0.0019173449930817291,0.006344510815384488,-0.30220533132869043,0.06436171601708011,0.06046977737786961,0.6143323992942821
diss,all,bucket,TU,86331,67,67,-0.0507516763528109,0.02047291486767714,-2.4789668047190583,0.019906198811720698,-2.5495413178998545,-0.004360964824427854,0.029728363842326758,-0.1466937382614641,0.030276809777065605,-0.14403647070277673,0.04639071152838305,0.04181320465739354,1.1094751504577656,0.0373433691466527,1.2422744007430115,-0.0013009676742918557,0.0035842029867120093,-0.36297265504075327,0.08592750304663228,0.07912821326060691,-2.2090769779021593
diss,all,bucket,FV,86336,67,67,-0.11787631448772273,0.026310154917409487,-4.480259232898843,0.022943110227823173,-5.137765251407536,0.03563425648720689,0.0187968595543813,1.8957558513491692,0.020172690192233857,1.7664603058706305,0.15351057097492962,0.03645354923899111,4.211128248953412,0.03287614394213715,4.6693605930522795,0.0056546119059055515,0.003410222937070337,1.65813555601832,0.3023020921723705,0.23212900753933388,-4.065379096829222
diss,all,bucket,TY_UXY,86340,67,67,-0.15383399467974557,0.031785738479781264,-4.839717497128422,0.02185001556355228,-7.040452407565054,-0.016205991666351026,0.02040824398505123,-0.7940904508110399,0.017653766117281016,-0.9179906179048796,0.13762800301339456,0.04586517754841641,3.0007079525226095,0.030443726383556906,4.520734461985226,-0.0072489006179588195,0.006333089515191328,-1.1446073201035156,0.10534727190884535,0.09530694523443219,-4.5720002127682395
diss,all,bucket,US,86339,67,67,-0.10657043933238163,0.029690974145899628,-3.5893210781398084,0.025434736131362802,-4.189956553194701,0.03385145995596153,0.029975097064487987,1.1293194441750762,0.025858668111332816,1.309095263925283,0.14042189928834314,0.03217784167943384,4.363931574008969,0.032779661069674206,4.283811812143877,-0.000546830154786662,0.004495346106323249,-0.12164361583137707,0.3176439936630317,0.24106966311893238,-0.36003009368336797
