clock,bucket,k,beta,se_cluster,se_nw
exec,TU,-5,-0.003557020842665194,0.0042414793218548495,0.004123524018809461
exec,TU,-4,-0.0020701309769205925,0.003597169997719716,0.002943935045468962
exec,TU,-3,-0.0007917715569190762,0.002201501044182662,0.002387985815262056
exec,TU,-2,0.0018510510895445368,0.0023810532003334366,0.002333720497612181
exec,TU,-1,0.0024792207530248225,0.002050559378161232,0.00232517722394848
exec,TU,0,-0.0035830316086235734,0.0031564778733095236,0.002609913836340483
exec,TU,1,1.1432173960742284e-05,0.0029369801245100963,0.003127109459982478
exec,TU,2,0.0030257268302220732,0.0027687899707215633,0.003038160407866546
exec,TU,3,-0.0010645859075672688,0.0028205222747623437,0.002845522936396849
exec,TU,4,0.001994812678584167,0.00268388677324983,0.0030041613876408
exec,TU,5,-0.0018596149847625878,0.0031125140755176232,0.0029791405642439115
exec,TU,6,-0.0035559517466962325,0.004105907543468627,0.003675924928530937
exec,TU,7,0.0010511573280557035,0.0020538808785015242,0.002522751864562791
exec,TU,8,0.0034923543367609542,0.0032125812675142342,0.0032401406065279384
exec,TU,9,0.0009997966746528807,0.003170576774706427,0.002498879047400713
exec,TU,10,0.0022327819051474033,0.0020280077015094964,0.0021513257565213737
exec,TU,11,-0.001628825871240106,0.002456713034715721,0.0026803499787849657
exec,TU,12,-0.0015088098863928533,0.002706237468370392,0.002618756868752718
exec,TU,13,0.0031247783999255674,0.0031682567354564583,0.0033121819201530392
exec,TU,14,-0.0001710454868990712,0.004261367998361299,0.004209576438035386
exec,TU,15,1.8612982063849605e-05,0.0023360280580876414,0.002431791083724785
exec,TU,16,0.0010768526147536235,0.003025152472927824,0.003250572230676315
exec,TU,17,-0.003224746158416858,0.002058353952297428,0.002834635694795214
exec,TU,18,-0.00038831090187319613,0.002954936225154021,0.0031852349158889444
exec,TU,19,0.0009331917275037168,0.004794198855720839,0.004571691962560152
exec,TU,20,0.0011855755384312312,0.0022611180381663064,0.002347898245572285
exec,TU,21,0.0025967320457082597,0.0030148072428270445,0.0035391309034312193
exec,TU,22,0.0027806388043242593,0.002169176933069981,0.002274089865740581
exec,TU,23,0.002711911378852065,0.0020139814346388065,0.0026148859421687713
exec,TU,24,-0.009825988376848303,0.0035582686605629206,0.0039592422956262075
exec,TU,25,0.0024492706166654864,0.003139308169831133,0.002798627136695513
exec,TU,26,3.7817292001185236e-05,0.0022388981266742445,0.002680565285177208
exec,TU,27,-0.006283312126503362,0.005636657335633247,0.00575746437967061
exec,TU,28,-0.003174928752104465,0.002401382527406371,0.0023279943604206017
exec,TU,29,0.001120945484082495,0.002063947054031318,0.0025273602754133672
