mode,pca_window_days,pca_input,zscore_lookback_days,min_zscore_belly,min_zscore_wing,max_adf_pvalue,max_half_life_days,n_trades,total_pnl,avg_pnl,median_pnl,win_rate,avg_days,sharpe,max_loss,mr_exits,sl_exits,mh_exits
forward_stanchart,260,changes,130,1.0,0.25,0.5,120.0,16,54199396.00745259,3387462.250465787,2976959.982844549,0.9375,1.0,29.329461707279894,-24234.904109834544,7,9,0
forward_stanchart,260,changes,130,1.0,0.5,0.1,60.0,12,48743794.80820303,4061982.9006835856,4964941.01143021,1.0,1.0,41.29048893293826,1686183.5421208204,7,5,0
forward_stanchart,260,changes,130,1.0,0.5,0.1,120.0,12,48743794.80820303,4061982.9006835856,4964941.01143021,1.0,1.0,41.29048893293826,1686183.5421208204,7,5,0
forward_stanchart,260,changes,130,1.0,0.5,0.2,60.0,12,48743794.80820303,4061982.9006835856,4964941.01143021,1.0,1.0,41.29048893293826,1686183.5421208204,7,5,0
forward_stanchart,260,changes,130,1.0,0.5,0.2,120.0,12,48743794.80820303,4061982.9006835856,4964941.01143021,1.0,1.0,41.29048893293826,1686183.5421208204,7,5,0
forward_stanchart,260,changes,130,1.0,0.5,0.5,60.0,12,48743794.80820303,4061982.9006835856,4964941.01143021,1.0,1.0,41.29048893293826,1686183.5421208204,7,5,0
forward_stanchart,260,changes,130,1.0,0.5,0.5,120.0,12,48743794.80820303,4061982.9006835856,4964941.01143021,1.0,1.0,41.29048893293826,1686183.5421208204,7,5,0
forward_stanchart,260,changes,130,1.5,0.0,0.1,60.0,11,13539297.554374103,1230845.2322158276,2200868.737525139,0.7272727272727273,1.0,4.183658797614366,-8112819.419612373,6,5,0
forward_stanchart,260,changes,130,1.5,0.0,0.1,120.0,11,13539297.554374103,1230845.2322158276,2200868.737525139,0.7272727272727273,1.0,4.183658797614366,-8112819.419612373,6,5,0
forward_stanchart,260,changes,130,1.5,0.0,0.2,60.0,11,13539297.554374103,1230845.2322158276,2200868.737525139,0.7272727272727273,1.0,4.183658797614366,-8112819.419612373,6,5,0
forward_stanchart,260,changes,130,1.5,0.0,0.2,120.0,11,13539297.554374103,1230845.2322158276,2200868.737525139,0.7272727272727273,1.0,4.183658797614366,-8112819.419612373,6,5,0
forward_stanchart,260,changes,130,1.5,0.0,0.5,60.0,11,13539297.554374103,1230845.2322158276,2200868.737525139,0.7272727272727273,1.0,4.183658797614366,-8112819.419612373,6,5,0
forward_stanchart,260,changes,130,1.5,0.0,0.5,120.0,11,13539297.554374103,1230845.2322158276,2200868.737525139,0.7272727272727273,1.0,4.183658797614366,-8112819.419612373,6,5,0
forward_stanchart,260,changes,130,1.5,0.25,0.1,60.0,5,22330542.219507687,4466108.443901537,5458077.458464847,1.0,1.0,50.33692649425718,2035371.8594780166,3,2,0
forward_stanchart,260,changes,130,1.5,0.25,0.1,120.0,5,22330542.219507687,4466108.443901537,5458077.458464847,1.0,1.0,50.33692649425718,2035371.8594780166,3,2,0
forward_stanchart,260,changes,130,1.5,0.25,0.2,60.0,5,22330542.219507687,4466108.443901537,5458077.458464847,1.0,1.0,50.33692649425718,2035371.8594780166,3,2,0
forward_stanchart,260,changes,130,1.5,0.25,0.2,120.0,5,22330542.219507687,4466108.443901537,5458077.458464847,1.0,1.0,50.33692649425718,2035371.8594780166,3,2,0
forward_stanchart,260,changes,130,1.5,0.25,0.5,60.0,5,22330542.219507687,4466108.443901537,5458077.458464847,1.0,1.0,50.33692649425718,2035371.8594780166,3,2,0
forward_stanchart,260,changes,130,1.5,0.25,0.5,120.0,5,22330542.219507687,4466108.443901537,5458077.458464847,1.0,1.0,50.33692649425718,2035371.8594780166,3,2,0
forward_stanchart,260,changes,130,1.5,0.5,0.1,60.0,4,20295170.36002967,5073792.590007418,5513885.208196975,1.0,1.0,101.21270347613292,3697706.9857066143,3,1,0
forward_stanchart,260,changes,130,1.5,0.5,0.1,120.0,4,20295170.36002967,5073792.590007418,5513885.208196975,1.0,1.0,101.21270347613292,3697706.9857066143,3,1,0
forward_stanchart,260,changes,130,1.5,0.5,0.2,60.0,4,20295170.36002967,5073792.590007418,5513885.208196975,1.0,1.0,101.21270347613292,3697706.9857066143,3,1,0
forward_stanchart,260,changes,130,1.5,0.5,0.2,120.0,4,20295170.36002967,5073792.590007418,5513885.208196975,1.0,1.0,101.21270347613292,3697706.9857066143,3,1,0
forward_stanchart,260,changes,130,1.5,0.5,0.5,60.0,4,20295170.36002967,5073792.590007418,5513885.208196975,1.0,1.0,101.21270347613292,3697706.9857066143,3,1,0
forward_stanchart,260,changes,130,1.5,0.5,0.5,120.0,4,20295170.36002967,5073792.590007418,5513885.208196975,1.0,1.0,101.21270347613292,3697706.9857066143,3,1,0
forward_stanchart,260,changes,130,2.0,0.0,0.1,60.0,2,11030729.0709402,5515364.5354701,5515364.5354701,1.0,1.0,1528.3324316981143,5458077.458464847,1,1,0
forward_stanchart,260,changes,130,2.0,0.0,0.1,120.0,2,11030729.0709402,5515364.5354701,5515364.5354701,1.0,1.0,1528.3324316981143,5458077.458464847,1,1,0
