tenor,venue,k,sd_fwd_bps,oracle_edge_bps,kill_ceiling_bps,oracle_over_hurdle,min_hit_rate_to_clear
10Y,D2D,4,1.7349917496055998,1.2214737440410413,0.5578963171317612,2.189427867745826,0.7283701634412766
10Y,D2C,5,1.9208523636042771,1.3689184968893007,0.6593984713435584,2.076011025776354,0.740846505048314
10Y,D2D,5,1.9208523636042771,1.3689184968893007,0.5578963171317612,2.4537148836671676,0.7037726564435764
20Y,D2C,1,1.2601458008320752,0.8249120288978358,1.3317179743706968,0.6194344784507755,1.3071878744149266
20Y,D2D,1,1.2601458008320752,0.8249120288978358,0.8078622697335531,1.021104784569164,0.989665710665498
20Y,D2C,2,1.727272344167017,1.1607269766443062,1.3317179743706968,0.8716011940837606,1.073656855215311
20Y,D2D,2,1.727272344167017,1.1607269766443062,0.8078622697335531,1.436788200329165,0.8479984035819971
20Y,D2C,3,2.1456988020054597,1.4589088219670172,1.3317179743706968,1.0955088465006446,0.9564089113448394
20Y,D2D,3,2.1456988020054597,1.4589088219670172,0.8078622697335531,1.805888053725037,0.7768720901434844
20Y,D2C,4,2.5155958742557725,1.7490069941470499,1.3317179743706968,1.3133463900068953,0.8807068750517333
20Y,D2D,4,2.5155958742557725,1.7490069941470499,0.8078622697335531,2.1649816555041026,0.7309488390947027
20Y,D2C,5,2.8140791202494264,1.99993896484375,1.3317179743706968,1.5017736512783955,0.8329396541045793
20Y,D2D,5,2.8140791202494264,1.99993896484375,0.8078622697335531,2.47559397161024,0.7019717311214718
30Y,D2C,1,1.1281415222051658,0.7380681448754691,0.9480257431304152,0.778531754252096,1.142234561749289
30Y,D2D,1,1.1281415222051658,0.7380681448754691,0.5551126344742201,1.3295826811337792,0.8760578466422513
30Y,D2C,2,1.5816671977077024,1.0744784290253804,0.9480257431304152,1.1333852870676422,0.9411562473107693
30Y,D2D,2,1.5816671977077024,1.0744784290253804,0.5551126344742201,1.9356043481933756,0.758317253971186
30Y,D2C,3,1.947402579475008,1.3399855045508837,0.9480257431304152,1.4134484366702988,0.8537447755631358
30Y,D2D,3,1.947402579475008,1.3399855045508837,0.5551126344742201,2.413898407879084,0.7071338206976628
30Y,D2C,4,2.280435902193287,1.5985160024542557,0.9480257431304152,1.6861525270146127,0.7965330787038976
30Y,D2D,4,2.280435902193287,1.5985160024542557,0.5551126344742201,2.8796246080190633,0.6736337433037696
30Y,D2C,5,2.5461880303422104,1.8073979480914515,0.9480257431304152,1.906486148913381,0.762262592510824
30Y,D2D,5,2.5461880303422104,1.8073979480914515,0.5551126344742201,3.2559121083658,0.6535667989056864
