spec,tenor,venue,k,n_days,usable_bucket_days,n_trades,nw_lag,rho_F,crit_beta,crit_edge,beta_bps_per_unit_F,beta_se,beta_t,beta_p_normal,beta_significant,beta_sign_expected,sign_ok,edge_bps_per_trade,edge_se,edge_t,edge_p_normal,edge_significant,edge_upper_sizecorr,mde_bps,hit_rate,mean_abs_F,sd_fwd_bps,kill_floor_bps,kill_ceiling_bps,mde_over_ceiling,verdict
primary,20Y,D2C,4,380,160,152,4,-0.0592211634782958,2.6158958584388956,2.542113734679664,-0.1272657938378169,0.2001702704231014,-0.6357876899941945,0.5249148120118636,False,-1,True,0.14512380800749125,0.19292511133205242,0.7522287119882071,0.45191352987619315,False,0.635561383289305,0.6528074454682875,0.5131578947368421,0.8014140066900491,2.5155958742557725,0.25,1.3317179743706968,0.49019947018194415,UNINFORMATIVE_COVERAGE
primary,20Y,D2C,5,379,160,152,5,-0.05922512303265939,2.5486941700362933,2.502352947358188,-0.06800424301506537,0.22294516103985482,-0.30502677294219716,0.760345761519596,False,-1,True,0.1737126300209447,0.23285043941287037,0.7460266360628696,0.4556513248962788,False,0.7563866133793901,0.7786458574151005,0.5,0.8014140066900491,2.8140791202494264,0.25,1.3317179743706968,0.5846927595785057,UNINFORMATIVE_COVERAGE
primary,20Y,D2D,1,383,63,62,1,0.12301239867850516,2.512367234550866,2.5441948279601747,0.11445637953410225,0.15513313508607462,0.7377945367415985,0.4606393136968945,False,-1,False,-0.1330076648342994,0.14247989232219024,-0.9335188472316412,0.3505521439471593,False,0.22948894030013964,0.48241070786997675,0.43548387096774194,0.8962038081958286,1.2601458008320752,0.25,0.8078622697335531,0.5971447435329342,UNINFORMATIVE_COVERAGE
primary,20Y,D2D,2,382,63,62,2,0.12301237613957695,2.5520205840861134,2.549528659075301,0.2440695120244573,0.2795377988423824,0.8731181007906416,0.38259870879356495,False,-1,False,-0.3148316414125504,0.2625720321095769,-1.1990296105914449,0.23051643207916847,False,0.3546032795224562,0.8904211185008155,0.4032258064516129,0.8962038081958286,1.727272344167017,0.25,0.8078622697335531,1.1021942128755335,UNINFORMATIVE_COVERAGE
primary,20Y,D2D,3,381,63,62,3,0.12301235348202169,2.6308588358100833,2.517445073178067,0.23828142381967607,0.2916556755778083,0.8169956691143047,0.41393090304084756,False,-1,False,-0.27634645277454006,0.2760186702453198,-1.0011875375275483,0.31673615046906106,False,0.41851538873970173,0.9271650152552633,0.5161290322580645,0.8962038081958286,2.1456988020054597,0.25,0.8078622697335531,1.1476770855520437,UNINFORMATIVE_COVERAGE
primary,20Y,D2D,4,380,63,62,4,0.12301233070490084,2.618805806253619,2.567814981018271,0.5146045738298747,0.4733669504885006,1.0871155523190161,0.2769857454387405,False,-1,False,-0.5198272582023374,0.43412008515040584,-1.1974273386181553,0.23114003314079723,False,0.594912800007802,1.4801047397932028,0.45161290322580644,0.8962038081958286,2.5155958742557725,0.25,0.8078622697335531,1.8321250976126993,UNINFORMATIVE_COVERAGE
primary,20Y,D2D,5,379,63,62,5,0.12301230780726427,2.5870711480435635,2.550345193030599,0.9079398240700987,0.6195936857042927,1.465379401079665,0.14281743425975596,False,-1,False,-0.902233615998299,0.5716893178744537,-1.57818869058602,0.11452226762212234,False,0.555771487749756,1.9391509726780107,0.3709677419354839,0.8962038081958286,2.8140791202494264,0.25,0.8078622697335531,2.40034848182423,UNINFORMATIVE_COVERAGE
primary,2Y,D2C,1,383,290,284,1,0.050967103989463435,2.512367234550866,2.5441948279601747,0.008837690049060319,0.06086855675566451,0.14519302773246504,0.8845584706664236,False,-1,False,0.0027905047779351894,0.05450406318590946,0.05119810551402337,0.959167661447532,False,0.1414594604383406,0.1845407325536666,0.5211267605633803,0.7759488537540384,0.9283031031323319,0.25,1.0098609191588044,0.18273876041008266,DEAD
primary,2Y,D2C,2,382,289,283,2,0.05624779937010714,2.5520205840861134,2.549528659075301,0.049523901345439776,0.08511246769088276,0.5818642402110117,0.5606581291233449,False,-1,False,-0.029560943374364202,0.07467261061940944,-0.3958739774752231,0.6921979990958996,False,0.1608190174477908,0.2532260154857723,0.49823321554770317,0.7751571535906252,1.2483119187409213,0.25,1.0098609191588044,0.2507533569045378,DEAD
primary,2Y,D2C,3,381,288,282,3,0.057752605233364465,2.6308588358100833,2.517445073178067,0.06161589751082409,0.10579696120546889,0.5823976115075696,0.5602988900065828,False,-1,False,-0.020926311506447217,0.08674672787092,-0.24123459201349678,0.8093733018737049,False,0.19745381118651884,0.29138801081210364,0.5141843971631206,0.774359838532436,1.469436817651206,0.25,1.0098609191588044,0.28854271443123525,DEAD
primary,2Y,D2C,4,380,287,281,4,0.05776150313432211,2.618805806253619,2.567814981018271,0.10808983651437935,0.11375598291893775,0.9501903437589205,0.34201554424994,False,-1,False,-0.0801216189971598,0.08494716984265023,-0.9431935065708614,0.3455819341502957,False,0.13800699631990093,0.2896219571885599,0.49110320284697506,0.7761607892641285,1.6484212113939374,0.25,1.0098609191588044,0.286793905669515,DEAD
primary,2Y,D2C,5,379,287,281,5,0.057761712433450595,2.5870711480435635,2.550345193030599,0.13086297244332215,0.12452042504381991,1.0509357994663946,0.29328807695431663,False,-1,False,-0.09655211404549269,0.1051804250022058,-0.9179665707137791,0.3586363674952272,False,0.1716942772597983,0.35676847034337084,0.49466192170818507,0.7761607892641285,1.7960371252294747,0.25,1.0098609191588044,0.3532847579056257,DEAD
primary,2Y,D2D,1,383,163,153,1,0.1152424274832549,2.512367234550866,2.5441948279601747,-0.06572527712804277,0.0820764787367084,-0.8007809075104411,0.4232584938917657,False,-1,True,0.04825047262353835,0.07345141817318451,0.656903213356247,0.5112431519236164,False,0.23512519084609437,0.24869299139315154,0.5490196078431373,0.8525701681109641,0.9283031031323319,0.25,0.6842971215532134,0.36342837571590203,UNINFORMATIVE_COVERAGE
primary,2Y,D2D,2,382,162,152,2,0.11447820830133204,2.5520205840861134,2.549528659075301,-0.03968355599551951,0.11933179311539627,-0.33254805747488186,0.739475457757703,False,-1,True,-0.014789512282923648,0.10737142094174189,-0.13774160901668808,0.8904446335648243,False,0.25895700257368526,0.36411258260007434,0.5197368421052632,0.8572393327507918,1.2483119187409213,0.25,0.6842971215532134,0.5320972003705259,UNINFORMATIVE_COVERAGE
primary,2Y,D2D,3,381,161,151,3,0.11484798254103627,2.6308588358100833,2.517445073178067,-0.05073875177989327,0.1650423698991147,-0.3074286427837185,0.7585171293123834,False,-1,True,-0.021474083527823946,0.14511925369274473,-0.14797542697738905,0.8823621611547492,False,0.3438556667042543,0.4874651955401467,0.5165562913907285,0.8562938978683468,1.469436817651206,0.25,0.6842971215532134,0.7123589741744072,UNINFORMATIVE_COVERAGE
primary,2Y,D2D,4,380,161,151,4,0.11486778252139235,2.618805806253619,2.567814981018271,-0.09224104152471578,0.17268707031365926,-0.5341514066871031,0.5932367858319856,False,-1,True,0.0017833520245078382,0.15387961196370006,0.011589267751263422,0.9907533091796306,False,0.39691772489817523,0.524642721716278,0.5165562913907285,0.8562938978683468,1.6484212113939374,0.25,0.6842971215532134,0.7666884825197674,UNINFORMATIVE_COVERAGE
primary,2Y,D2D,5,379,160,150,5,0.11326555082228972,2.5870711480435635,2.550345193030599,-0.046444586700786675,0.19023438842986579,-0.24414401141731282,0.807119287459512,False,-1,True,-0.02838033040364583,0.17354665621464213,-0.1635314158317467,0.8701000398160513,False,0.4142235500399007,0.5886644313293681,0.49333333333333335,0.8597803016319134,1.7960371252294747,0.25,0.6842971215532134,0.8602468325355821,UNINFORMATIVE_COVERAGE
primary,30Y,D2C,1,383,371,366,1,0.045751244013667314,2.546270022382896,2.5287080993405016,0.008394831891686102,0.08828354562274834,0.09508942841465323,0.9242437949296649,False,-1,False,-0.042329798630677935,0.05602420610327648,-0.7555626679054779,0.4499114458445633,False,0.09933906510179885,0.18882002518305954,0.4426229508196721,0.4561280318272065,1.1281415222051658,0.25,0.9480257431304152,0.19917183320314594,DEAD
primary,30Y,D2C,2,382,370,365,2,0.04698717359139274,2.5428483519105183,2.492875425618611,0.034297801884313604,0.16070694335397373,0.2134182952429699,0.8310007116653966,False,-1,False,-0.11992572105094178,0.08923180124836642,-1.3439796056244833,0.17895498191422324,False,0.102518043464795,0.29754314315632,0.4301369863013699,0.4558291568697349,1.5816671977077024,0.25,0.9480257431304152,0.313855552248847,DEAD
primary,30Y,D2C,3,381,369,364,3,0.04756555407063462,2.5853874833684922,2.5273838777532256,0.04328600672848805,0.2039760205919482,0.21221125210144792,0.8319422287449095,False,-1,False,-0.05876350402832032,0.09951719109257015,-0.5904859590908162,0.5548648964179681,False,0.1927546402983284,0.335273925455689,0.4697802197802198,0.45642914815805957,1.947402579475008,0.25,0.9480257431304152,0.3536548747596267,DEAD
primary,30Y,D2C,4,380,368,363,4,0.0486782745177412,2.6158958584388956,2.542113734679664,0.014375727521217784,0.2316505837494733,0.062057808309971374,0.950516796293366,False,-1,False,-0.05627201805430009,0.10702346932483038,-0.5257913839767899,0.5990331616129536,False,0.21579381324941888,0.3621390555781357,0.4573002754820937,0.45697027528797163,2.280435902193287,0.25,0.9480257431304152,0.38199285009111617,DEAD
primary,30Y,D2C,5,379,367,362,5,0.0467598224604634,2.5486941700362933,2.502352947358188,0.12914861843911601,0.28630243428625246,0.4510915834896113,0.6519235434552664,False,-1,False,-0.1740354253442248,0.13378332735873194,-1.30087529425516,0.1933011439365468,False,0.1607376781792834,0.44736799252665316,0.430939226519337,0.4570226337033372,2.5461880303422104,0.25,0.9480257431304152,0.47189435072662467,DEAD
