contract,symbol,date,legend,bin,prob_pct
U6,SFRU26,2026-04-01,21BD ago,3.5-3.75,47.19566226879521
U6,SFRU26,2026-04-01,21BD ago,3.75-4,14.564342431754485
U6,SFRU26,2026-04-01,21BD ago,4-4.25,3.3068107870937
U6,SFRU26,2026-04-01,21BD ago,4.25-4.5,6.105527521213846
U6,SFRU26,2026-04-01,21BD ago,>4.5,6.367113850897338
Z6,SFRZ26,2026-04-29,1BD ago,<2,0.9750052289540367
Z6,SFRZ26,2026-04-29,1BD ago,2-2.25,0.5866646658682574
Z6,SFRZ26,2026-04-29,1BD ago,2.25-2.5,0.5114719503143567
Z6,SFRZ26,2026-04-29,1BD ago,2.5-2.75,0.8084668327735023
Z6,SFRZ26,2026-04-29,1BD ago,2.75-3,3.469567742608754
Z6,SFRZ26,2026-04-29,1BD ago,3-3.25,8.368320879681221
Z6,SFRZ26,2026-04-29,1BD ago,3.25-3.5,9.792288664084882
Z6,SFRZ26,2026-04-29,1BD ago,3.5-3.75,37.321248274259666
Z6,SFRZ26,2026-04-29,1BD ago,3.75-4,10.462078671151243
Z6,SFRZ26,2026-04-29,1BD ago,4-4.25,8.859292359881303
Z6,SFRZ26,2026-04-29,1BD ago,4.25-4.5,6.434500602472662
Z6,SFRZ26,2026-04-29,1BD ago,>4.5,12.411094127950124
Z6,SFRZ26,2026-04-23,5BD ago,<2,2.0174229060293762
Z6,SFRZ26,2026-04-23,5BD ago,2-2.25,0.8427108079376664
Z6,SFRZ26,2026-04-23,5BD ago,2.25-2.5,0.7246751986457374
Z6,SFRZ26,2026-04-23,5BD ago,2.5-2.75,1.2875202200471887
Z6,SFRZ26,2026-04-23,5BD ago,2.75-3,4.098166988061161
Z6,SFRZ26,2026-04-23,5BD ago,3-3.25,9.336667823383598
Z6,SFRZ26,2026-04-23,5BD ago,3.25-3.5,17.003022726014507
Z6,SFRZ26,2026-04-23,5BD ago,3.5-3.75,29.102079612473826
Z6,SFRZ26,2026-04-23,5BD ago,3.75-4,18.30425160391325
Z6,SFRZ26,2026-04-23,5BD ago,4-4.25,6.5164523392489295
Z6,SFRZ26,2026-04-23,5BD ago,4.25-4.5,4.127859638832569
Z6,SFRZ26,2026-04-23,5BD ago,>4.5,6.639170135412195
Z6,SFRZ26,2026-04-01,21BD ago,<2,1.0851982468422834
Z6,SFRZ26,2026-04-01,21BD ago,2-2.25,0.937526975622995
Z6,SFRZ26,2026-04-01,21BD ago,2.25-2.5,1.6146217595205423
Z6,SFRZ26,2026-04-01,21BD ago,2.5-2.75,2.9257499630271484
Z6,SFRZ26,2026-04-01,21BD ago,2.75-3,5.718552887141711
Z6,SFRZ26,2026-04-01,21BD ago,3-3.25,10.090431595524702
Z6,SFRZ26,2026-04-01,21BD ago,3.25-3.5,16.041386088176125
Z6,SFRZ26,2026-04-01,21BD ago,3.5-3.75,22.30240186051353
Z6,SFRZ26,2026-04-01,21BD ago,3.75-4,15.212160391348773
Z6,SFRZ26,2026-04-01,21BD ago,4-4.25,6.744190033146537
Z6,SFRZ26,2026-04-01,21BD ago,4.25-4.5,4.945912809509856
Z6,SFRZ26,2026-04-01,21BD ago,>4.5,12.381867389625793
H7,SFRH27,2026-04-29,1BD ago,<2,0.0
H7,SFRH27,2026-04-29,1BD ago,2-2.25,0.07140320364399458
H7,SFRH27,2026-04-29,1BD ago,2.25-2.5,1.6227848064914827
H7,SFRH27,2026-04-29,1BD ago,2.5-2.75,3.3144793860396273
H7,SFRH27,2026-04-29,1BD ago,2.75-3,4.832976204167251
H7,SFRH27,2026-04-29,1BD ago,3-3.25,7.897896363644194
H7,SFRH27,2026-04-29,1BD ago,3.25-3.5,15.570539338819994
H7,SFRH27,2026-04-29,1BD ago,3.5-3.75,22.565212890044634
H7,SFRH27,2026-04-29,1BD ago,3.75-4,16.675704393368825
H7,SFRH27,2026-04-29,1BD ago,4-4.25,10.783485281540287
H7,SFRH27,2026-04-29,1BD ago,4.25-4.5,6.641540986124837
H7,SFRH27,2026-04-29,1BD ago,>4.5,10.02397714611489
H7,SFRH27,2026-04-23,5BD ago,<2,2.1750773119246367
H7,SFRH27,2026-04-23,5BD ago,2-2.25,1.4764129363939125
H7,SFRH27,2026-04-23,5BD ago,2.25-2.5,1.9619903861563674
H7,SFRH27,2026-04-23,5BD ago,2.5-2.75,3.198016475513494
H7,SFRH27,2026-04-23,5BD ago,2.75-3,5.864377469867044
H7,SFRH27,2026-04-23,5BD ago,3-3.25,9.990641080104941
H7,SFRH27,2026-04-23,5BD ago,3.25-3.5,15.576807291822451
H7,SFRH27,2026-04-23,5BD ago,3.5-3.75,20.615817707967835
H7,SFRH27,2026-04-23,5BD ago,3.75-4,16.31129071287424
H7,SFRH27,2026-04-23,5BD ago,4-4.25,9.682289721603665
H7,SFRH27,2026-04-23,5BD ago,4.25-4.5,4.908379152647538
H7,SFRH27,2026-04-23,5BD ago,>4.5,8.238899753123887
H7,SFRH27,2026-04-01,21BD ago,<2,2.6157734491285374
H7,SFRH27,2026-04-01,21BD ago,2-2.25,1.98760678136379
H7,SFRH27,2026-04-01,21BD ago,2.25-2.5,3.3921486693017173
H7,SFRH27,2026-04-01,21BD ago,2.5-2.75,5.2146967582572445
H7,SFRH27,2026-04-01,21BD ago,2.75-3,7.460901205340247
H7,SFRH27,2026-04-01,21BD ago,3-3.25,10.131007731372568
H7,SFRH27,2026-04-01,21BD ago,3.25-3.5,13.225016328755926
H7,SFRH27,2026-04-01,21BD ago,3.5-3.75,15.80142412666235
H7,SFRH27,2026-04-01,21BD ago,3.75-4,14.094562016245213
H7,SFRH27,2026-04-01,21BD ago,4-4.25,8.010780020843235
H7,SFRH27,2026-04-01,21BD ago,4.25-4.5,4.496725636086806
H7,SFRH27,2026-04-01,21BD ago,>4.5,13.56935727664236
M7,SFRM27,2026-04-29,1BD ago,<2,2.8658865545370986
M7,SFRM27,2026-04-29,1BD ago,2-2.25,0.6092939903829894
M7,SFRM27,2026-04-29,1BD ago,2.25-2.5,1.7504088493884629
M7,SFRM27,2026-04-29,1BD ago,2.5-2.75,3.9409152580191606
M7,SFRM27,2026-04-29,1BD ago,2.75-3,6.974852997072636
M7,SFRM27,2026-04-29,1BD ago,3-3.25,10.028462500278595
M7,SFRM27,2026-04-29,1BD ago,3.25-3.5,12.895783551219045
M7,SFRM27,2026-04-29,1BD ago,3.5-3.75,15.455896277285108
M7,SFRM27,2026-04-29,1BD ago,3.75-4,14.928412989159279
M7,SFRM27,2026-04-29,1BD ago,4-4.25,10.0029074509456
M7,SFRM27,2026-04-29,1BD ago,4.25-4.5,6.390069233150865
M7,SFRM27,2026-04-29,1BD ago,>4.5,14.157110348561163
M7,SFRM27,2026-04-23,5BD ago,<2,1.7417879043654296
M7,SFRM27,2026-04-23,5BD ago,2-2.25,1.7410140722487133
M7,SFRM27,2026-04-23,5BD ago,2.25-2.5,3.072636892610812
M7,SFRM27,2026-04-23,5BD ago,2.5-2.75,4.981416019729856
M7,SFRM27,2026-04-23,5BD ago,2.75-3,7.467351453605844
M7,SFRM27,2026-04-23,5BD ago,3-3.25,10.530443194238778
M7,SFRM27,2026-04-23,5BD ago,3.25-3.5,14.170691232082694
M7,SFRM27,2026-04-23,5BD ago,3.5-3.75,17.205256649981113
M7,SFRM27,2026-04-23,5BD ago,3.75-4,15.04661047378992
M7,SFRM27,2026-04-23,5BD ago,4-4.25,9.809197966349707
M7,SFRM27,2026-04-23,5BD ago,4.25-4.5,5.071034167201067
M7,SFRM27,2026-04-23,5BD ago,>4.5,9.162559973796064
M7,SFRM27,2026-04-01,21BD ago,<2,5.299920542080729
M7,SFRM27,2026-04-01,21BD ago,2-2.25,3.2759279248674167
M7,SFRM27,2026-04-01,21BD ago,2.25-2.5,4.679670034534491
M7,SFRM27,2026-04-01,21BD ago,2.5-2.75,6.217534806044275
M7,SFRM27,2026-04-01,21BD ago,2.75-3,7.88952223214328
M7,SFRM27,2026-04-01,21BD ago,3-3.25,9.69563231786865
M7,SFRM27,2026-04-01,21BD ago,3.25-3.5,11.635864993766006
M7,SFRM27,2026-04-01,21BD ago,3.5-3.75,13.227455167600196
M7,SFRM27,2026-04-01,21BD ago,3.75-4,12.539549896168332
M7,SFRM27,2026-04-01,21BD ago,4-4.25,9.089384002343484
M7,SFRM27,2026-04-01,21BD ago,4.25-4.5,4.081395421798498
M7,SFRM27,2026-04-01,21BD ago,>4.5,12.36814266078463
