contract,symbol,date,legend,fetch_mode,distribution_mode,mean,median,mode,p5,p10,p25,p75,p90,p95,input_strikes,input_min_rate,input_max_rate,forward_rate,warnings,mean_jpm,mean_diff,median_jpm,median_diff,mode_jpm,mode_diff,p5_jpm,p5_diff,p10_jpm,p10_diff,p25_jpm,p25_diff,p75_jpm,p75_diff,p90_jpm,p90_diff,p95_jpm,p95_diff,rmse_stats,jpm_no_strikes,jpm_min_rate,jpm_max_rate
Z6,SFRZ26,2026-04-01,21BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.688215773512444,3.634611896584659,3.6869059529764883,2.6378902706893714,2.9179506272608116,3.2990408117636925,3.9753422480194565,4.648965683310464,5.060034710898612,53,1.375,5.875,3.625,negative density mass clipped (0.03% of total),3.67,0.018215773512443967,3.64,-0.005388103415341128,3.69,-0.0030940470235116813,2.59,0.04789027068937157,2.89,0.027950627260811434,3.29,0.009040811763692425,3.97,0.005342248019456264,4.63,0.018965683310463888,5.04,0.020034710898611863,0.0219000189155183,60,0.5,6.5
Z6,SFRZ26,2026-04-01,21BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.6599907753360528,3.6608822369022773,3.706717398633046,2.295040348745523,2.7765855487099658,3.232799066410718,4.0697714886504555,4.514901929465623,4.936516014332225,240,0.0,8.353980066593394,3.625,rate floor at 0.00% truncated 0.43% of mass,3.67,-0.010009224663947158,3.64,0.020882236902277196,3.69,0.016717398633046,2.59,-0.294959651254477,2.89,-0.11341445129003436,3.29,-0.057200933589282243,3.97,0.09977148865045526,4.63,-0.11509807053437715,5.04,-0.10348398566777472,0.12376615734004756,60,0.5,6.5
H7,SFRH27,2026-04-29,1BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.7233980001594302,3.6809835137143434,3.6004877438719376,2.74945269889749,3.0065217803222763,3.3908060366767527,4.047503418987416,4.501164982135437,4.804305273447863,42,2.375,5.3125,3.799999999999997,negative density mass clipped (4.66% of total),3.8,-0.07660199984056959,3.71,-0.029016486285656562,3.63,-0.029512256128062297,2.67,0.07945269889748996,2.99,0.016521780322276136,3.39,0.0008060366767526084,4.14,-0.09249658101258351,4.8,-0.2988350178645627,5.27,-0.46569472655213673,0.19116505670334735,51,0.5,6.75
H7,SFRH27,2026-04-29,1BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.8022446903328593,3.754926330692942,3.6858703540411852,2.4467464103567647,2.8786319514162635,3.33910563687811,4.210975847268771,4.725014728702655,5.366991765769558,240,0.0,9.093552277114995,3.799999999999997,negative density mass clipped (0.11% of total); rate floor at 0.00% truncated 0.22% of mass,3.8,0.002244690332859456,3.71,0.04492633069294216,3.63,0.055870354041185344,2.67,-0.22325358964323527,2.99,-0.11136804858373672,3.39,-0.05089436312189033,4.14,0.07097584726877137,4.8,-0.07498527129734445,5.27,0.09699176576955804,0.1000266178188947,51,0.5,6.75
H7,SFRH27,2026-04-23,5BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.610918906227469,3.620759753147034,3.656640820410203,2.430358311976873,2.813965900594104,3.2566075880841763,3.959387247484278,4.387856299911806,4.843673863305489,48,1.375,5.875,3.6400000000000006,negative density mass clipped (2.14% of total),3.66,-0.049081093772531226,3.64,-0.019240246852965992,3.72,-0.06335917958979698,2.48,-0.049641688023127184,2.83,-0.016034099405896285,3.26,-0.003392411915823512,3.99,-0.030612752515722264,4.54,-0.15214370008819422,5.18,-0.3363261366945105,0.12768300191937293,51,0.5,6.75
H7,SFRH27,2026-04-23,5BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.661868766449193,3.6322450050782993,3.5850698670908514,2.313453459397674,2.7690261154363416,3.218902729758345,4.062920859240015,4.536539199228018,5.101139897896493,240,0.0,8.595833918113527,3.6400000000000006,rate floor at 0.00% truncated 0.41% of mass,3.66,0.0018687664491929823,3.64,-0.007754994921700842,3.72,-0.1349301329091488,2.48,-0.16654654060232588,2.83,-0.06097388456365849,3.26,-0.04109727024165499,3.99,0.07292085924001501,4.54,-0.0034608007719816314,5.18,-0.07886010210350669,0.08364120991600497,51,0.5,6.75
H7,SFRH27,2026-04-01,21BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.6059227107141334,3.5965680145668397,3.667646323161577,2.2863905353380827,2.608005331086748,3.1156453283410213,4.024132516506552,4.748228789715815,5.147080203289534,45,1.375,5.875,3.605000000000004,negative density mass clipped (2.01% of total),3.64,-0.03407728928586673,3.61,-0.013431985433160154,3.64,0.02764632316157689,2.18,0.10639053533808251,2.57,0.038005331086748306,3.12,-0.004354671658978848,4.07,-0.04586748349344827,4.86,-0.11177121028418568,5.37,-0.2229197967104657,0.09379539119437172,51,0.5,6.75
H7,SFRH27,2026-04-01,21BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.6693711616804627,3.6183789526767463,3.627972727859941,1.9778457861784033,2.4728476629584084,3.0631970749179556,4.1812119195227515,4.842692553606623,5.37598738998985,240,0.0,9.716646081807824,3.605000000000004,rate floor at 0.00% truncated 1.19% of mass,3.64,0.02937116168046261,3.61,0.008378952676746376,3.64,-0.012027272140059164,2.18,-0.20215421382159682,2.57,-0.09715233704159143,3.12,-0.05680292508204454,4.07,0.11121191952275122,4.86,-0.017307446393377113,5.37,0.00598738998984949,0.08648216894018118,51,0.5,6.75
M7,SFRM27,2026-04-29,1BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.6962485542915715,3.6798260569781327,3.732866433216614,2.478105891264084,2.7870409342714226,3.224221109720099,4.123136150740911,4.729594890337212,5.16115220999976,32,1.25,6.0,3.7950000000000017,negative density mass clipped (3.98% of total),3.68,0.01624855429157135,3.68,-0.00017394302186746202,3.64,0.09286643321661403,2.36,0.11810589126408422,2.73,0.05704093427142265,3.23,-0.005778890279901194,4.13,-0.006863849259088894,4.73,-0.0004051096627888384,5.2,-0.03884779000023997,0.05545840566107734,35,0.5,6.0
M7,SFRM27,2026-04-29,1BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.8126665682839334,3.742205872477763,3.7391967267292614,2.154664075037313,2.6482645883960445,3.204753227511246,4.293312577628822,5.065362144788519,5.726547553852704,240,0.0,10.16489361888246,3.7950000000000017,negative density mass clipped (0.79% of total); rate floor at 0.00% truncated 0.89% of mass,3.68,0.1326665682839332,3.68,0.06220587247776299,3.64,0.09919672672926128,2.36,-0.2053359249626867,2.73,-0.08173541160395548,3.23,-0.025246772488753955,4.13,0.16331257762882245,4.73,0.3353621447885189,5.2,0.526547553852704,0.2350371108412447,35,0.5,6.0
M7,SFRM27,2026-04-23,5BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.598263296353637,3.5935584764368933,3.66214357178589,2.389803539009033,2.6838221266821214,3.1518877919577735,3.9810733349306004,4.441962279356876,5.134961894574794,30,1.375,5.875,3.605000000000004,negative density mass clipped (4.00% of total),3.55,0.04826329635363713,3.58,0.01355847643689323,3.62,0.04214357178589001,2.14,0.24980353900903296,2.57,0.11382212668212155,3.12,0.03188779195777336,3.99,-0.008926665069399764,4.47,-0.028037720643124153,5.19,-0.05503810542520604,0.09692973788484402,35,0.5,6.0
M7,SFRM27,2026-04-23,5BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.65203481445719,3.5844497063632708,3.584920123754486,2.0777940987816996,2.567505989051732,3.078481988203393,4.102492753046337,4.7632493402426554,5.337067140080692,240,0.0,9.495829469646807,3.605000000000004,rate floor at 0.00% truncated 0.52% of mass,3.55,0.10203481445719031,3.58,0.004449706363270689,3.62,-0.03507987624551401,2.14,-0.0622059012183005,2.57,-0.002494010948267622,3.12,-0.04151801179660719,3.99,0.11249275304633688,4.47,0.2932493402426557,5.19,0.14706714008069177,0.12362109638289369,35,0.5,6.0
M7,SFRM27,2026-04-01,21BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.4955915299021996,3.5256022394677244,3.6875937968984545,1.970528898613324,2.3348458876922544,2.9306878386303503,4.01204000870997,4.764181274037806,5.260204303461775,33,1.0,6.0,3.555000000000007,negative density mass clipped (2.15% of total),3.52,-0.02440847009780045,3.53,-0.004397760532275363,3.63,0.05759379689845456,1.98,-0.00947110138667595,2.36,-0.025154112307745446,2.96,-0.029312161369649647,4.03,-0.017959991290029897,4.73,0.03418127403780513,5.35,-0.08979569653822495,0.04091723486610652,35,0.5,6.0
M7,SFRM27,2026-04-01,21BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.622120827199878,3.5318046197723203,3.4744689562404005,1.7525193991615842,2.240508121764604,2.9059784871307954,4.210290703161469,5.017289958333246,5.654407306680844,240,0.0,10.632450136931993,3.555000000000007,negative density mass clipped (1.10% of total),3.52,0.10212082719987814,3.53,0.0018046197723204926,3.63,-0.15553104375959936,1.98,-0.22748060083841581,2.36,-0.11949187823539598,2.96,-0.054021512869204535,4.03,0.1802907031614689,4.73,0.287289958333246,5.35,0.3044073066808446,0.1859719059769896,35,0.5,6.0
