curve_name,point,n_days,mean_bp,sd_bp,min_bp,max_bp,bias_to_noise
MXN-FONDEO-1D,2Yx5Y,44,-0.10038780165328393,0.10522603365835932,-0.2272747646474116,0.14382887714532444,0.9540205799186176
CHF-SARON-1D,1Yx10Y,44,0.029766652032121234,0.031795212220712285,-0.013205641187941097,0.152295779214906,0.9361991933090609
ZAR-ZARONIA-1D,1Yx10Y,44,0.09431660671981111,0.10239555700596772,-0.0894421838692594,0.3157781737368026,0.9211005777752079
NZD-NZIONA-1D,10Yx10Y,44,0.002689474654687435,0.0029623790860383143,-0.0017333903840288656,0.00789243243417559,0.9078766007236964
NZD-NZIONA-1D,5Yx10Y,44,0.0017909331677546834,0.0020399007955860505,-0.0026641385582060195,0.006389000288820057,0.877951109990209
SGD-SORA-1D,2Yx5Y,44,0.002750023611456073,0.0032408635650253955,-0.0001510967762463622,0.011242391157306741,0.8485465544226093
JPY-TONAR-1D,10Yx10Y,43,-0.002539706800094273,0.0037276472015564245,-0.014689335189910224,0.0009259333292988003,0.681316300274837
ZAR-ZARONIA-1D,2Yx5Y,44,0.08502920017900782,0.1398732424116013,-0.16334204137526953,0.38887010001662503,0.607901831064977
NZD-NZIONA-1D,2Yx5Y,44,0.002960600638540251,0.004898706517686998,-0.004271476661799056,0.018231295478621234,0.6043637494613875
DKK-TNDKK-1D,2Yx5Y,44,0.0033518211740559485,0.005605352274697513,-0.012828480231741324,0.01514356857246213,0.5979679794945316
CHF-SARON-1D,2Yx5Y,44,0.0017819608349125852,0.0030300140366048825,-2.481524119524181e-06,0.009424603535967968,0.5881031616966582
NOK-NOWA-1D,2Yx5Y,44,0.002077413721900502,0.003558973820346639,-0.0015465809549031206,0.010771405937903822,0.583711436713565
ILS-SHIR-1D,2Yx5Y,44,-0.019698312354335643,0.03634766175488065,-0.1048764323094975,0.005077518235063749,0.5419416656613576
DKK-TNDKK-1D,5Yx5Y,44,0.002531220048144918,0.004721752725140004,-0.011181339089816333,0.008781297281368339,0.5360763672921617
GBP-SONIA-1D,2Yx5Y,44,0.0027817070899080224,0.005197229046463877,-0.0008147824845039509,0.014906359670341374,0.5352288815904039
EUR-ESTR-1D,2Yx5Y,44,0.0020987825501498055,0.003985044587791042,-0.0010220106690272956,0.011256238983259337,0.5266647596816943
USD-SOFR-1D,2Yx5Y,44,0.0016442363914282896,0.0031756732459761565,-0.0013836016106161253,0.010847141852865505,0.5177599406713757
USD-FEDFUNDS-1D,2Yx5Y,44,0.002411928717446524,0.004668332444166977,-0.004720261534618686,0.016860306845201123,0.5166574459495057
DKK-TNDKK-1D,5Yx10Y,44,0.0022268747291528694,0.004443613526371835,-0.01134626871506228,0.0075557407293036505,0.501140505567569
AUD-AONIA-1D,1Yx1Y,44,-0.8800994653960853,1.8271620904316517,-6.692777584271958,3.080981764294144,0.48167563786755735
EUR-ESTR-1D,10Yx10Y,44,-0.0021773770899392486,0.004526738955748883,-0.013085666701506682,0.001647288879969011,0.48100345772623276
USD-SOFR-1D,10Yx10Y,44,-0.003513255297522959,0.007477903160684921,-0.028309762185863008,0.0027369720302594658,0.46981823942223533
GBP-SONIA-1D,10Yx10Y,44,-0.0016969052289216404,0.0036353663734466097,-0.010248911548238482,0.0020782943304986645,0.4667769502727843
AUD-AONIA-1D,1Yx10Y,44,-0.10480548836789333,0.23078755378287083,-0.8893758842500432,0.3802888984621333,0.4541210591733047
SGD-SORA-1D,10Yx10Y,44,0.0012991324713652506,0.0029239122381211698,-0.0004490255310685143,0.009335891086514891,0.4443130865651561
USD-FEDFUNDS-1D,1Yx10Y,44,-0.05420818228774857,0.12602484219709761,-0.6799955841507277,0.1688939760238206,0.43013886264558243
NOK-NOWA-1D,10Yx10Y,44,-0.004662548747211029,0.010990217905486899,-0.030014306187586826,0.0029883647437944916,0.42424534138520015
USD-FEDFUNDS-1D,1Yx1Y,44,-0.4354336960733638,1.0586833259435595,-5.70365143036109,1.4661317343868774,0.411297396872932
JPY-TONAR-1D,2Yx5Y,43,0.0031980645657045843,0.008027816609655774,-0.00713212461627144,0.025720040898224994,0.3983728977886697
