TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Fixed_Fixed,UPI,QZJQF8F4GCQD,New,,2023-10-25 22:58:24,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd RUB,N/A,RUB,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZH29QMS05W8,New,,2023-10-25 22:58:33,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd INR,N/A,INR,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZVF26H1H0N6,New,,2023-10-25 22:58:41,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd RON,N/A,RON,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ3KZ65BJHN2,New,,2023-10-25 22:59:03,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd UGX,,UGX,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZMT7VBS8CZ5,New,,2023-10-25 22:59:09,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CNY,,CNY,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZF3XBLXVZ4K,New,,2023-10-25 23:01:17,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd KWD,N/A,KWD,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZDFGQ97M7VG,New,,2023-10-25 23:01:22,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd IDR,,IDR,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ9NPFS2BZM0,New,,2023-10-25 23:01:30,SRDYSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd BRL,N/A,BRL,Custom,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZVDKMNWPCD9,New,,2023-10-25 23:03:26,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd OMR,,OMR,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZVJR6MGG18W,New,,2023-10-25 23:03:26,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd OMR,N/A,OMR,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
