TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ89H1B5L22B,New,,2024-03-18T15:37:20,HFVGMC,NA/O Fwd Vol O GBP USD,GBP USD,Volatility,,Cash,GBP,USD,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ98LWWR0XQP,New,,2024-03-27T18:50:58,HFVHMC,NA/O Fwd Vol O BRL EUR,BRL EUR,Volatility,,Cash,BRL,EUR,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ2HTKJ69Q5L,New,,2024-03-29T13:01:33,HFVGMC,NA/O Fwd Vol O CNY USD,CNY USD,Volatility,,Cash,CNY,USD,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZNTC7R2JKKV,New,,2024-03-29T13:02:37,HFVGMC,NA/O Fwd Vol O AUD JPY,AUD JPY,Volatility,,Cash,AUD,JPY,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZHVN9XC520F,New,,2024-03-29T13:03:59,HFVGMC,NA/O Fwd Vol O AUD USD,AUD USD,Volatility,,Cash,AUD,USD,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZNKFXSFXZTD,New,,2024-03-29T13:05:06,HFVGMC,NA/O Fwd Vol O CAD USD,CAD USD,Volatility,,Cash,CAD,USD,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZD58W1M1SC7,New,,2024-03-29T13:06:12,HFVGMC,NA/O Fwd Vol O CHF EUR,CHF EUR,Volatility,,Cash,CHF,EUR,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ54HV30CK2H,New,,2024-03-29T13:06:37,HFVGMC,NA/O Fwd Vol O CHF USD,CHF USD,Volatility,,Cash,CHF,USD,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZK96TH0W7BZ,New,,2024-04-03T16:01:27,HFVGMP,NA/O Fwd Vol O GBP ZAR,GBP ZAR,Volatility,,Physical,GBP,ZAR,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZV6WJBQHT8K,New,,2024-04-04T09:24:57,HFVHMC,NA/O Fwd Vol O AUD CNY,AUD CNY,Volatility,,Cash,AUD,CNY,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZJFMXZNMWZX,New,,2024-04-19T13:21:54,HFVBMC,NA/O Fwd Vol Call EUR GBP,EUR GBP,Volatility,,Cash,EUR,GBP,CASH,,,Other,American-Call,CALL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZCNTPBKQ373,New,,2024-04-25T05:40:07,HFVHMP,NA/O Fwd Vol O AUD JPY,AUD JPY,Volatility,,Physical,AUD,JPY,PHYS,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ6W3X3NN9RD,New,,2024-05-02T14:04:52,HFVEMC,NA/O Fwd Vol Put CNY USD,CNY USD,Volatility,,Cash,CNY,USD,CASH,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ3H54R234LS,New,,2024-05-13T11:13:36,HFVHMC,NA/O Fwd Vol O CZK EUR,CZK EUR,Volatility,,Cash,CZK,EUR,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZX6XLWXTL6X,New,,2024-05-29T14:55:36,HFVHMC,NA/O Fwd Vol O JPY NZD,JPY NZD,Volatility,,Cash,JPY,NZD,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZSCS4HCFQ28,New,,2024-06-11T18:39:27,HFVEMP,NA/O Fwd Vol Put MXN USD,MXN USD,Volatility,,Physical,MXN,USD,PHYS,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ070JX2RX4M,New,,2024-06-11T18:39:27,HFVHMP,NA/O Fwd Vol O MXN USD,MXN USD,Volatility,,Physical,MXN,USD,PHYS,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZZRT5DZJNZG,New,,2024-06-12T10:10:24,HFVEMC,NA/O Fwd Vol Put EUR USD,EUR USD,Volatility,,Cash,EUR,USD,CASH,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ82Z7B670MN,New,,2024-06-13T16:13:27,HFVBMC,NA/O Fwd Vol Call USD XPT,USD XPT,Volatility,,Cash,USD,XPT,CASH,,,Other,American-Call,CALL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZVVPFDTWW0C,New,,2024-06-18T14:14:47,HFVGMC,NA/O Fwd Vol O GBP XXX,GBP XXX,Volatility,,Cash,GBP,XXX,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ1CBSKS5QLB,New,,2024-06-18T18:21:18,HFVGMC,NA/O Fwd Vol O USD XXX,USD XXX,Volatility,,Cash,USD,XXX,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZLZ8H5BD6JR,New,,2024-06-19T00:38:54,HFVEMC,NA/O Fwd Vol Put JPY USD,JPY USD,Volatility,,Cash,JPY,USD,CASH,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZNXRNJS52B3,New,,2024-06-20T16:01:33,HFVGMP,NA/O Fwd Vol O CZK EUR,CZK EUR,Volatility,,Physical,CZK,EUR,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ402HBTC2MF,New,,2024-06-21T19:09:41,HFVEMC,NA/O Fwd Vol Put BRL USD,BRL USD,Volatility,,Cash,BRL,USD,CASH,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ3142K0TRLP,New,,2024-06-21T19:09:42,HFVHMC,NA/O Fwd Vol O BRL USD,BRL USD,Volatility,,Cash,BRL,USD,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZVBDW2D0SB3,New,,2024-06-25T12:55:59,HFVGMC,NA/O Fwd Vol O EUR XXX,EUR XXX,Volatility,,Cash,EUR,XXX,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ147KTR3FP0,New,,2024-06-26T15:54:31,HFVBMC,NA/O Fwd Vol Call EUR NZD,EUR NZD,Volatility,,Cash,EUR,NZD,CASH,,,Other,American-Call,CALL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ4G0CNP1HKM,New,,2024-06-27T16:03:15,HFVBMC,NA/O Fwd Vol Call AUD USD,AUD USD,Volatility,,Cash,AUD,USD,CASH,,,Other,American-Call,CALL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZFCJ6C27D9J,New,,2024-06-28T08:30:43,HFVEMP,NA/O Fwd Vol Put SGD USD,SGD USD,Volatility,,Physical,SGD,USD,PHYS,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZGS25N2TWT5,New,,2024-07-03T13:02:30,HFVHMP,NA/O Fwd Vol O THB USD,THB USD,Volatility,,Physical,THB,USD,PHYS,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ63K6355461,New,,2024-07-04T05:45:04,HFVEMC,NA/O Fwd Vol Put KRW USD,KRW USD,Volatility,,Cash,KRW,USD,CASH,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZBSZ219GHKS,New,,2024-07-04T12:19:29,HFVEMP,NA/O Fwd Vol Put INR USD,INR USD,Volatility,,Physical,INR,USD,PHYS,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ219409W2R7,New,,2024-07-08T02:14:10,HFVHMP,NA/O Fwd Vol O IDR USD,IDR USD,Volatility,,Physical,IDR,USD,PHYS,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZG62WB7TJ64,New,,2024-07-08T02:14:10,HFVEMP,NA/O Fwd Vol Put IDR USD,IDR USD,Volatility,,Physical,IDR,USD,PHYS,,,Other,American-Put,PUTO,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZNHB7KGLHLP,New,,2024-07-09T13:03:44,HFVBMC,NA/O Fwd Vol Call EUR MXN,EUR MXN,Volatility,,Cash,EUR,MXN,CASH,,,Other,American-Call,CALL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ7WNJCXGHKR,New,,2024-07-09T13:03:44,HFVHMC,NA/O Fwd Vol O EUR MXN,EUR MXN,Volatility,,Cash,EUR,MXN,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZZK3KHSFDKR,New,,2024-07-25T15:36:37,HFVGMC,NA/O Fwd Vol O AUD GBP,AUD GBP,Volatility,,Cash,AUD,GBP,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ0525JZZM51,New,,2024-07-29T14:59:37,HFVBMC,NA/O Fwd Vol Call EUR KRW,EUR KRW,Volatility,,Cash,EUR,KRW,CASH,,,Other,American-Call,CALL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ16KZL998CQ,New,,2024-07-29T14:59:38,HFVHMC,NA/O Fwd Vol O EUR KRW,EUR KRW,Volatility,,Cash,EUR,KRW,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
