TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_DeliveryType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,NDF,UPI,QZNN64KGBTM1,New,,2023-12-13 03:07:19,JFTXFC,NA/Fwd NDF NIO USD,NIO USD,Spot,Forward price of underlying instrument,CASH,Cash,NIO,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ3D3GZ2XM37,New,,2023-12-13 03:07:30,JFTXFC,NA/Fwd NDF ARS SEK,ARS SEK,Spot,Forward price of underlying instrument,CASH,Cash,ARS,SEK,SEK,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZMWP8V7XF1Z,New,,2023-12-13 03:07:37,JFTXFC,NA/Fwd NDF EUR KZT,EUR KZT,Spot,Forward price of underlying instrument,CASH,Cash,EUR,KZT,NOK,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZDW63QLJX6F,New,,2023-12-13 03:07:51,JFTXFC,NA/Fwd NDF CNY ZAR,CNY ZAR,Spot,Forward price of underlying instrument,CASH,Cash,CNY,ZAR,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZKFQLFM8VL4,New,,2023-12-13 03:08:43,JFTXFC,NA/Fwd NDF BRL VES,BRL VES,Spot,Forward price of underlying instrument,CASH,Cash,BRL,VES,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZTZR9WC2HMD,New,,2023-12-13 03:08:46,JFTXFC,NA/Fwd NDF BRL TRY,BRL TRY,Spot,Forward price of underlying instrument,CASH,Cash,BRL,TRY,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZSMH9VV0VRD,New,,2023-12-13 03:08:59,JFTXFC,NA/Fwd NDF GBP JPY,GBP JPY,Spot,Forward price of underlying instrument,CASH,Cash,GBP,JPY,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZZT3FB7M8HB,New,,2023-12-13 03:08:59,JFTXFC,NA/Fwd NDF NOK SEK,NOK SEK,Spot,Forward price of underlying instrument,CASH,Cash,NOK,SEK,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ3Q7TJ0L83R,New,,2023-12-13 03:09:04,JFTXFC,NA/Fwd NDF MMK USD,MMK USD,Spot,Forward price of underlying instrument,CASH,Cash,MMK,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZXVG4X0SPQX,New,,2023-12-13 03:09:05,JFTXFC,NA/Fwd NDF EUR KGS,EUR KGS,Spot,Forward price of underlying instrument,CASH,Cash,EUR,KGS,EUR,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZR2MT1FMPZD,New,,2023-12-13 03:09:31,JFTXFC,NA/Fwd NDF KRW NOK,KRW NOK,Spot,Forward price of underlying instrument,CASH,Cash,KRW,NOK,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZWK19LSBD3H,New,,2023-12-13 03:10:21,JFTXFC,NA/Fwd NDF EUR RSD,EUR RSD,Spot,Forward price of underlying instrument,CASH,Cash,EUR,RSD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ35SKSVTGCK,New,,2023-12-13 03:10:22,JFTXFC,NA/Fwd NDF INR NZD,INR NZD,Spot,Forward price of underlying instrument,CASH,Cash,INR,NZD,INR,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZZN4PQF2NHN,New,,2023-12-13 03:10:52,JFTXFC,NA/Fwd NDF KES ZAR,KES ZAR,Spot,Forward price of underlying instrument,CASH,Cash,KES,ZAR,ZAR,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZPMMF3NB6L0,New,,2023-12-13 03:11:13,JFTXFC,NA/Fwd NDF RUB TRY,RUB TRY,Spot,Forward price of underlying instrument,CASH,Cash,RUB,TRY,TRY,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ2DQRN9JSPL,New,,2023-12-13 03:11:32,JFTXFC,NA/Fwd NDF RUB USD,RUB USD,Spot,Forward price of underlying instrument,CASH,Cash,RUB,USD,EUR,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZH52MLGNNJV,New,,2023-12-13 03:11:35,JFTXFC,NA/Fwd NDF STN USD,STN USD,Spot,Forward price of underlying instrument,CASH,Cash,STN,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZFZ77F169BQ,New,,2023-12-13 03:12:08,JFTXFC,NA/Fwd NDF INR JPY,INR JPY,Spot,Forward price of underlying instrument,CASH,Cash,INR,JPY,XXX,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZJW7L1B0RPS,New,,2023-12-13 03:12:09,JFTXFC,NA/Fwd NDF EUR IDR,EUR IDR,Spot,Forward price of underlying instrument,CASH,Cash,EUR,IDR,XXX,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZT8ZNTWDPMF,New,,2023-12-13 03:12:21,JFTXFC,NA/Fwd NDF XAG XAU,XAG XAU,Spot,Forward price of underlying instrument,CASH,Cash,XAG,XAU,XAG,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ5MD0WSZGN2,New,,2023-12-13 03:12:22,JFTXFC,NA/Fwd NDF BRL COP,BRL COP,Spot,Forward price of underlying instrument,CASH,Cash,BRL,COP,COP,,,,,,,,,
