TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZFLHSJNWG5P,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot NOK USD,NOK USD,Spot,Forward price of underlying instrument,Cash,NOK,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZXKJHC9R4LT,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot EUR SEK,EUR SEK,Spot,Forward price of underlying instrument,Cash,EUR,SEK,SEK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ78JSFZCNM2,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot CZK USD,CZK USD,Spot,Forward price of underlying instrument,Cash,CZK,USD,CZK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZVBVZB40GK8,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot EUR ZAR,EUR ZAR,Spot,Forward price of underlying instrument,Cash,EUR,ZAR,ZAR,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZJNTZQVHBRR,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot PLN USD,PLN USD,Spot,Forward price of underlying instrument,Cash,PLN,USD,PLN,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZLCJZGNQSWL,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot NOK USD,NOK USD,Spot,Forward price of underlying instrument,Cash,NOK,USD,NOK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZGMGVB3SQV3,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot CAD EUR,CAD EUR,Spot,Forward price of underlying instrument,Cash,CAD,EUR,CAD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZK30L3T5SCN,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot EUR NOK,EUR NOK,Spot,Forward price of underlying instrument,Cash,EUR,NOK,NOK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ9R6J6QQLPC,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot SGD USD,SGD USD,Spot,Forward price of underlying instrument,Cash,SGD,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ1Z79183JV4,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot CAD USD,CAD USD,Spot,Forward price of underlying instrument,Cash,CAD,USD,CAD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ45FZ0X2J6G,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot EUR PLN,EUR PLN,Spot,Forward price of underlying instrument,Cash,EUR,PLN,PLN,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZB4LQ0700ZF,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot EUR SGD,EUR SGD,Spot,Forward price of underlying instrument,Cash,EUR,SGD,SGD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZKWHL9ZKR77,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot GBP USD,GBP USD,Spot,Forward price of underlying instrument,Cash,GBP,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ2J6S3MQ845,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot CHF JPY,CHF JPY,Spot,Forward price of underlying instrument,Cash,CHF,JPY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ7CXWPSBNBH,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot CAD USD,CAD USD,Spot,Forward price of underlying instrument,Cash,CAD,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZZ159JF2Z2D,New,,2023-11-11 11:48:50,JFTXFC,NA/Fwd Rlg Spot MXN USD,MXN USD,Spot,Forward price of underlying instrument,Cash,MXN,USD,MXN,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZTNS0QXHWR3,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot CHF GBP,CHF GBP,Spot,Forward price of underlying instrument,Cash,CHF,GBP,CHF,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZN9FNQRCR35,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot JPY ZAR,JPY ZAR,Spot,Forward price of underlying instrument,Cash,JPY,ZAR,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZNZJ137DLFH,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot CAD JPY,CAD JPY,Spot,Forward price of underlying instrument,Cash,CAD,JPY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZXJQ0FNW9MM,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot CHF EUR,CHF EUR,Spot,Forward price of underlying instrument,Cash,CHF,EUR,CHF,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZJZHQXWJBCS,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot JPY SGD,JPY SGD,Spot,Forward price of underlying instrument,Cash,JPY,SGD,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZV6GZDV88GX,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot CAD GBP,CAD GBP,Spot,Forward price of underlying instrument,Cash,CAD,GBP,CAD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZVL6HZZV513,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot JPY NZD,JPY NZD,Spot,Forward price of underlying instrument,Cash,JPY,NZD,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZDZB1CMKCZJ,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot GBP JPY,GBP JPY,Spot,Forward price of underlying instrument,Cash,GBP,JPY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZM9FK8QH8V3,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot AUD CHF,AUD CHF,Spot,Forward price of underlying instrument,Cash,AUD,CHF,CHF,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZB9FWPDDW26,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot CHF NZD,CHF NZD,Spot,Forward price of underlying instrument,Cash,CHF,NZD,CHF,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZJ9WX3XL6BT,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot SGD USD,SGD USD,Spot,Forward price of underlying instrument,Cash,SGD,USD,SGD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZXFS9GQMQ9T,New,,2023-11-11 11:48:51,JFTXFC,NA/Fwd Rlg Spot AUD GBP,AUD GBP,Spot,Forward price of underlying instrument,Cash,AUD,GBP,AUD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZFDFH6WG299,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot CZK USD,CZK USD,Spot,Forward price of underlying instrument,Cash,CZK,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZF15X9MMGQF,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot GBP NZD,GBP NZD,Spot,Forward price of underlying instrument,Cash,GBP,NZD,NZD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ1XXK0T63CQ,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot HKD USD,HKD USD,Spot,Forward price of underlying instrument,Cash,HKD,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZB3XFSRXX21,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot CAD NZD,CAD NZD,Spot,Forward price of underlying instrument,Cash,CAD,NZD,CAD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ9KBPW3S5LN,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot CHF SEK,CHF SEK,Spot,Forward price of underlying instrument,Cash,CHF,SEK,SEK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZT5DDTNSJ16,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot GBP SEK,GBP SEK,Spot,Forward price of underlying instrument,Cash,GBP,SEK,SEK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZRF40ZLN03H,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot AUD NZD,AUD NZD,Spot,Forward price of underlying instrument,Cash,AUD,NZD,NZD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ1PXC3ZMV5F,New,,2023-11-11 11:48:52,JFTXFC,NA/Fwd Rlg Spot AUD CAD,AUD CAD,Spot,Forward price of underlying instrument,Cash,AUD,CAD,CAD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZBVVR4QGJTL,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot IDR USD,IDR USD,Spot,Forward price of underlying instrument,Cash,IDR,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZJVCXS2K08V,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot DKK USD,DKK USD,Spot,Forward price of underlying instrument,Cash,DKK,USD,DKK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ8F9CNLRCFX,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot DKK EUR,DKK EUR,Spot,Forward price of underlying instrument,Cash,DKK,EUR,DKK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZZSDNXXDS1H,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot TWD USD,TWD USD,Spot,Forward price of underlying instrument,Cash,TWD,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ84KN1F6001,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot PLN USD,PLN USD,Spot,Forward price of underlying instrument,Cash,PLN,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZWD2WVKQ2MF,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot USD ZAR,USD ZAR,Spot,Forward price of underlying instrument,Cash,USD,ZAR,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZW55C2P25SV,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot HKD JPY,HKD JPY,Spot,Forward price of underlying instrument,Cash,HKD,JPY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZM01L0S9358,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot CNY USD,CNY USD,Spot,Forward price of underlying instrument,Cash,CNY,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ92HH7MJL68,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot PHP USD,PHP USD,Spot,Forward price of underlying instrument,Cash,PHP,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZH4RHCBN45Q,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot KRW USD,KRW USD,Spot,Forward price of underlying instrument,Cash,KRW,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ0RPWFQ3Z2Q,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot HKD USD,HKD USD,Spot,Forward price of underlying instrument,Cash,HKD,USD,HKD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ2MRTS89ZTV,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot INR USD,INR USD,Spot,Forward price of underlying instrument,Cash,INR,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ8MHD8L72FB,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot JPY MXN,JPY MXN,Spot,Forward price of underlying instrument,Cash,JPY,MXN,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ3VZ2R4C0SK,New,,2023-11-11 11:48:53,JFTXFC,NA/Fwd Rlg Spot HUF USD,HUF USD,Spot,Forward price of underlying instrument,Cash,HUF,USD,USD,CASH,,,,,,,,,
