bank,Date,TimestampNYC,ts_local,local_hour,Title,Impact,Currency,EventId
FED,2021-04-14,2021-04-14 16:00:00-04:00,2021-04-14 16:00:00-04:00,16,FOMC Member Bostic Speaks,low,USD,121707
FED,2021-04-15,2021-04-15 11:30:00-04:00,2021-04-15 11:30:00-04:00,11,FOMC Member Bostic Speaks,low,USD,121710
FED,2021-04-15,2021-04-15 14:00:00-04:00,2021-04-15 14:00:00-04:00,14,FOMC Member Daly Speaks,low,USD,121711
FED,2021-05-03,2021-05-03 14:10:00-04:00,2021-05-03 14:10:00-04:00,14,FOMC Member Williams Speaks,low,USD,121730
FED,2021-05-03,2021-05-03 14:20:00-04:00,2021-05-03 14:20:00-04:00,14,FOMC Member Powell Speaks,high,USD,121728
FED,2021-05-04,2021-05-04 13:00:00-04:00,2021-05-04 13:00:00-04:00,13,FOMC Member Daly Speaks,low,USD,121729
FED,2021-05-05,2021-05-05 09:30:00-04:00,2021-05-05 09:30:00-04:00,9,FOMC Member Evans Speaks,low,USD,121731
FED,2021-05-05,2021-05-05 15:00:00-04:00,2021-05-05 15:00:00-04:00,15,FOMC Member Evans Speaks,low,USD,121732
FED,2021-05-06,2021-05-06 09:00:00-04:00,2021-05-06 09:00:00-04:00,9,FOMC Member Williams Speaks,low,USD,121741
FED,2021-05-06,2021-05-06 13:00:00-04:00,2021-05-06 13:00:00-04:00,13,FOMC Member Bostic Speaks,low,USD,121733
FED,2021-05-07,2021-05-07 09:00:00-04:00,2021-05-07 09:00:00-04:00,9,FOMC Member Barkin Speaks,low,USD,121742
FED,2021-05-10,2021-05-10 14:00:00-04:00,2021-05-10 14:00:00-04:00,14,FOMC Member Evans Speaks,low,USD,121745
FED,2021-05-11,2021-05-11 10:30:00-04:00,2021-05-11 10:30:00-04:00,10,FOMC Member Williams Speaks,low,USD,121747
FED,2021-05-11,2021-05-11 12:00:00-04:00,2021-05-11 12:00:00-04:00,12,FOMC Member Brainard Speaks,low,USD,121748
FED,2021-05-11,2021-05-11 13:00:00-04:00,2021-05-11 13:00:00-04:00,13,FOMC Member Daly Speaks,low,USD,121749
FED,2021-05-11,2021-05-11 13:15:00-04:00,2021-05-11 13:15:00-04:00,13,FOMC Member Bostic Speaks,low,USD,121755
FED,2021-05-12,2021-05-12 09:00:00-04:00,2021-05-12 09:00:00-04:00,9,FOMC Member Clarida Speaks,low,USD,121751
FED,2021-05-12,2021-05-12 13:00:00-04:00,2021-05-12 13:00:00-04:00,13,FOMC Member Bostic Speaks,low,USD,121759
FED,2021-05-13,2021-05-13 10:00:00-04:00,2021-05-13 10:00:00-04:00,10,FOMC Member Barkin Speaks,low,USD,121760
FED,2021-05-13,2021-05-13 13:00:00-04:00,2021-05-13 13:00:00-04:00,13,FOMC Member Waller Speaks,low,USD,121761
FED,2021-05-17,2021-05-17 10:05:00-04:00,2021-05-17 10:05:00-04:00,10,FOMC Member Clarida Speaks,low,USD,121765
FED,2021-05-17,2021-05-17 10:25:00-04:00,2021-05-17 10:25:00-04:00,10,FOMC Member Clarida Speaks,low,USD,121766
FED,2021-05-17,2021-05-17 10:25:00-04:00,2021-05-17 10:25:00-04:00,10,FOMC Member Bostic Speaks,low,USD,121767
FED,2021-05-18,2021-05-18 12:30:00-04:00,2021-05-18 12:30:00-04:00,12,FOMC Member Bostic Speaks,low,USD,121768
FED,2021-05-19,2021-05-19 11:35:00-04:00,2021-05-19 11:35:00-04:00,11,FOMC Member Bostic Speaks,low,USD,121770
FED,2021-05-21,2021-05-21 13:30:00-04:00,2021-05-21 13:30:00-04:00,13,FOMC Member Daly Speaks,low,USD,121781
FED,2021-05-24,2021-05-24 09:00:00-04:00,2021-05-24 09:00:00-04:00,9,FOMC Member Brainard Speaks,low,USD,121785
FED,2021-05-24,2021-05-24 12:00:00-04:00,2021-05-24 12:00:00-04:00,12,FOMC Member Bostic Speaks,low,USD,121786
FED,2021-05-25,2021-05-25 09:40:00-04:00,2021-05-25 09:40:00-04:00,9,FOMC Member Evans Speaks,low,USD,121796
FED,2021-05-25,2021-05-25 10:00:00-04:00,2021-05-25 10:00:00-04:00,10,FOMC Member Quarles Speaks,low,USD,121787
FED,2021-05-26,2021-05-26 10:00:00-04:00,2021-05-26 10:00:00-04:00,10,FOMC Member Quarles Speaks,low,USD,121792
FED,2021-05-26,2021-05-26 15:00:00-04:00,2021-05-26 15:00:00-04:00,15,FOMC Member Quarles Speaks,low,USD,121793
FED,2021-06-01,2021-06-01 10:00:00-04:00,2021-06-01 10:00:00-04:00,10,FOMC Member Quarles Speaks,low,USD,121817
FED,2021-06-01,2021-06-01 14:00:00-04:00,2021-06-01 14:00:00-04:00,14,FOMC Member Brainard Speaks,medium,USD,121818
FED,2021-06-02,2021-06-02 14:00:00-04:00,2021-06-02 14:00:00-04:00,14,FOMC Member Evans Speaks,low,USD,121806
FED,2021-06-02,2021-06-02 14:00:00-04:00,2021-06-02 14:00:00-04:00,14,FOMC Member Bostic Speaks,low,USD,121807
FED,2021-06-03,2021-06-03 12:30:00-04:00,2021-06-03 12:30:00-04:00,12,FOMC Member Bostic Speaks,low,USD,121809
FED,2021-06-03,2021-06-03 15:05:00-04:00,2021-06-03 15:05:00-04:00,15,FOMC Member Quarles Speaks,low,USD,121810
FED,2021-06-04,2021-06-04 07:00:00-04:00,2021-06-04 07:00:00-04:00,7,FOMC Member Powell Speaks,high,USD,121811
FED,2021-06-21,2021-06-21 15:00:00-04:00,2021-06-21 15:00:00-04:00,15,FOMC Member Williams Speaks,low,USD,121832
FED,2021-06-22,2021-06-22 11:00:00-04:00,2021-06-22 11:00:00-04:00,11,FOMC Member Daly Speaks,low,USD,121835
FED,2021-06-22,2021-06-22 14:00:00-04:00,2021-06-22 14:00:00-04:00,14,Fed Chairman Powell Testifies,high,USD,121836
FED,2021-06-23,2021-06-23 09:00:00-04:00,2021-06-23 09:00:00-04:00,9,FOMC Member Bowman Speaks,low,USD,121838
FED,2021-06-23,2021-06-23 11:00:00-04:00,2021-06-23 11:00:00-04:00,11,FOMC Member Bostic Speaks,low,USD,121839
FED,2021-06-24,2021-06-24 09:30:00-04:00,2021-06-24 09:30:00-04:00,9,FOMC Member Bostic Speaks,low,USD,121840
FED,2021-06-24,2021-06-24 11:00:00-04:00,2021-06-24 11:00:00-04:00,11,FOMC Member Williams Speaks,low,USD,121833
FED,2021-06-28,2021-06-28 09:00:00-04:00,2021-06-28 09:00:00-04:00,9,FOMC Member Williams Speaks,low,USD,121846
FED,2021-06-28,2021-06-28 12:00:00-04:00,2021-06-28 12:00:00-04:00,12,FOMC Member Barkin Speaks,low,USD,121858
