config,panel,trades,total_bp,avg_bp,hit_rate,sr_per_trade,t_stat,max_dd_bp,span_days,trades_per_year
grid|SR3 r3|CPI|m5|h240|momentum,grid,73,-33.00000000000267,-0.45205479452058456,0.410958904109589,-0.08965256334031924,-0.7659918369570047,-69.00000000000261,2740.9583333333335,9.727710806743383
grid|SR3 r3|payrolls|m1|h15|fade,grid,82,-14.000000000007162,-0.1707317073171605,0.47560975609756095,-0.07404824334209012,-0.670535362265146,-25.000000000008527,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h15|momentum,grid,82,14.000000000007162,0.1707317073171605,0.45121951219512196,0.07404824334209012,0.670535362265146,-11.499999999999488,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h30|fade,grid,82,-18.499999999998806,-0.2256097560975464,0.43902439024390244,-0.0722837887267405,-0.6545575461643909,-34.499999999997044,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h30|momentum,grid,82,18.499999999998806,0.2256097560975464,0.4268292682926829,0.0722837887267405,0.6545575461643909,-13.49999999999909,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h60|fade,grid,82,-10.000000000002274,-0.12195121951222285,0.4268292682926829,-0.037226198720023584,-0.3370975666386517,-36.50000000000233,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h60|momentum,grid,82,10.000000000002274,0.12195121951222285,0.47560975609756095,0.037226198720023584,0.3370975666386517,-19.499999999999318,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h120|fade,grid,82,-32.50000000000597,-0.39634146341470694,0.45121951219512196,-0.08270132780193568,-0.7488923746818792,-61.000000000001364,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h120|momentum,grid,82,32.50000000000597,0.39634146341470694,0.43902439024390244,0.08270132780193568,0.7488923746818792,-32.99999999999983,2771.9583333333335,10.804816089707938
grid|SR3 r3|payrolls|m1|h240|fade,grid,80,-77.99999999999443,-0.9749999999999304,0.35,-0.20692337674856934,-1.850778946174402,-84.99999999999659,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m1|h240|momentum,grid,80,77.99999999999443,0.9749999999999304,0.5625,0.20692337674856934,1.850778946174402,-15.999999999999659,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h15|fade,grid,80,7.999999999991303,0.09999999999989129,0.475,0.05357834949750836,0.4792193263946816,-7.000000000000739,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h15|momentum,grid,80,-7.999999999991303,-0.09999999999989129,0.3625,-0.05357834949750836,-0.4792193263946816,-17.99999999999642,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h30|fade,grid,80,5.999999999998806,0.07499999999998508,0.475,0.028645442075056742,0.25621262290143804,-13.500000000001933,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h30|momentum,grid,80,-5.999999999998806,-0.07499999999998508,0.4,-0.028645442075056742,-0.25621262290143804,-18.999999999999773,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h60|fade,grid,80,5.999999999998806,0.07499999999998508,0.475,0.02635952362935244,0.2357667467589761,-22.500000000002274,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h60|momentum,grid,80,-5.999999999998806,-0.07499999999998508,0.4,-0.02635952362935244,-0.2357667467589761,-30.49999999999926,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h120|fade,grid,80,-15.50000000000722,-0.19375000000009024,0.4625,-0.043375364518029945,-0.38796105444458945,-56.00000000000449,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h120|momentum,grid,80,15.50000000000722,0.19375000000009024,0.45,0.043375364518029945,0.38796105444458945,-56.49999999999835,2771.9583333333335,10.541283989958963
grid|SR3 r3|payrolls|m5|h240|fade,grid,78,-55.5000000000021,-0.7115384615384885,0.3717948717948718,-0.15906561160423047,-1.4048294437447475,-61.50000000000091,2771.9583333333335,10.27775189020999
grid|SR3 r3|payrolls|m5|h240|momentum,grid,78,55.5000000000021,0.7115384615384885,0.5256410256410257,0.15906561160423047,1.4048294437447475,-35.99999999999852,2771.9583333333335,10.27775189020999
grid|SR3 r3|jobless claims|m1|h15|fade,grid,218,-10.000000000000853,-0.04587155963303143,0.3761467889908257,-0.02667847917380955,-0.39390302451741976,-26.499999999995794,2667.0,29.855455568053994
grid|SR3 r3|jobless claims|m1|h15|momentum,grid,218,10.000000000000853,0.04587155963303143,0.38990825688073394,0.02667847917380955,0.39390302451741976,-25.49999999999386,2667.0,29.855455568053994
grid|SR3 r3|jobless claims|m1|h30|fade,grid,219,-30.999999999998806,-0.14155251141551967,0.3926940639269406,-0.05982146312955357,-0.8852768108113741,-54.50000000000301,2667.0,29.992407199100114
grid|SR3 r3|jobless claims|m1|h30|momentum,grid,219,30.999999999998806,0.14155251141551967,0.4429223744292237,0.05982146312955357,0.8852768108113741,-20.00000000000597,2667.0,29.992407199100114
grid|SR3 r3|jobless claims|m1|h60|fade,grid,219,-25.49999999999386,-0.11643835616435554,0.4292237442922374,-0.0430838475248335,-0.6375827192936924,-48.99999999998812,2667.0,29.992407199100114
grid|SR3 r3|jobless claims|m1|h60|momentum,grid,219,25.49999999999386,0.11643835616435554,0.4155251141552511,0.0430838475248335,0.6375827192936924,-30.99999999999028,2667.0,29.992407199100114
grid|SR3 r3|jobless claims|m1|h120|fade,grid,219,-69.49999999999363,-0.3173515981734869,0.4474885844748858,-0.10039698053187361,-1.4857396340819318,-92.99999999999784,2667.0,29.992407199100114
grid|SR3 r3|jobless claims|m1|h120|momentum,grid,219,69.49999999999363,0.3173515981734869,0.4474885844748858,0.10039698053187361,1.4857396340819318,-29.50000000000017,2667.0,29.992407199100114
grid|SR3 r3|jobless claims|m1|h240|fade,grid,216,-67.00000000000159,-0.31018518518519256,0.4398148148148148,-0.07199706353961867,-1.058136411904828,-74.00000000000091,2667.0,29.581552305961758
