config,direction,threshold,bracket_family,bracket,trail,time_stop,base_trades,trades,gross_bp,net_bp,total_net_bp,hit_rate,sr_per_trade,t_stat,avg_hold_min,pct_target,pct_stop,pct_time
fade|mv0|tp1.5f|sl0.5f|tr2|t30,fade,0.0,frac,tp1.5f|sl0.5f,2.0,30,41,41,0.05404061450025741,-0.1848593854997426,-7.579234805489446,0.3902439024390244,-0.3856738083683472,-2.4695173101063954,5.536585365853658,0.3902439024390244,0.5853658536585366,0.024390243902439025
fade|mv0|tp1.5f|sl0.5f|tr2|t58,fade,0.0,frac,tp1.5f|sl0.5f,2.0,58,41,41,0.08634593150222741,-0.1525540684977726,-6.254716808408676,0.4146341463414634,-0.29416117085645893,-1.8835505228226175,5.7560975609756095,0.4146341463414634,0.5853658536585366,0.0
fade|mv0|tp1.5f|sl0.5f|tr2|t118,fade,0.0,frac,tp1.5f|sl0.5f,2.0,118,41,41,0.08634593150222741,-0.1525540684977726,-6.254716808408676,0.4146341463414634,-0.29416117085645893,-1.8835505228226175,5.7560975609756095,0.4146341463414634,0.5853658536585366,0.0
fade|mv0|tp1.5f|sl0.5f|tr2|t238,fade,0.0,frac,tp1.5f|sl0.5f,2.0,238,41,41,0.08634593150222741,-0.1525540684977726,-6.254716808408676,0.4146341463414634,-0.29416117085645893,-1.8835505228226175,5.7560975609756095,0.4146341463414634,0.5853658536585366,0.0
fade|mv0|tp1.5f|sl0.5f|tr4|t30,fade,0.0,frac,tp1.5f|sl0.5f,4.0,30,41,41,0.05404061450025741,-0.1848593854997426,-7.579234805489446,0.3902439024390244,-0.3856738083683472,-2.4695173101063954,5.536585365853658,0.3902439024390244,0.5853658536585366,0.024390243902439025
fade|mv0|tp1.5f|sl0.5f|tr4|t58,fade,0.0,frac,tp1.5f|sl0.5f,4.0,58,41,41,0.08634593150222741,-0.1525540684977726,-6.254716808408676,0.4146341463414634,-0.29416117085645893,-1.8835505228226175,5.7560975609756095,0.4146341463414634,0.5853658536585366,0.0
fade|mv0|tp1.5f|sl0.5f|tr4|t118,fade,0.0,frac,tp1.5f|sl0.5f,4.0,118,41,41,0.08634593150222741,-0.1525540684977726,-6.254716808408676,0.4146341463414634,-0.29416117085645893,-1.8835505228226175,5.7560975609756095,0.4146341463414634,0.5853658536585366,0.0
fade|mv0|tp1.5f|sl0.5f|tr4|t238,fade,0.0,frac,tp1.5f|sl0.5f,4.0,238,41,41,0.08634593150222741,-0.1525540684977726,-6.254716808408676,0.4146341463414634,-0.29416117085645893,-1.8835505228226175,5.7560975609756095,0.4146341463414634,0.5853658536585366,0.0
fade|mv0|tp1.5f|sl1f|tr-|t30,fade,0.0,frac,tp1.5f|sl1f,,30,41,41,0.020713469156134416,-0.21818653084386558,-8.945647764598489,0.4146341463414634,-0.39195986900714386,-2.5097677373406473,6.097560975609756,0.4146341463414634,0.5609756097560976,0.024390243902439025
fade|mv0|tp1.5f|sl1f|tr-|t58,fade,0.0,frac,tp1.5f|sl1f,,58,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr-|t118,fade,0.0,frac,tp1.5f|sl1f,,118,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr-|t238,fade,0.0,frac,tp1.5f|sl1f,,238,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr2|t30,fade,0.0,frac,tp1.5f|sl1f,2.0,30,41,41,0.020713469156134416,-0.21818653084386558,-8.945647764598489,0.4146341463414634,-0.39195986900714386,-2.5097677373406473,6.097560975609756,0.4146341463414634,0.5609756097560976,0.024390243902439025
fade|mv0|tp1.5f|sl1f|tr2|t58,fade,0.0,frac,tp1.5f|sl1f,2.0,58,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr2|t118,fade,0.0,frac,tp1.5f|sl1f,2.0,118,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr2|t238,fade,0.0,frac,tp1.5f|sl1f,2.0,238,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr4|t30,fade,0.0,frac,tp1.5f|sl1f,4.0,30,41,41,0.020713469156134416,-0.21818653084386558,-8.945647764598489,0.4146341463414634,-0.39195986900714386,-2.5097677373406473,6.097560975609756,0.4146341463414634,0.5609756097560976,0.024390243902439025
fade|mv0|tp1.5f|sl1f|tr4|t58,fade,0.0,frac,tp1.5f|sl1f,4.0,58,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr4|t118,fade,0.0,frac,tp1.5f|sl1f,4.0,118,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1f|tr4|t238,fade,0.0,frac,tp1.5f|sl1f,4.0,238,41,41,0.05301878615810441,-0.18588121384189557,-7.6211297675177185,0.43902439024390244,-0.3136226078134495,-2.0081645214971955,6.317073170731708,0.43902439024390244,0.5609756097560976,0.0
fade|mv0|tp1.5f|sl1.5f|tr-|t30,fade,0.0,frac,tp1.5f|sl1.5f,,30,41,41,-0.07432384772425482,-0.3132238477242548,-12.842177756694447,0.4634146341463415,-0.45455308486541063,-2.9105598749015815,8.512195121951219,0.4634146341463415,0.5121951219512195,0.024390243902439025
fade|mv0|tp1.5f|sl1.5f|tr-|t58,fade,0.0,frac,tp1.5f|sl1.5f,,58,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr-|t118,fade,0.0,frac,tp1.5f|sl1.5f,,118,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr-|t238,fade,0.0,frac,tp1.5f|sl1.5f,,238,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr2|t30,fade,0.0,frac,tp1.5f|sl1.5f,2.0,30,41,41,-0.07432384772425482,-0.3132238477242548,-12.842177756694447,0.4634146341463415,-0.45455308486541063,-2.9105598749015815,8.512195121951219,0.4634146341463415,0.5121951219512195,0.024390243902439025
fade|mv0|tp1.5f|sl1.5f|tr2|t58,fade,0.0,frac,tp1.5f|sl1.5f,2.0,58,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr2|t118,fade,0.0,frac,tp1.5f|sl1.5f,2.0,118,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr2|t238,fade,0.0,frac,tp1.5f|sl1.5f,2.0,238,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr4|t30,fade,0.0,frac,tp1.5f|sl1.5f,4.0,30,41,41,-0.07432384772425482,-0.3132238477242548,-12.842177756694447,0.4634146341463415,-0.45455308486541063,-2.9105598749015815,8.512195121951219,0.4634146341463415,0.5121951219512195,0.024390243902439025
fade|mv0|tp1.5f|sl1.5f|tr4|t58,fade,0.0,frac,tp1.5f|sl1.5f,4.0,58,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr4|t118,fade,0.0,frac,tp1.5f|sl1.5f,4.0,118,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl1.5f|tr4|t238,fade,0.0,frac,tp1.5f|sl1.5f,4.0,238,41,41,-0.04201853072228482,-0.28091853072228484,-11.517659759613679,0.4878048780487805,-0.38861460033588674,-2.488347566430996,8.731707317073171,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr-|t30,fade,0.0,frac,tp1.5f|sl2f,,30,41,41,-0.08988649317402995,-0.32878649317402997,-13.480246220135228,0.4634146341463415,-0.45361215486535755,-2.9045349832125136,9.268292682926829,0.4634146341463415,0.4878048780487805,0.04878048780487805
fade|mv0|tp1.5f|sl2f|tr-|t58,fade,0.0,frac,tp1.5f|sl2f,,58,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr-|t118,fade,0.0,frac,tp1.5f|sl2f,,118,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr-|t238,fade,0.0,frac,tp1.5f|sl2f,,238,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr2|t30,fade,0.0,frac,tp1.5f|sl2f,2.0,30,41,41,-0.08988649317402995,-0.32878649317402997,-13.480246220135228,0.4634146341463415,-0.45361215486535755,-2.9045349832125136,9.268292682926829,0.4634146341463415,0.4878048780487805,0.04878048780487805
fade|mv0|tp1.5f|sl2f|tr2|t58,fade,0.0,frac,tp1.5f|sl2f,2.0,58,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr2|t118,fade,0.0,frac,tp1.5f|sl2f,2.0,118,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr2|t238,fade,0.0,frac,tp1.5f|sl2f,2.0,238,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr4|t30,fade,0.0,frac,tp1.5f|sl2f,4.0,30,41,41,-0.08988649317402995,-0.32878649317402997,-13.480246220135228,0.4634146341463415,-0.45361215486535755,-2.9045349832125136,9.268292682926829,0.4634146341463415,0.4878048780487805,0.04878048780487805
fade|mv0|tp1.5f|sl2f|tr4|t58,fade,0.0,frac,tp1.5f|sl2f,4.0,58,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
fade|mv0|tp1.5f|sl2f|tr4|t118,fade,0.0,frac,tp1.5f|sl2f,4.0,118,41,41,-0.09553839252589522,-0.3344383925258952,-13.711974093561704,0.4878048780487805,-0.4106422029468237,-2.6293930426016257,10.073170731707316,0.4878048780487805,0.5121951219512195,0.0
