config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
TY|tier1|m5|h240|mv2,TY,tier1,5,240,2.0,8,16.06073961448282,2.0075924518103525,0.5,0.38571538030126484,0.3079049629519817,0.870886749057356,-10.581033180863514,1.569280343716434,1862.0
TY|tier1+2|m1|h15|mv0,TY,tier1+2,1,15,0.0,905,9.76342625548437,0.010788316304402619,0.44751381215469616,0.11925357108293218,0.01092649922905545,0.328704257333712,-28.365587803751378,119.11890899672294,2774.96875
TY|tier1+2|m1|h15|mv2,TY,tier1+2,1,15,2.0,3,0.3984231785412849,0.1328077261804283,0.3333333333333333,0.1330412131512707,0.1256870788147574,0.21769640636207366,-0.26530017786662513,1.1204465084572452,977.9583333333334
TY|tier1+2|m1|h30|mv0,TY,tier1+2,1,30,0.0,876,17.602597967159994,0.02009428991684931,0.4691780821917808,0.13121637356562735,0.012219963647297691,0.361677895523294,-50.1761727445372,115.30183898467325,2774.96875
TY|tier1+2|m1|h30|mv2,TY,tier1+2,1,30,2.0,3,3.7225724561456737,1.2408574853818912,0.6666666666666666,0.9803777162903307,0.9261852652794887,1.6041999366857334,0.0,1.1204465084572452,977.9583333333334
TY|tier1+2|m1|h60|mv0,TY,tier1+2,1,60,0.0,844,14.494200430831164,0.01717322325927863,0.46327014218009477,0.08103729691944786,0.007688606934952619,0.2233669336552975,-87.80435638179928,111.08989966103222,2774.96875
TY|tier1+2|m1|h60|mv2,TY,tier1+2,1,60,2.0,3,5.899562343838095,1.966520781279365,1.0,1.1818763190056343,1.1165456067155362,1.9339137197991263,0.0,1.1204465084572452,977.9583333333334
TY|tier1+2|m1|h120|mv0,TY,tier1+2,1,120,0.0,710,-55.60590755271805,-0.07831817965171556,0.44929577464788734,-0.22846101880725989,-0.023632892031664368,-0.6297179097850217,-126.54224415707256,93.4524037432854,2774.96875
TY|tier1+2|m1|h120|mv2,TY,tier1+2,1,120,2.0,3,1.5944212335224766,0.5314737445074922,0.6666666666666666,0.06797788028010235,0.06422025922682112,0.11123275185609816,-9.020206047465255,1.1204465084572452,977.9583333333334
TY|tier1+2|m1|h240|mv0,TY,tier1+2,1,240,0.0,676,-174.21743525605189,-0.257718099491201,0.4393491124260355,-0.5978398125074269,-0.06337900562843497,-1.6478541463393093,-232.9993960194908,88.9772182119168,2774.96875
TY|tier1+2|m1|h240|mv2,TY,tier1+2,1,240,2.0,3,2.429116123338625,0.8097053744462084,0.6666666666666666,0.1319561374671116,0.12466198298313856,0.21592088829908276,-6.632504446665628,1.1204465084572452,977.9583333333334
TY|tier1+2|m2|h15|mv0,TY,tier1+2,2,15,0.0,945,11.918534988821891,0.012612206337377663,0.44126984126984126,0.15255736622494526,0.013678901245332144,0.42050108278002574,-24.661834091510194,124.38383315127423,2774.96875
TY|tier1+2|m2|h15|mv2,TY,tier1+2,2,15,2.0,8,-6.196386664415602,-0.7745483330519503,0.25,-0.5354886313763395,-0.4263210207716956,-1.205817939000148,-1.85897001923753,1.5777094101700253,1852.0520833333333
TY|tier1+2|m2|h30|mv0,TY,tier1+2,2,30,0.0,916,-9.273959692235374,-0.010124410144361762,0.4585152838427948,-0.06961533351240998,-0.006340026998875019,-0.19188403578557856,-56.871741384696044,120.56676313922455,2774.96875
TY|tier1+2|m2|h30|mv2,TY,tier1+2,2,30,2.0,7,0.0004064832453360978,5.806903504801397e-05,0.5714285714285714,2.2026679699947038e-05,1.8746988031382363e-05,4.9599868162542084e-05,-2.0736504403341858,1.3804957338987722,1852.0520833333333
TY|tier1+2|m2|h60|mv0,TY,tier1+2,2,60,0.0,887,-14.774895779610102,-0.01665715420474645,0.4588500563697858,-0.08174584741069957,-0.007565503323797604,-0.22531994488083434,-80.22543144924026,116.74969312717487,2774.96875
TY|tier1+2|m2|h60|mv2,TY,tier1+2,2,60,2.0,7,6.568822436633544,0.9384032052333635,0.7142857142857143,0.3012315331066987,0.25637926472594136,0.6783157757784352,-4.406507185710145,1.3804957338987722,1852.0520833333333
TY|tier1+2|m2|h120|mv0,TY,tier1+2,2,120,0.0,724,65.9000734441707,0.09102220088973853,0.47928176795580113,0.2701268588160998,0.027671482134613238,0.7445634349288065,-84.90611296026509,95.29512719737835,2774.96875
TY|tier1+2|m2|h120|mv2,TY,tier1+2,2,120,2.0,6,-2.596100358397137,-0.4326833930661895,0.5,-0.07287081771196863,-0.06698992681128088,-0.16409113859402832,-10.70763010887445,1.183282057627519,1852.0520833333333
