config,panel,trades,total_bp,avg_bp,hit_rate,sr_per_trade,t_stat,max_dd_bp,span_days,trades_per_year
grid|SR3 r3|PCE|m1|h240|momentum,grid,16,-6.499999999999773,-0.4062499999999858,0.5,-0.1308400733621202,-0.5233602934484808,-13.500000000000512,2580.0,2.2651162790697676
grid|SR3 r3|PCE|m5|h15|fade,grid,34,0.5000000000023874,0.014705882353011394,0.38235294117647056,0.017337380829230815,0.10109343359785802,-5.499999999999261,2670.9583333333335,4.64945478370747
grid|SR3 r3|PCE|m5|h15|momentum,grid,34,-0.5000000000023874,-0.014705882353011394,0.3235294117647059,-0.017337380829230815,-0.10109343359785802,-3.500000000002501,2670.9583333333335,4.64945478370747
grid|SR3 r3|PCE|m5|h30|fade,grid,33,1.500000000001478,0.04545454545459024,0.42424242424242425,0.04134270311102957,0.23749574799853201,-6.500000000001194,2670.9583333333335,4.512706113598427
grid|SR3 r3|PCE|m5|h30|momentum,grid,33,-1.500000000001478,-0.04545454545459024,0.30303030303030304,-0.04134270311102957,-0.23749574799853201,-7.500000000003126,2670.9583333333335,4.512706113598427
grid|SR3 r3|PCE|m5|h60|fade,grid,34,1.5000000000057412,0.04411764705899239,0.3235294117647059,0.03308339808548652,0.192907702754489,-8.99999999999892,2670.9583333333335,4.64945478370747
grid|SR3 r3|PCE|m5|h60|momentum,grid,34,-1.5000000000057412,-0.04411764705899239,0.4117647058823529,-0.03308339808548652,-0.192907702754489,-11.500000000003752,2670.9583333333335,4.64945478370747
grid|SR3 r3|PCE|m5|h120|fade,grid,34,-6.499999999999773,-0.19117647058822862,0.38235294117647056,-0.06096479792558889,-0.35548280398307336,-17.000000000003013,2670.9583333333335,4.64945478370747
grid|SR3 r3|PCE|m5|h120|momentum,grid,34,6.499999999999773,0.19117647058822862,0.5,0.06096479792558889,0.35548280398307336,-18.000000000000682,2670.9583333333335,4.64945478370747
grid|SR3 r3|PCE|m5|h240|fade,grid,33,-8.999999999994657,-0.27272727272711084,0.36363636363636365,-0.09530490292215958,-0.547484985358571,-17.499999999996874,2670.9583333333335,4.512706113598427
grid|SR3 r3|PCE|m5|h240|momentum,grid,33,8.999999999994657,0.27272727272711084,0.42424242424242425,0.09530490292215958,0.547484985358571,-15.000000000000568,2670.9583333333335,4.512706113598427
grid|SR3 r4|tier1|m1|h15|fade,grid,244,5.500000000000682,0.022540983606560174,0.4098360655737705,0.01789339842571922,0.2795038185106844,-14.000000000001478,2729.8958333333335,32.64630060670813
grid|SR3 r4|tier1|m1|h15|momentum,grid,244,-5.500000000000682,-0.022540983606560174,0.3401639344262295,-0.01789339842571922,-0.2795038185106844,-20.99999999999511,2729.8958333333335,32.64630060670813
grid|SR3 r4|tier1|m1|h30|fade,grid,243,25.99999999999909,0.1069958847736588,0.448559670781893,0.050926612579745706,0.7938673240094631,-23.499999999998522,2729.8958333333335,32.51250429274621
grid|SR3 r4|tier1|m1|h30|momentum,grid,243,-25.99999999999909,-0.1069958847736588,0.36213991769547327,-0.050926612579745706,-0.7938673240094631,-37.9999999999967,2729.8958333333335,32.51250429274621
grid|SR3 r4|tier1|m1|h60|fade,grid,244,45.99999999998374,0.1885245901638678,0.4426229508196721,0.06688047714448318,1.0447064498843643,-36.999999999999034,2729.8958333333335,32.64630060670813
grid|SR3 r4|tier1|m1|h60|momentum,grid,244,-45.99999999998374,-0.1885245901638678,0.4016393442622951,-0.06688047714448318,-1.0447064498843643,-78.49999999998403,2729.8958333333335,32.64630060670813
grid|SR3 r4|tier1|m1|h120|fade,grid,213,128.99999999999778,0.605633802816891,0.49295774647887325,0.15844599510867255,2.3124431683726203,-29.50000000000017,2729.8958333333335,28.498614873888652
grid|SR3 r4|tier1|m1|h120|momentum,grid,213,-128.99999999999778,-0.605633802816891,0.40375586854460094,-0.15844599510867255,-2.3124431683726203,-151.99999999999108,2729.8958333333335,28.498614873888652
grid|SR3 r4|tier1|m1|h240|fade,grid,209,22.499999999992326,0.10765550239230778,0.4354066985645933,0.02147166544729002,0.31041226646154424,-58.500000000000796,2729.8958333333335,27.96342961804098
grid|SR3 r4|tier1|m1|h240|momentum,grid,209,-22.499999999992326,-0.10765550239230778,0.45454545454545453,-0.02147166544729002,-0.31041226646154424,-60.99999999999852,2729.8958333333335,27.96342961804098
grid|SR3 r4|tier1|m5|h15|fade,grid,371,41.000000000019554,0.11051212938010661,0.40431266846361186,0.09779668833754437,1.8836972486767567,-16.999999999994486,2774.8958333333335,48.833454709260856
grid|SR3 r4|tier1|m5|h15|momentum,grid,371,-41.000000000019554,-0.11051212938010661,0.31536388140161725,-0.09779668833754437,-1.8836972486767567,-58.00000000001262,2774.8958333333335,48.833454709260856
grid|SR3 r4|tier1|m5|h30|fade,grid,368,30.49999999999926,0.08288043478260669,0.41847826086956524,0.042760884201521056,0.820295985673518,-24.49999999999619,2774.8958333333335,48.438575021584896
grid|SR3 r4|tier1|m5|h30|momentum,grid,368,-30.49999999999926,-0.08288043478260669,0.35054347826086957,-0.042760884201521056,-0.820295985673518,-50.99999999999625,2774.8958333333335,48.438575021584896
grid|SR3 r4|tier1|m5|h60|fade,grid,370,67.00000000000017,0.18108108108108154,0.4540540540540541,0.07231310541878769,1.3909703554225084,-30.500000000000682,2774.8958333333335,48.701828146702205
grid|SR3 r4|tier1|m5|h60|momentum,grid,370,-67.00000000000017,-0.18108108108108154,0.37567567567567567,-0.07231310541878769,-1.3909703554225084,-85.99999999999852,2774.8958333333335,48.701828146702205
grid|SR3 r4|tier1|m5|h120|fade,grid,330,63.000000000023704,0.19090909090916275,0.44242424242424244,0.052191632913529004,0.9481080952294343,-44.4999999999979,2774.8958333333335,43.43676564435602
grid|SR3 r4|tier1|m5|h120|momentum,grid,330,-63.000000000023704,-0.19090909090916275,0.4484848484848485,-0.052191632913529004,-0.9481080952294343,-108.00000000001262,2774.8958333333335,43.43676564435602
