search,config,trades,gross_bp,tick_bp,net_bp,hit_rate,sr_per_trade,ann_sharpe,trades_per_year
consensus surprise,fade|e5|z2|tp3|sl5|t60,32,0.6962466852512282,0.239,0.4573466852512281,0.625,0.2116199738886613,0.43446202605103945,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp3|sl5|t60,32,0.6962466852512282,0.239,0.4573466852512281,0.625,0.2116199738886613,0.43446202605103945,4.2149296790479625
consensus surprise,fade|e5|z2|tp3|slinf|t60,32,0.6962466852512282,0.239,0.4573466852512281,0.625,0.2116199738886613,0.43446202605103945,4.2149296790479625
parameter search,grid|FV|ISM mfg|m1|h30|momentum,85,0.4344252876665485,0.183,0.2514252876665485,0.5764705882352941,0.12770596022036496,0.42730778704296163,11.19590695997115
consensus surprise,fade_then_flip|e15|z2|tp1|sl5|t60,32,0.5510880689645818,0.239,0.3121880689645818,0.8125,0.2045788014666007,0.4200062921236143,4.2149296790479625
consensus surprise,fade|e15|z2|tp1|slinf|t60,32,0.5510880689645818,0.239,0.3121880689645818,0.8125,0.2045788014666007,0.4200062921236143,4.2149296790479625
consensus surprise,fade|e15|z2|tp1|sl5|t60,32,0.5510880689645818,0.239,0.3121880689645818,0.8125,0.2045788014666007,0.4200062921236143,4.2149296790479625
consensus surprise,fade_then_flip|e2|z1.5|tp5|sl5|t60,44,0.7741407891491208,0.239,0.5352407891491208,0.6136363636363636,0.1741528639968865,0.4192539246239551,5.795528308690948
consensus surprise,fade_then_flip|e5|z2|tp1|sl3|t240,37,0.5438420298769849,0.239,0.3049420298769849,0.8378378378378378,0.1895448786173813,0.4184399043088636,4.873512441399207
consensus surprise,fade|e5|z2|tp5|slinf|t60,32,0.7776161694635942,0.239,0.5387161694635941,0.59375,0.20376284000319178,0.4183310992575631,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp5|sl5|t60,32,0.7776161694635942,0.239,0.5387161694635941,0.59375,0.20376284000319178,0.4183310992575631,4.2149296790479625
consensus surprise,fade|e5|z2|tp5|sl5|t60,32,0.7776161694635942,0.239,0.5387161694635941,0.59375,0.20376284000319178,0.4183310992575631,4.2149296790479625
parameter search,grid|TY|jobless claims|m5|h240|momentum,290,0.527944747479852,0.239,0.288944747479852,0.5275862068965518,0.06755852566145869,0.41754120458789196,38.19780021637216
consensus surprise,fade_then_flip|e15|z1.5|tp3|sl1|t60,60,0.5188451069615896,0.239,0.2799451069615895,0.5166666666666667,0.1483658238565861,0.4170899017825712,7.90299314821493
consensus surprise,fade|e5|z2|tp2|sl5|t240,32,0.7545735509221652,0.239,0.5156735509221652,0.75,0.2018491619935242,0.41440226205939334,4.2149296790479625
consensus surprise,fade|e5|z2|tp5|sl3|t240,32,0.9457272442873748,0.239,0.7068272442873746,0.5625,0.2011690576776885,0.4130059879102457,4.2149296790479625
consensus surprise,fade_then_flip|e5|z1.5|tp5|sl5|t60,43,0.7341484311841757,0.239,0.4952484311841756,0.627906976744186,0.173141901752711,0.41205632863131936,5.6638117562207
consensus surprise,fade|e2|z1.5|tp5|sl0.5|t60,41,0.6133410964499176,0.239,0.3744410964499177,0.3658536585365853,0.1769658311791888,0.4112458478489549,5.400378651280202
consensus surprise,fade|e15|z1.5|tp2|sl1|t240,41,0.543398388604044,0.239,0.3044983886040438,0.5121951219512195,0.175755112996072,0.4084322943940065,5.400378651280202
consensus surprise,fade_then_flip|e5|z2|tp5|sl5|t240,37,0.9161861691391744,0.239,0.6772861691391743,0.6216216216216216,0.1849635580840752,0.40832616586576614,4.873512441399207
consensus surprise,fade|e2|z2|tp5|sl5|t120,32,0.9218032612513344,0.239,0.6829032612513344,0.625,0.1986827700907855,0.4079015664206194,4.2149296790479625
consensus surprise,fade|e15|z2|tp5|slinf|t120,32,0.8697723273899473,0.239,0.630872327389947,0.5625,0.1979757499917011,0.4064500333773887,4.2149296790479625
consensus surprise,fade|e2|z1.5|tp1|sl5|t120,41,0.5625036352022676,0.239,0.3236036352022674,0.8536585365853658,0.1740873064260832,0.4045565262733878,5.400378651280202
consensus surprise,fade_then_flip|e15|z1.5|tp2|sl0.5|t240,64,0.4500485480346378,0.239,0.2111485480346378,0.40625,0.1393226024733749,0.4045123102703929,8.429859358095925
consensus surprise,fade_then_flip|e5|z1.5|tp1|sl3|t120,47,0.5052705835846667,0.239,0.2663705835846664,0.8297872340425532,0.1625315833396399,0.4043960199608561,6.1906779661016955
consensus surprise,fade_then_flip|e15|z1.5|tp3|sl0.5|t60,65,0.469023686218649,0.239,0.2301236862186489,0.3846153846153846,0.1374253489845485,0.40210891737013665,8.561575910566175
parameter search,grid|FV|jobless claims|m5|h120|momentum,295,0.3866410037268308,0.183,0.2036410037268308,0.5084745762711864,0.06423236393263654,0.40039172302124315,38.8563829787234
consensus surprise,fade_then_flip|e15|z1.5|tp5|sl0.5|t120,67,0.5203643982811896,0.239,0.2814643982811897,0.3134328358208955,0.1346543459780882,0.4000165443184721,8.825009015506671
consensus surprise,fade|e15|z1.5|tp5|sl1|t60,41,0.6066811406521647,0.239,0.3677811406521646,0.4878048780487805,0.1718453478266232,0.39934650262682514,5.400378651280202
consensus surprise,fade|e15|z2|tp2|sl5|t120,32,0.728010095106334,0.239,0.4891100951063338,0.71875,0.1943564155410939,0.3990194333755456,4.2149296790479625
consensus surprise,fade_then_flip|e5|z1.5|tp5|sl5|t240,48,0.8236686645747654,0.239,0.5847686645747653,0.625,0.1581905075677415,0.3977600996150577,6.322394518571944
consensus surprise,fade_then_flip|e5|z1.5|tp3|sl5|t60,43,0.6508755154433857,0.239,0.4119755154433857,0.6511627906976745,0.1663847882135808,0.39597523347819086,5.6638117562207
consensus surprise,fade_then_flip|e15|z1.5|tp1|sl1|t60,55,0.410718875749054,0.239,0.171818875749054,0.6727272727272727,0.1469337172054041,0.39547859993267176,7.244410385863686
consensus surprise,fade_then_flip|e15|z1.5|tp3|sl0.5|t240,68,0.4734221737939928,0.239,0.2345221737939928,0.3529411764705882,0.1319512556239216,0.39490093418206124,8.956725567976921
