config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
ZQ r1|0830|m5|h15|mv0,ZQ r1,0830,5,15,0.0,22,-0.24999999999977263,-0.011363636363626028,0.13636363636363635,-0.2841274830711648,-0.07898644934440117,-0.37047928681747433,-0.7499999999993179,12.939613526570048,621.0
ZQ r1|0830|m5|h60|mv2,ZQ r1,0830,5,60,2.0,0,,,,,,,,,
ZQ r1|clustered|m1|h15|mv0,ZQ r1,clustered,1,15,0.0,19,1.99999999999676,0.1052631578945663,0.3684210526315789,1.3147177253768692,0.3932841152059187,1.7142857142824077,-0.2500000000011937,11.17512077294686,621.0
ZQ r1|clustered|m1|h60|mv2,ZQ r1,clustered,1,60,2.0,0,,,,,,,,,
ZQ r1|clustered|m2|h15|mv0,ZQ r1,clustered,2,15,0.0,20,0.9999999999990905,0.049999999999954525,0.2,0.8934332165043714,0.2604940361258638,1.1649647450214349,-0.24999999999977263,11.76328502415459,621.0
ZQ r1|clustered|m2|h60|mv2,ZQ r1,clustered,2,60,2.0,0,,,,,,,,,
ZQ r1|clustered|m5|h15|mv0,ZQ r1,clustered,5,15,0.0,21,-0.24999999999977263,-0.011904761904751078,0.09523809523809523,-0.33631608621598863,-0.0956948752938691,-0.4385290096535146,-0.7499999999993179,12.351449275362318,621.0
ZQ r1|clustered|m5|h60|mv2,ZQ r1,clustered,5,60,2.0,0,,,,,,,,,
ZQ r1|CPI|m1|h15|mv0,ZQ r1,CPI,1,15,0.0,6,0.24999999999835154,0.041666666666391926,0.16666666666666666,0.3295207132292634,0.1695158759040064,0.4152273992657698,-0.2500000000011937,3.7787197356131905,579.9583333333334
ZQ r1|CPI|m1|h60|mv2,ZQ r1,CPI,1,60,2.0,0,,,,,,,,,
ZQ r1|CPI|m2|h15|mv0,ZQ r1,CPI,2,15,0.0,6,0.49999999999954525,0.08333333333325754,0.16666666666666666,0.7935909668098537,0.408248290463863,1.0,0.0,3.7787197356131905,579.9583333333334
ZQ r1|CPI|m2|h60|mv2,ZQ r1,CPI,2,60,2.0,0,,,,,,,,,
ZQ r1|CPI|m5|h15|mv0,ZQ r1,CPI,5,15,0.0,4,0.24999999999977263,0.06249999999994316,0.25,0.7935909668098537,0.5,1.0,0.0,2.5191464904087937,579.9583333333334
ZQ r1|CPI|m5|h60|mv2,ZQ r1,CPI,5,60,2.0,0,,,,,,,,,
ZQ r1|payrolls|m1|h15|mv0,ZQ r1,payrolls,1,15,0.0,10,2.2499999999993747,0.22499999999993747,0.6,2.2182581381912203,0.9050420562578235,2.861994276016969,0.0,6.0074013157894735,608.0
ZQ r1|payrolls|m1|h60|mv2,ZQ r1,payrolls,1,60,2.0,0,,,,,,,,,
ZQ r1|payrolls|m2|h15|mv0,ZQ r1,payrolls,2,15,0.0,9,0.9999999999990905,0.11111111111101006,0.3333333333333333,1.4225138686041663,0.6117752903214981,1.8353258709644944,0.0,5.406661184210526,608.0
ZQ r1|payrolls|m2|h60|mv2,ZQ r1,payrolls,2,60,2.0,0,,,,,,,,,
ZQ r1|payrolls|m5|h15|mv0,ZQ r1,payrolls,5,15,0.0,10,0.0,0.0,0.1,0.0,0.0,0.0,-0.24999999999977263,6.0074013157894735,608.0
ZQ r1|payrolls|m5|h60|mv2,ZQ r1,payrolls,5,60,2.0,0,,,,,,,,,
ZQ r2|tier1|m1|h15|mv0,ZQ r2,tier1,1,15,0.0,76,3.0000000000015348,0.03947368421054651,0.27631578947368424,0.4720133657508948,0.07205822350848283,0.6281890286490871,-3.2500000000027285,42.908318036904646,646.9375
ZQ r2|tier1|m1|h60|mv2,ZQ r2,tier1,1,60,2.0,5,2.4999999999991473,0.49999999999982947,0.6,1.7162646987362398,0.9999999999998579,2.236067977499472,0.0,2.9455645161290325,620.0
