config,trades,hit_rate,gross_bp,net_bp,total_net_bp,avg_win,avg_loss,payoff,sr_per_trade,t_stat,avg_hold_min,pct_target,pct_stop,pct_time,direction,entry_offset,z_threshold,target_bp,stop_bp,time_stop,base_events,legs,shift
fade_then_flip|e2|z1|tp2|sl5|t120,97,0.4948453608247423,-0.18772871623064857,-0.4266287162306485,-41.38298547437291,1.6827447738457895,-2.492953767734098,0.6750003933587883,-0.1642901169531083,-1.618070000111615,85.61855670103093,0.3711340206185567,0.1134020618556701,0.5154639175257731,fade_then_flip,2,1.0,2.0,5.0,120,88,2,1
fade_then_flip|e2|z1|tp2|sl5|t240,103,0.5339805825242718,-0.21738202141226454,-0.4562820214122645,-46.997048205463244,1.7829824491945898,-3.022105893982618,0.5899801369451434,-0.15990954180803998,-1.6229046000333787,137.6601941747573,0.4563106796116505,0.17475728155339806,0.36893203883495146,fade_then_flip,2,1.0,2.0,5.0,240,88,2,1
fade_then_flip|e2|z1|tp3|sl0.5|t30,134,0.31343283582089554,0.08248963788942346,-0.15641036211057655,-20.958988522817258,1.3789913409986685,-0.8573546178778405,1.6084258628150914,-0.12412209488496703,-1.4368171264210312,16.41044776119403,0.06716417910447761,0.5895522388059702,0.34328358208955223,fade_then_flip,2,1.0,3.0,0.5,30,88,2,1
fade_then_flip|e2|z1|tp3|sl0.5|t60,144,0.2777777777777778,0.004561564083236503,-0.23433843591676348,-33.74473477201394,1.5895147060461692,-0.9358204135948145,1.698525361228535,-0.17926073750688973,-2.1511288500826766,25.0,0.0763888888888889,0.6736111111111112,0.25,fade_then_flip,2,1.0,3.0,0.5,60,88,2,1
fade_then_flip|e2|z1|tp3|sl0.5|t120,151,0.2052980132450331,0.007960029257144167,-0.2309399707428558,-34.871935582171226,2.56706400719941,-0.9537576650446081,2.6915264760460365,-0.15326290432539622,-1.8833260987361133,35.41059602649007,0.1390728476821192,0.7615894039735099,0.09933774834437085,fade_then_flip,2,1.0,3.0,0.5,120,88,2,1
fade_then_flip|e2|z1|tp3|sl0.5|t240,155,0.1935483870967742,-0.02947786935810417,-0.26837786935810415,-41.598569750506144,2.630119862117159,-0.9640173249121674,2.7282910733547157,-0.1781470622089622,-2.2179130381782324,45.73548387096774,0.15483870967741936,0.7935483870967742,0.05161290322580645,fade_then_flip,2,1.0,3.0,0.5,240,88,2,1
fade_then_flip|e2|z1|tp3|sl1|t30,118,0.3644067796610169,0.06371322664441487,-0.1751867733555851,-20.672039255959042,1.3724057695471317,-1.0624731646198091,1.2917086428608553,-0.12027658581517076,-1.3065381499412057,22.14406779661017,0.07627118644067797,0.3813559322033898,0.5423728813559322,fade_then_flip,2,1.0,3.0,1.0,30,88,2,1
fade_then_flip|e2|z1|tp3|sl1|t60,128,0.375,0.012385750170662568,-0.22651424982933743,-28.99382397815519,1.513307434804589,-1.2704072606096932,1.1911986665428245,-0.14243367966442957,-1.61145313216113,36.8515625,0.09375,0.4921875,0.4140625,fade_then_flip,2,1.0,3.0,1.0,60,88,2,1
fade_then_flip|e2|z1|tp3|sl1|t120,138,0.2971014492753623,-0.031044278605413176,-0.2699442786054132,-37.252310447547025,2.302272926702354,-1.357170107653026,1.696377568088136,-0.14793681527546834,-1.7378640859719237,55.96376811594203,0.18115942028985507,0.6159420289855072,0.2028985507246377,fade_then_flip,2,1.0,3.0,1.0,120,88,2,1
fade_then_flip|e2|z1|tp3|sl1|t240,147,0.2857142857142857,-0.07891725011476729,-0.31781725011476736,-46.7191357668708,2.4112320389414603,-1.409436965737258,1.7107767836074714,-0.171954075043239,-2.0848323618038096,77.52380952380952,0.19047619047619047,0.6802721088435374,0.1292517006802721,fade_then_flip,2,1.0,3.0,1.0,240,88,2,1
