trial,label,cfg_horizon,cfg_threshold,res_mean,res_t,note,cfg_signal,cfg_signal_space,cfg_target,cfg_half_life,cfg_weighting
1,PRIMARY (in-sample),60,1.0,-0.545759609518004,-9.44326455076868,,,,,,
2,"LABEL-FREE (unsigned intensity, FUTURES)",60,1.0,-0.6402339499456078,-9.034433696139319,,intensity,,,,
89,FED_FUNDS->FED_FUNDS|hl1440|expected|h30,30,,-0.5031887755102036,-68.2773550066454,,,FED_FUNDS,FED_FUNDS,1440.0,expected
90,FED_FUNDS->FED_FUNDS|hl1440|expected|h60,60,,-0.5055147058823519,-33.794506697823095,,,FED_FUNDS,FED_FUNDS,1440.0,expected
91,FED_FUNDS->FED_FUNDS|hl1440|expected|h240,240,,-0.5737082066869408,-7.597287345200854,,,FED_FUNDS,FED_FUNDS,1440.0,expected
92,FED_FUNDS->FED_FUNDS|hl1440|expected|h1440,1440,,-0.4255663430420607,-4.137568662639148,,,FED_FUNDS,FED_FUNDS,1440.0,expected
93,FED_FUNDS->FED_FUNDS|hl1440|unweighted|h5,5,,-0.4999159098553641,-421.00717059979576,,,FED_FUNDS,FED_FUNDS,1440.0,unweighted
94,FED_FUNDS->FED_FUNDS|hl1440|unweighted|h15,15,,-0.5000360542255545,-132.29437303018284,,,FED_FUNDS,FED_FUNDS,1440.0,unweighted
95,FED_FUNDS->FED_FUNDS|hl1440|unweighted|h30,30,,-0.5026489117983939,-67.65144450573413,,,FED_FUNDS,FED_FUNDS,1440.0,unweighted
96,FED_FUNDS->FED_FUNDS|hl1440|unweighted|h60,60,,-0.5134943181818123,-36.134643655374376,,,FED_FUNDS,FED_FUNDS,1440.0,unweighted
97,FED_FUNDS->FED_FUNDS|hl1440|unweighted|h240,240,,-0.5727272727272582,-7.606251251906332,,,FED_FUNDS,FED_FUNDS,1440.0,unweighted
98,FED_FUNDS->FED_FUNDS|hl1440|unweighted|h1440,1440,,-0.4477848101265758,-4.294035329231805,,,FED_FUNDS,FED_FUNDS,1440.0,unweighted
