,variant,reason
124,FUTURES->FED_FUNDS|hl240|expected|h240,no shared bucket keys between signal and target space
125,FUTURES->FED_FUNDS|hl240|expected|h1440,no shared bucket keys between signal and target space
126,FUTURES->FED_FUNDS|hl240|unweighted|h5,no shared bucket keys between signal and target space
127,FUTURES->FED_FUNDS|hl240|unweighted|h15,no shared bucket keys between signal and target space
128,FUTURES->FED_FUNDS|hl240|unweighted|h30,no shared bucket keys between signal and target space
129,FUTURES->FED_FUNDS|hl240|unweighted|h60,no shared bucket keys between signal and target space
130,FUTURES->FED_FUNDS|hl240|unweighted|h240,no shared bucket keys between signal and target space
131,FUTURES->FED_FUNDS|hl240|unweighted|h1440,no shared bucket keys between signal and target space
132,FUTURES->FED_FUNDS|hl1440|expected|h5,no shared bucket keys between signal and target space
133,FUTURES->FED_FUNDS|hl1440|expected|h15,no shared bucket keys between signal and target space
134,FUTURES->FED_FUNDS|hl1440|expected|h30,no shared bucket keys between signal and target space
135,FUTURES->FED_FUNDS|hl1440|expected|h60,no shared bucket keys between signal and target space
136,FUTURES->FED_FUNDS|hl1440|expected|h240,no shared bucket keys between signal and target space
137,FUTURES->FED_FUNDS|hl1440|expected|h1440,no shared bucket keys between signal and target space
138,FUTURES->FED_FUNDS|hl1440|unweighted|h5,no shared bucket keys between signal and target space
139,FUTURES->FED_FUNDS|hl1440|unweighted|h15,no shared bucket keys between signal and target space
140,FUTURES->FED_FUNDS|hl1440|unweighted|h30,no shared bucket keys between signal and target space
141,FUTURES->FED_FUNDS|hl1440|unweighted|h60,no shared bucket keys between signal and target space
142,FUTURES->FED_FUNDS|hl1440|unweighted|h240,no shared bucket keys between signal and target space
143,FUTURES->FED_FUNDS|hl1440|unweighted|h1440,no shared bucket keys between signal and target space
144,MEETING->FED_FUNDS|hl30|expected|h5,signal space MEETING not built for this window
145,MEETING->FED_FUNDS|hl30|expected|h15,signal space MEETING not built for this window
146,MEETING->FED_FUNDS|hl30|expected|h30,signal space MEETING not built for this window
147,MEETING->FED_FUNDS|hl30|expected|h60,signal space MEETING not built for this window
148,MEETING->FED_FUNDS|hl30|expected|h240,signal space MEETING not built for this window
149,MEETING->FED_FUNDS|hl30|expected|h1440,signal space MEETING not built for this window
150,MEETING->FED_FUNDS|hl30|unweighted|h5,signal space MEETING not built for this window
151,MEETING->FED_FUNDS|hl30|unweighted|h15,signal space MEETING not built for this window
152,MEETING->FED_FUNDS|hl30|unweighted|h30,signal space MEETING not built for this window
153,MEETING->FED_FUNDS|hl30|unweighted|h60,signal space MEETING not built for this window
154,MEETING->FED_FUNDS|hl30|unweighted|h240,signal space MEETING not built for this window
155,MEETING->FED_FUNDS|hl30|unweighted|h1440,signal space MEETING not built for this window
156,MEETING->FED_FUNDS|hl90|expected|h5,signal space MEETING not built for this window
157,MEETING->FED_FUNDS|hl90|expected|h15,signal space MEETING not built for this window
158,MEETING->FED_FUNDS|hl90|expected|h30,signal space MEETING not built for this window
159,MEETING->FED_FUNDS|hl90|expected|h60,signal space MEETING not built for this window
160,MEETING->FED_FUNDS|hl90|expected|h240,signal space MEETING not built for this window
161,MEETING->FED_FUNDS|hl90|expected|h1440,signal space MEETING not built for this window
162,MEETING->FED_FUNDS|hl90|unweighted|h5,signal space MEETING not built for this window
163,MEETING->FED_FUNDS|hl90|unweighted|h15,signal space MEETING not built for this window
164,MEETING->FED_FUNDS|hl90|unweighted|h30,signal space MEETING not built for this window
165,MEETING->FED_FUNDS|hl90|unweighted|h60,signal space MEETING not built for this window
166,MEETING->FED_FUNDS|hl90|unweighted|h240,signal space MEETING not built for this window
167,MEETING->FED_FUNDS|hl90|unweighted|h1440,signal space MEETING not built for this window
168,MEETING->FED_FUNDS|hl240|expected|h5,signal space MEETING not built for this window
169,MEETING->FED_FUNDS|hl240|expected|h15,signal space MEETING not built for this window
170,MEETING->FED_FUNDS|hl240|expected|h30,signal space MEETING not built for this window
171,MEETING->FED_FUNDS|hl240|expected|h60,signal space MEETING not built for this window
172,MEETING->FED_FUNDS|hl240|expected|h240,signal space MEETING not built for this window
173,MEETING->FED_FUNDS|hl240|expected|h1440,signal space MEETING not built for this window
174,MEETING->FED_FUNDS|hl240|unweighted|h5,signal space MEETING not built for this window
175,MEETING->FED_FUNDS|hl240|unweighted|h15,signal space MEETING not built for this window
176,MEETING->FED_FUNDS|hl240|unweighted|h30,signal space MEETING not built for this window
