,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
107,17,FFN26,-3.3885227070564077,-240.0,-0.21143585640744295,96,95
108,18,FFG26,-0.18414040507506393,-120.0,0.11503564444773048,96,91
109,18,FFH26,-0.32530459586728266,-240.0,-0.11984526376349926,96,68
110,18,FFJ26,-1.162761719798132,-240.0,-0.22624882404619368,96,90
111,18,FFK26,-2.550898037242574,-240.0,-0.2916129804984494,96,88
112,18,FFM26,-0.9966630894919748,-240.0,-0.15493361047214016,96,93
113,18,FFN26,-1.9901294876921576,-30.0,0.25471316750672995,96,85
114,19,FFG26,5.1249083950983545,1.0,0.43885796565007723,96,85
115,19,FFH26,-4.817591072286496,-120.0,-0.18826206609802282,96,64
116,19,FFJ26,-0.5013738306312012,-120.0,-0.09628378888561714,96,89
117,19,FFK26,-1064.038537394632,-120.0,-0.41504454557839715,96,78
118,19,FFM26,0.15053955837926994,1.0,-0.14412469602180206,96,85
119,19,FFN26,-5.899582116887316,-120.0,-0.2334417013110672,96,92
120,20,FFG26,1.9514348186127495,120.0,-0.3143988093040505,96,68
121,20,FFH26,-0.1781049881879376,-60.0,-0.029382791320222826,96,91
122,20,FFJ26,7.7188606170900895,30.0,-0.2725914863737387,96,95
123,20,FFK26,-3.0249861316934643,-240.0,0.3070250820783828,96,88
124,20,FFM26,6.425965158318708,5.0,-0.26698958363866243,96,82
125,20,FFN26,5.960720193065946,1.0,-0.346652668040816,96,83
126,21,FFG26,1.245395557188032,60.0,0.23664467909802075,96,57
127,21,FFH26,-1.6018186469088875,-120.0,0.1548283999136235,96,96
128,21,FFJ26,-0.2097638430706886,-120.0,0.0733237608049284,96,89
129,21,FFK26,1.084237011876649,120.0,-0.2487750307861708,96,96
130,21,FFM26,-1.878494711643124,-240.0,-0.33738375004521287,96,93
131,21,FFN26,-218.99052287641933,-240.0,-0.4019546173847466,96,91
132,22,FFG26,16.92786765183047,120.0,0.6210568400213117,96,58
133,22,FFH26,-0.026876944662969696,-15.0,0.12285051182060165,96,96
134,22,FFJ26,10.084679918207856,120.0,0.3820857781958151,96,92
135,22,FFK26,0.262414615676659,120.0,-0.1330290749352938,96,96
136,22,FFM26,1.851846270378929,30.0,-0.14261778701655187,96,93
137,22,FFN26,0.45666737521485873,-60.0,0.24570961830957877,96,93
138,23,FFG26,0.85395982520101,15.0,-0.13531745511365748,96,78
139,23,FFH26,0.36624037125959347,15.0,-0.14512423721107537,96,68
140,23,FFJ26,-65.06067904173491,-120.0,-0.5382221768558217,96,89
141,23,FFK26,-0.15721638264798493,-5.0,-0.2046139568026075,96,96
142,23,FFM26,-0.5616184823112231,-60.0,-0.2139202198486296,96,93
143,23,FFN26,-0.3235443475911083,-120.0,-0.17166585294544429,96,92
144,24,FFG26,0.22105062176282858,15.0,-0.07629551776460446,96,74
145,24,FFH26,3.0525873155683105,30.0,-0.18532369302278387,96,73
146,24,FFJ26,-0.12347181655170986,-30.0,0.08889228319111529,96,87
147,24,FFK26,-9.535334560929858,-60.0,0.20058760905992265,96,91
148,24,FFM26,-23.23868546662365,-60.0,0.2340741404669297,96,90
149,24,FFN26,-0.2757801888859529,1.0,0.18413751727720162,96,96
150,25,FFG26,-0.1045135613519156,-240.0,-0.0815171847342009,96,66
151,25,FFH26,0.03747951983047922,1.0,0.0429469637683179,96,77
152,25,FFJ26,-11.282059466219653,-5.0,-0.6203900470131468,96,81
153,25,FFK26,-0.036536934943499716,-15.0,0.01767667240046491,96,94
154,25,FFM26,0.04445899612136827,60.0,0.05581689171107006,96,87
155,25,FFN26,0.5749848287945619,1.0,0.3294033274154845,96,84
156,26,FFG26,0.2032736377960236,1.0,0.07206945765772767,96,56
157,26,FFH26,12.186460078342222,120.0,0.368943001412263,96,81
158,26,FFJ26,-17.176548905553684,-15.0,0.6009876770725994,96,96
159,26,FFK26,1.1146310309632583,1.0,-0.1543870540907781,96,92
160,26,FFM26,29.51528200565173,15.0,0.5080751706434924,96,88
161,26,FFN26,12.648128734113357,15.0,-0.31887828790706524,96,93
162,27,FFG26,1.8327476555016828,30.0,-0.14195470308925992,96,61
163,27,FFH26,0.0013932266922621265,1.0,-0.07609597814855512,96,96
164,27,FFJ26,-161.52902098004145,-60.0,0.5794970973188407,96,96
165,27,FFK26,0.2641480246039234,30.0,-0.10611042071965168,96,96
166,27,FFM26,-0.08569637013881387,-15.0,-0.1855300449991578,96,96
167,27,FFN26,-27.611769220158195,-120.0,0.2798084680398514,96,96
168,28,FFG26,0.0,-1440.0,0.0,96,55
169,28,FFH26,-0.09232888322680001,-15.0,-0.07587745311299463,96,94
170,28,FFJ26,-0.0330284230354802,-240.0,-0.08461880466348255,96,96
171,28,FFK26,-58.46948280143974,-1.0,0.4165640462182747,96,96
172,28,FFM26,-1.3176880148905599,-30.0,-0.26162046978622433,96,96
173,28,FFN26,-18.75041568090306,-30.0,-0.5132839272053559,96,96
174,29,FFG26,-0.03812796137959835,1.0,0.18953181456646853,96,61
175,29,FFH26,0.623533700881133,1.0,0.18341278694365554,96,91
176,29,FFJ26,0.03552438154899242,60.0,0.05232925972497373,96,96
177,29,FFK26,3.781694131815754,15.0,-0.24231921029490777,96,96
178,29,FFM26,-5.43836665037348,-60.0,-0.39738374330785287,96,94
179,29,FFN26,4.238535095209073,30.0,0.3947390367168511,96,96
180,30,FFG26,16.083029430230063,240.0,-0.3054685247951095,96,51
181,30,FFH26,-88.66041967279965,-5.0,0.31502759991664253,96,90
182,30,FFJ26,-0.003281306536941662,-15.0,0.039209600377127445,96,96
183,30,FFK26,0.2788251745411118,240.0,-0.07878902679873225,96,96
184,30,FFM26,-1.1018964667153863,-120.0,0.31653727582005,96,96
185,30,FFN26,4.252481412456848,240.0,0.27672831519138097,96,91
186,31,FFG26,0.0,-1440.0,0.0,96,35
187,31,FFH26,1.3713944044901316,15.0,-0.17347856599337086,96,96
188,31,FFJ26,-0.029270731303585384,-30.0,-0.09059779276763373,96,94
189,31,FFK26,-0.033448309183608,-30.0,-0.05651836965213924,96,94
190,31,FFM26,-14.918204379930161,-120.0,-0.48612330146780525,96,96
191,31,FFN26,-112.08345467435704,-30.0,-0.4313911470271037,96,96
192,32,FFG26,24.820616872693083,30.0,-0.785755746967647,96,41
193,32,FFH26,-0.39255701681706423,-30.0,0.07716942172375399,96,91
194,32,FFJ26,-927.0520390589654,-30.0,-0.523657694815525,96,91
195,32,FFK26,-18.88485087645694,-60.0,0.27477995270126515,96,93
196,32,FFM26,-33.46082894914662,-60.0,0.38704223736445487,96,96
197,32,FFN26,-0.8350930598877372,-30.0,0.15774281163993173,96,96
198,33,FFH26,-0.1002383086202837,-15.0,0.055700419073928434,96,78
199,33,FFJ26,95.96340878324483,120.0,-0.5281830711012576,96,96
200,33,FFK26,102.57505454238311,30.0,-0.3325518552927582,96,96
201,33,FFM26,5.664775554039617,30.0,0.31100486545808437,96,86
202,33,FFN26,-0.013097232937769347,-30.0,0.11911656413688403,96,89
203,33,FFQ26,-4.0643848541980105,-60.0,0.23411527240463434,96,94
204,34,FFH26,5.406066923452181,120.0,0.178038708096879,96,89
205,34,FFJ26,311.12919837240656,120.0,0.6701631086029004,96,93
206,34,FFK26,23.22956128105013,240.0,-0.2265596441354926,96,94
207,34,FFM26,2.2451274059655404,30.0,0.22210272835752554,96,89
208,34,FFN26,-5.2974649102194995,-120.0,-0.368249255063307,96,91
209,34,FFQ26,0.1310127542921978,30.0,-0.25064708255773993,96,96
210,35,FFH26,-0.11679975353711572,-240.0,0.03144594930271948,96,88
211,35,FFJ26,-0.31073570633473924,-240.0,0.058506308687633256,96,91
212,35,FFK26,2.0811076170819343,5.0,0.3091622429611597,96,91
213,35,FFM26,91.65723821398785,120.0,0.41039616963611153,96,91
214,35,FFN26,2.6532150099942977,5.0,-0.08332485855743035,96,96
215,35,FFQ26,2.812374433046741,30.0,0.2639133108918625,96,93
216,36,FFH26,0.9363534888812766,5.0,-0.11023977661132471,96,94
217,36,FFJ26,-0.11632434737342146,-1.0,0.04937117836721344,96,93
218,36,FFK26,-0.0062855840644580815,-120.0,-0.03688180905491488,96,96
219,36,FFM26,-0.00445296772030919,60.0,0.06684418469094648,96,96
220,36,FFN26,13.763593060905192,60.0,0.33066777169570977,96,96
221,36,FFQ26,4.839007953172565,15.0,-0.27845038436241054,96,96
222,37,FFH26,0.004905787456838546,-240.0,0.03010554867734592,96,86
223,37,FFJ26,77.22115206403605,5.0,-0.319700140736976,96,96
224,37,FFK26,-2.4945416627669927,-60.0,0.2538463799890481,96,96
225,37,FFM26,0.019062188394960596,1.0,-0.28000547220654104,96,96
226,37,FFN26,-4.574920868637792,-1.0,-0.35936014778010555,96,96
227,37,FFQ26,29.352853325510004,30.0,0.49943678787839224,96,96
228,38,FFH26,28.859074842338625,15.0,0.42060680819702184,96,68
229,38,FFJ26,0.29006934312406785,15.0,-0.12624736452282645,96,86
