,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
62,10,SFRU26,-906.2903577680133,-1.0,-0.6450867508058868,96,96
63,10,SFRZ26,-20.139175006869035,-1.0,-0.4203833334374574,96,96
64,10,SFRH27,-72.74884559963212,-1.0,-0.6831552034391577,96,96
65,10,SFRM27,-29.929473916423525,-1.0,-0.47397062472422724,96,96
66,11,SFRH26,-3.2219814573687167,-120.0,0.20208648749821273,96,96
67,11,SFRM26,0.23180885583364266,1.0,0.10795490740356886,96,96
68,11,SFRU26,-0.24013003115913775,-120.0,0.10085393348064875,96,96
69,11,SFRZ26,0.3879718114370443,30.0,-0.1827093243286965,96,96
70,11,SFRH27,-2.447315318807662,-60.0,-0.26232214385083097,96,96
71,11,SFRM27,-7.7875583972886915,-60.0,-0.3309710420626059,96,96
72,12,SFRH26,0.80108575791401,5.0,0.26965984912074775,96,96
73,12,SFRM26,4.2263175302027305,1.0,-0.4921337687909877,96,96
74,12,SFRU26,-3.918931219749015,-240.0,-0.2182066160052148,96,96
75,12,SFRZ26,1.7169371016945985,30.0,0.2299247793886945,96,96
76,12,SFRH27,-7.285254764724001,-60.0,0.24034880955304344,96,96
77,12,SFRM27,-6.041783670433749,-15.0,0.23043529906208574,96,96
78,13,SFRH26,0.03175152586689395,-15.0,-0.10020555017589912,96,96
79,13,SFRM26,0.17365438760261925,1.0,0.24391665494137205,96,96
80,13,SFRU26,-0.2641611787651188,-1.0,-0.30037775975843656,96,96
81,13,SFRZ26,1.6959811123286404,1.0,0.25702437911938675,96,96
82,13,SFRH27,0.011280470714287654,-1.0,0.06906236127634013,96,96
83,13,SFRM27,0.4986095455377779,60.0,0.12497198116942772,96,96
84,14,SFRH26,-7.254000710594851,-60.0,0.3643534614170897,96,96
85,14,SFRM26,-1.3931910280369257,-60.0,-0.193943172355405,96,96
86,14,SFRU26,-0.21892196901895883,60.0,0.25050908422905455,96,96
87,14,SFRZ26,-2.2733133618192056,-1.0,0.2727616899062853,96,96
88,14,SFRH27,-3.0440288145725853,-5.0,0.3238936839572513,96,96
89,14,SFRM27,-1.3604961840583265,-1.0,0.24462686077675053,96,96
90,15,SFRH26,0.3241403637300857,1.0,0.19239052474631058,96,96
91,15,SFRM26,0.38357233756850095,1.0,0.12751157938487237,96,96
92,15,SFRU26,5.091677755416463,1.0,0.40544291912619673,96,96
93,15,SFRZ26,-0.7413159666468278,-240.0,0.2833388052835845,96,96
94,15,SFRH27,-0.3316304417572553,-1.0,-0.17756930572619917,96,96
95,15,SFRM27,-0.54184362803911,-240.0,0.1430135568456953,96,96
96,16,SFRH26,-0.14261873577708153,-15.0,0.09347448738447786,96,96
97,16,SFRM26,-1.1721601950311584,-30.0,0.19290876092169687,96,96
98,16,SFRU26,0.25598011138823684,60.0,-0.27862308243587114,96,96
99,16,SFRZ26,-0.046928469185649635,0.0,0.14061541319033125,96,96
100,16,SFRH27,-29.437500686272934,-1.0,0.38978932261323107,96,96
101,16,SFRM27,0.2939901380284324,60.0,0.336506341584828,96,96
102,17,SFRH26,-17.33857128844627,-30.0,0.238027175214887,96,96
103,17,SFRM26,-1.0776688483380605,-1.0,-0.11668785893886857,96,96
104,17,SFRU26,-0.1299538124000989,1.0,-0.16092401439772872,96,96
105,17,SFRZ26,-2.370630456905685,-1.0,-0.24134963299472953,96,96
106,17,SFRH27,-3.0770544492481062,-1.0,-0.19630174148062762,96,96
107,17,SFRM27,-0.29365590708285727,-30.0,-0.11335675259990238,96,96
108,18,SFRH26,-0.1831933720563098,-30.0,-0.13369546629864879,96,96
109,18,SFRM26,1.7144407979285337,1.0,-0.1882109477818628,96,96
110,18,SFRU26,-0.33231481914378347,0.0,-0.25230024297244963,96,96
111,18,SFRZ26,0.05269680659243523,1.0,0.09570815877843963,96,96
112,18,SFRH27,6.726136182521527,15.0,0.48014901623421824,96,96
113,18,SFRM27,13.416110118883426,15.0,0.4418913863420607,96,96
114,19,SFRH26,-6.246100781964103,-120.0,-0.19653680800470255,96,96
115,19,SFRM26,0.36005833500050954,5.0,0.15006455076430866,96,96
116,19,SFRU26,-0.24019634538069656,-120.0,-0.11231773800271042,96,96
117,19,SFRZ26,-3.5274070181241557,-60.0,0.19557959432541883,96,96
118,19,SFRH27,-0.20590581555577303,-120.0,-0.13769682328852492,96,96
119,19,SFRM27,0.35738747338773197,5.0,0.09978540777968758,96,96
120,20,SFRH26,-2.464284655112569,-60.0,-0.1517116393001022,96,96
121,20,SFRM26,0.5190046152786078,-30.0,0.20030966217701185,96,96
122,20,SFRU26,2.1922913820601213,1.0,-0.19323508449051455,96,96
123,20,SFRZ26,0.5303788993180024,120.0,-0.10993965442837884,96,96
124,20,SFRH27,-0.018579393283426057,240.0,-0.15056309444440397,96,96
125,20,SFRM27,-0.46609524691355536,-240.0,-0.13601326048624965,96,96
126,21,SFRH26,13.796420021887696,120.0,-0.37822287422155537,96,96
127,21,SFRM26,-4.2391844873502755,-240.0,-0.32703178687811085,96,96
128,21,SFRU26,-0.25159507819875004,-1.0,-0.15322463632092814,96,96
129,21,SFRZ26,-0.3618205670845793,-5.0,-0.12398709169214145,96,96
130,21,SFRH27,-2.0575301717089673,-5.0,-0.15256250687964987,96,96
131,21,SFRM27,-0.833330588765533,-5.0,-0.13329569481641157,96,96
132,22,SFRH26,0.3482985703807307,1.0,-0.1485670322881867,96,96
133,22,SFRM26,0.5354102493521231,15.0,-0.15100554795511276,96,96
134,22,SFRU26,-0.5376293553225804,-240.0,-0.15587068842993196,96,96
135,22,SFRZ26,-0.2648458482159545,0.0,0.23373193827712957,96,96
136,22,SFRH27,-4.841051338679315,-5.0,-0.2767832197171504,96,96
137,22,SFRM27,-0.8932205919698823,1.0,0.2961614705593362,96,96
138,23,SFRH26,-4.574424183983712,-120.0,-0.28847128019320806,96,96
139,23,SFRM26,-6.566700523232867,-120.0,-0.5045639809742337,96,96
140,23,SFRU26,-1.6739050403891464,-5.0,-0.1556911981007892,96,96
141,23,SFRZ26,-0.022830175119400622,1.0,0.22926515019843713,96,96
142,23,SFRH27,-1.945055411382137,-5.0,-0.20913744941551143,96,96
143,23,SFRM27,-2.1745848046787883,-5.0,-0.2268174149248618,96,96
144,24,SFRH26,-0.14129338565470972,-15.0,0.07790739150476698,96,96
145,24,SFRM26,0.013680037084313902,60.0,-0.0709473656543439,96,96
146,24,SFRU26,2.1172401771908227,5.0,-0.2267994815040943,96,96
147,24,SFRZ26,-5.479645208313489,-15.0,0.2812943969700228,96,96
148,24,SFRH27,1.4958605116466555,5.0,0.29398974647863996,96,96
149,24,SFRM27,-1.4480831784434085,-30.0,0.23417658577719036,96,96
150,25,SFRH26,1.3356002024871751,5.0,-0.21757003278280856,96,96
151,25,SFRM26,-0.10662961645845598,0.0,-0.24281093765603232,96,96
152,25,SFRU26,-0.08573834810032584,-30.0,0.1088201903446194,96,96
