,ts,bucket,horizon_min,innovation,flow_signed_by_innovation,expected_sign
13263,2026-05-27 14:15:00-04:00,SFRZ26,60,-24021.524754578524,-300.0,-1
13264,2026-05-28 08:10:00-04:00,SFRZ26,5,6944.156741257508,-1506.0,-1
13265,2026-05-28 08:10:00-04:00,SFRZ26,15,6944.156741257508,-1337.0,-1
13266,2026-05-28 08:10:00-04:00,SFRZ26,30,6944.156741257508,6903.0,-1
13267,2026-05-28 08:10:00-04:00,SFRZ26,60,6944.156741257508,12170.0,-1
13268,2026-05-28 10:25:00-04:00,SFRZ26,5,7804.764308868607,2225.0,-1
13269,2026-05-28 10:25:00-04:00,SFRZ26,15,7804.764308868607,3961.0,-1
13270,2026-05-28 10:25:00-04:00,SFRZ26,30,7804.764308868607,749.0,-1
13271,2026-05-28 10:25:00-04:00,SFRZ26,60,7804.764308868607,2588.0,-1
13272,2026-05-28 10:50:00-04:00,SFRZ26,5,-7484.3014343341965,-0.0,-1
13273,2026-05-28 10:50:00-04:00,SFRZ26,15,-7484.3014343341965,-3679.0,-1
13274,2026-05-28 10:50:00-04:00,SFRZ26,30,-7484.3014343341965,-3679.0,-1
13275,2026-05-28 10:50:00-04:00,SFRZ26,60,-7484.3014343341965,-1839.0,-1
13276,2026-05-28 10:55:00-04:00,SFRZ26,5,-48265.204984375465,-4325.0,-1
13277,2026-05-28 10:55:00-04:00,SFRZ26,15,-48265.204984375465,-3679.0,-1
13278,2026-05-28 10:55:00-04:00,SFRZ26,30,-48265.204984375465,-1839.0,-1
13279,2026-05-28 10:55:00-04:00,SFRZ26,60,-48265.204984375465,-1839.0,-1
13280,2026-05-28 13:05:00-04:00,SFRZ26,5,-6604.792013677397,-0.0,-1
13281,2026-05-28 13:05:00-04:00,SFRZ26,15,-6604.792013677397,-0.0,-1
13282,2026-05-28 13:05:00-04:00,SFRZ26,30,-6604.792013677397,-846.0,-1
13283,2026-05-28 13:05:00-04:00,SFRZ26,60,-6604.792013677397,-800.0,-1
13284,2026-05-28 15:05:00-04:00,SFRZ26,5,78825.79820006024,0.0,-1
13285,2026-05-28 15:05:00-04:00,SFRZ26,15,78825.79820006024,-257.0,-1
13286,2026-05-28 15:05:00-04:00,SFRZ26,30,78825.79820006024,2155.0,-1
13287,2026-05-28 15:05:00-04:00,SFRZ26,60,78825.79820006024,1711.0,-1
13288,2026-05-28 15:50:00-04:00,SFRZ26,5,37905.61663797195,0.0,-1
13289,2026-05-28 15:50:00-04:00,SFRZ26,15,37905.61663797195,0.0,-1
13290,2026-05-28 15:50:00-04:00,SFRZ26,30,37905.61663797195,0.0,-1
13291,2026-05-28 15:50:00-04:00,SFRZ26,60,37905.61663797195,0.0,-1
13292,2026-05-29 11:30:00-04:00,SFRZ26,5,22070.352990074578,3132.0,-1
13293,2026-05-29 11:30:00-04:00,SFRZ26,15,22070.352990074578,-64.0,-1
13294,2026-05-29 11:30:00-04:00,SFRZ26,30,22070.352990074578,-320.0,-1
13295,2026-05-29 11:30:00-04:00,SFRZ26,60,22070.352990074578,6091.0,-1
13296,2026-06-01 09:05:00-04:00,SFRZ26,5,-8194.47198696937,-0.0,-1
13297,2026-06-01 09:05:00-04:00,SFRZ26,15,-8194.47198696937,18336.0,-1
13298,2026-06-01 09:05:00-04:00,SFRZ26,30,-8194.47198696937,32229.0,-1
13299,2026-06-01 09:05:00-04:00,SFRZ26,60,-8194.47198696937,40051.0,-1
13300,2026-06-01 09:35:00-04:00,SFRZ26,5,6346.559555813961,0.0,-1
13301,2026-06-01 09:35:00-04:00,SFRZ26,15,6346.559555813961,0.0,-1
13302,2026-06-01 09:35:00-04:00,SFRZ26,30,6346.559555813961,-7822.0,-1
13303,2026-06-01 09:35:00-04:00,SFRZ26,60,6346.559555813961,-12927.0,-1
13304,2026-06-01 10:35:00-04:00,SFRZ26,5,-5946.432788478968,-0.0,-1
13305,2026-06-01 10:35:00-04:00,SFRZ26,15,-5946.432788478968,-0.0,-1
13306,2026-06-01 10:35:00-04:00,SFRZ26,30,-5946.432788478968,1904.0,-1
13307,2026-06-01 10:35:00-04:00,SFRZ26,60,-5946.432788478968,1536.0,-1
13308,2026-06-01 11:00:00-04:00,SFRZ26,5,-13594.62807527843,1904.0,-1
13309,2026-06-01 11:00:00-04:00,SFRZ26,15,-13594.62807527843,930.0,-1
13310,2026-06-01 11:00:00-04:00,SFRZ26,30,-13594.62807527843,-6869.0,-1
13311,2026-06-01 11:00:00-04:00,SFRZ26,60,-13594.62807527843,125.0,-1
13312,2026-06-01 12:25:00-04:00,SFRZ26,5,-31419.46593161765,-2450.0,-1
13313,2026-06-01 12:25:00-04:00,SFRZ26,15,-31419.46593161765,-2450.0,-1
13314,2026-06-01 12:25:00-04:00,SFRZ26,30,-31419.46593161765,-7619.0,-1
13315,2026-06-01 12:25:00-04:00,SFRZ26,60,-31419.46593161765,-5161.0,-1
13316,2026-06-01 12:55:00-04:00,SFRZ26,5,-51761.29265396894,-0.0,-1
13317,2026-06-01 12:55:00-04:00,SFRZ26,15,-51761.29265396894,2481.0,-1
13318,2026-06-01 12:55:00-04:00,SFRZ26,30,-51761.29265396894,2458.0,-1
13319,2026-06-01 12:55:00-04:00,SFRZ26,60,-51761.29265396894,-5005.0,-1
13320,2026-06-01 13:25:00-04:00,SFRZ26,5,-14052.480603444157,-6573.0,-1
13321,2026-06-01 13:25:00-04:00,SFRZ26,15,-14052.480603444157,-4011.0,-1
13322,2026-06-01 13:25:00-04:00,SFRZ26,30,-14052.480603444157,-7463.0,-1
13323,2026-06-01 13:25:00-04:00,SFRZ26,60,-14052.480603444157,-5452.0,-1
13324,2026-06-01 13:45:00-04:00,SFRZ26,5,6923.4521343258675,0.0,-1
13325,2026-06-01 13:45:00-04:00,SFRZ26,15,6923.4521343258675,0.0,-1
13326,2026-06-01 13:45:00-04:00,SFRZ26,30,6923.4521343258675,-1459.0,-1
13327,2026-06-01 13:45:00-04:00,SFRZ26,60,6923.4521343258675,-2011.0,-1
13328,2026-06-01 13:55:00-04:00,SFRZ26,5,6835.326694771851,0.0,-1
13329,2026-06-01 13:55:00-04:00,SFRZ26,15,6835.326694771851,-1464.0,-1
13330,2026-06-01 13:55:00-04:00,SFRZ26,30,6835.326694771851,-2011.0,-1
13331,2026-06-01 13:55:00-04:00,SFRZ26,60,6835.326694771851,-1577.0,-1
13332,2026-06-01 15:35:00-04:00,SFRZ26,5,-8776.086096904888,-0.0,-1
13333,2026-06-01 15:35:00-04:00,SFRZ26,15,-8776.086096904888,-1047.0,-1
13334,2026-06-01 15:35:00-04:00,SFRZ26,30,-8776.086096904888,-1046.0,-1
13335,2026-06-01 15:35:00-04:00,SFRZ26,60,-8776.086096904888,-1046.0,-1
13336,2026-06-02 11:05:00-04:00,SFRZ26,5,-14068.684856057054,-2547.0,-1
13337,2026-06-02 11:05:00-04:00,SFRZ26,15,-14068.684856057054,-3239.0,-1
13338,2026-06-02 11:05:00-04:00,SFRZ26,30,-14068.684856057054,-3195.0,-1
13339,2026-06-02 11:05:00-04:00,SFRZ26,60,-14068.684856057054,-3195.0,-1
13340,2026-06-02 13:10:00-04:00,SFRZ26,5,-49190.454275332515,-0.0,-1
13341,2026-06-02 13:10:00-04:00,SFRZ26,15,-49190.454275332515,-0.0,-1
13342,2026-06-02 13:10:00-04:00,SFRZ26,30,-49190.454275332515,-0.0,-1
13343,2026-06-02 13:10:00-04:00,SFRZ26,60,-49190.454275332515,-0.0,-1
13344,2026-06-02 13:20:00-04:00,SFRZ26,5,-47477.02046131827,-0.0,-1
13345,2026-06-02 13:20:00-04:00,SFRZ26,15,-47477.02046131827,-0.0,-1
13346,2026-06-02 13:20:00-04:00,SFRZ26,30,-47477.02046131827,-0.0,-1
13347,2026-06-02 13:20:00-04:00,SFRZ26,60,-47477.02046131827,-1003.0,-1
13348,2026-06-02 13:25:00-04:00,SFRZ26,5,-46636.61086303514,-0.0,-1
13349,2026-06-02 13:25:00-04:00,SFRZ26,15,-46636.61086303514,-0.0,-1
13350,2026-06-02 13:25:00-04:00,SFRZ26,30,-46636.61086303514,-0.0,-1
13351,2026-06-02 13:25:00-04:00,SFRZ26,60,-46636.61086303514,-1003.0,-1
13352,2026-06-02 13:30:00-04:00,SFRZ26,5,-50980.20308026741,-0.0,-1
13353,2026-06-02 13:30:00-04:00,SFRZ26,15,-50980.20308026741,-0.0,-1
13354,2026-06-02 13:30:00-04:00,SFRZ26,30,-50980.20308026741,-0.0,-1
13355,2026-06-02 13:30:00-04:00,SFRZ26,60,-50980.20308026741,-1003.0,-1
13356,2026-06-02 13:50:00-04:00,SFRZ26,5,-50944.50148362483,-0.0,-1
13357,2026-06-02 13:50:00-04:00,SFRZ26,15,-50944.50148362483,-0.0,-1
13358,2026-06-02 13:50:00-04:00,SFRZ26,30,-50944.50148362483,-1003.0,-1
13359,2026-06-02 13:50:00-04:00,SFRZ26,60,-50944.50148362483,-1003.0,-1
13360,2026-06-03 08:35:00-04:00,SFRZ26,5,-13140.633631209697,-564.0,-1
13361,2026-06-03 08:35:00-04:00,SFRZ26,15,-13140.633631209697,-2633.0,-1
13362,2026-06-03 08:35:00-04:00,SFRZ26,30,-13140.633631209697,-2166.0,-1
13363,2026-06-03 08:35:00-04:00,SFRZ26,60,-13140.633631209697,-5072.0,-1
13364,2026-06-03 09:00:00-04:00,SFRZ26,5,-6474.676012808119,-0.0,-1
13365,2026-06-03 09:00:00-04:00,SFRZ26,15,-6474.676012808119,-1760.0,-1
13366,2026-06-03 09:00:00-04:00,SFRZ26,30,-6474.676012808119,-2906.0,-1
13367,2026-06-03 09:00:00-04:00,SFRZ26,60,-6474.676012808119,-6692.0,-1
13368,2026-06-03 11:05:00-04:00,SFRZ26,5,-8481.346942677388,740.0,-1
13369,2026-06-03 11:05:00-04:00,SFRZ26,15,-8481.346942677388,740.0,-1
