trade_id,opened_at,role,cusip,w,cost_bp
86,2022-04-29,front,912810SL3,-0.33699633699633735,0.28638221076308773
86,2022-04-29,belly,912810SP4,1.0,0.3098967738973754
86,2022-04-29,back,912810SS8,-0.6630036630036626,0.29875668161909913
87,2022-05-06,front,912810SZ2,-0.5,0.2937341108767831
87,2022-05-06,belly,912810TB4,1.0,0.1992758995051084
87,2022-05-06,back,912810TD0,-0.5,0.18643953296194968
88,2022-05-20,front,912810RU4,-0.6630036630036626,0.48216619528587745
88,2022-05-20,belly,912810RV2,1.0,0.4752091428655475
88,2022-05-20,back,912810RY6,-0.33699633699633735,0.4805887690848603
89,2022-05-20,front,912810RS9,-0.3333333333333333,0.6139424497681072
89,2022-05-20,belly,912810RU4,1.0,0.48216619528587745
89,2022-05-20,back,912810RV2,-0.6666666666666667,0.4752091428655475
90,2022-05-20,front,912810RN0,-0.3260073260073253,0.7080719588505177
90,2022-05-20,belly,912810RQ3,1.0,0.7265662912866837
90,2022-05-20,back,912810RS9,-0.6739926739926747,0.6139424497681072
91,2022-05-20,front,912810RK6,-0.5041095890410963,0.7496415587310179
91,2022-05-20,belly,912810RN0,1.0,0.7080719588505177
91,2022-05-20,back,912810RQ3,-0.49589041095890374,0.7265662912866837
92,2022-05-20,front,912810RQ3,-0.6739926739926747,0.7265662912866837
92,2022-05-20,belly,912810RS9,1.0,0.6139424497681072
92,2022-05-20,back,912810RU4,-0.3260073260073253,0.48216619528587745
93,2022-06-06,front,912810SL3,-0.5082872928176804,0.3073120088878439
93,2022-06-06,belly,912810SN9,1.0,0.3404124243995586
93,2022-06-06,back,912810SP4,-0.49171270718231963,0.334053447482719
94,2022-06-06,front,912810SH2,-0.5,0.3691998731672901
94,2022-06-06,belly,912810SJ8,1.0,0.4002458664195889
94,2022-06-06,back,912810SK5,-0.5,0.3880360376264166
95,2022-06-06,front,912810SK5,-0.49171270718231963,0.3880360376264166
95,2022-06-06,belly,912810SL3,1.0,0.3073120088878439
95,2022-06-06,back,912810SN9,-0.5082872928176804,0.3404124243995586
96,2022-07-06,front,912810TB4,-0.4945054945054928,0.2935145060725597
96,2022-07-06,belly,912810TD0,1.0,0.1851489816608523
96,2022-07-06,back,912810TG3,-0.5054945054945073,0.16767065012045604
97,2022-07-14,front,912810SZ2,-0.5,0.1945624935862348
97,2022-07-14,belly,912810TB4,1.0,0.19540545971213952
97,2022-07-14,back,912810TD0,-0.5,0.18499569976467609
98,2022-07-28,front,912810RN0,-0.3260073260073253,0.6151238005774025
98,2022-07-28,belly,912810RQ3,1.0,0.525455067047902
98,2022-07-28,back,912810RS9,-0.6739926739926747,0.7257202750770161
99,2022-07-28,front,912810RQ3,-0.6739926739926747,0.525455067047902
99,2022-07-28,belly,912810RS9,1.0,0.7257202750770161
99,2022-07-28,back,912810RU4,-0.3260073260073253,0.5866715214982494
100,2022-07-28,front,912810RK6,-0.5041095890410963,0.7600925603204157
100,2022-07-28,belly,912810RN0,1.0,0.6151238005774025
100,2022-07-28,back,912810RQ3,-0.49589041095890374,0.525455067047902
101,2022-08-11,front,912810SL3,-0.5082872928176804,0.20189406704420887
101,2022-08-11,belly,912810SN9,1.0,0.3358242754915393
101,2022-08-11,back,912810SP4,-0.49171270718231963,0.43960705040170206
102,2022-08-11,front,912810SH2,-0.49999999999999645,0.2746564989652444
102,2022-08-11,belly,912810SJ8,1.0,0.39587283644012783
102,2022-08-11,back,912810SK5,-0.5000000000000036,0.2877164495424458
103,2022-08-11,front,912810SK5,-0.49171270718231963,0.2877164495424458
103,2022-08-11,belly,912810SL3,1.0,0.20189406704420887
103,2022-08-11,back,912810SN9,-0.5082872928176804,0.3358242754915393
104,2022-08-18,front,912810SN9,-0.5000000000000036,0.4499264998467623
104,2022-08-18,belly,912810SP4,1.0,0.32777683714499406
104,2022-08-18,back,912810SS8,-0.49999999999999645,0.42059311149511813
105,2022-08-18,front,912810SJ8,-0.5,0.2942292010807443
105,2022-08-18,belly,912810SK5,1.0,0.3853921975349626
105,2022-08-18,back,912810SL3,-0.5,0.4009710220998147
106,2022-08-18,front,912810SU3,-0.33699633699633735,0.29990577521430933
106,2022-08-18,belly,912810SZ2,1.0,0.1942854371093355
106,2022-08-18,back,912810TB4,-0.6630036630036626,0.29702615853964254
107,2022-08-25,front,912810RZ3,-0.4945054945054928,0.3095230240552153
107,2022-08-25,belly,912810SA7,1.0,0.2947788578475276
107,2022-08-25,back,912810SC3,-0.5054945054945073,0.3858227758855584
108,2022-09-09,front,912810RU4,-0.6630036630036611,0.6580637294792475
108,2022-09-09,belly,912810RV2,1.0,0.5323640783920476
108,2022-09-09,back,912810RY6,-0.3369963369963389,0.3235301925616336
