signal,horizon,n_dates,ic_mean,ic_sd,ic_t_naive,ic_t,ic_hit,ic_ir
agg_act__coupon_long_govt__w05__equal,42,1455,0.0173770072766134,0.2111346696347149,3.1394019710249648,0.7309661490025627,0.5353951890034364,0.20160024480098288
agg_act__coupon_long_govt__w05__equal,63,1434,0.03052389118408239,0.2178913560429622,5.304866640434382,0.9973273451057565,0.5502092050209205,0.2801753290118027
agg_act__coupon_long_govt__w1__book,5,1492,-0.011289878242787611,0.20896095070545787,-2.086933133786173,-1.290788658206371,0.47587131367292224,-0.38356537066081103
agg_act__coupon_long_govt__w1__book,10,1487,-0.01756883110050962,0.2156608745363932,-3.1414271293629836,-1.4252725162358324,0.47276395427034296,-0.4089514723425986
agg_act__coupon_long_govt__w1__book,21,1476,-0.03636035184580312,0.21945925496453245,-6.365277697395127,-2.0475601150495244,0.4342818428184282,-0.5739377615967018
agg_act__coupon_long_govt__w1__book,42,1455,-0.035070777334167746,0.22525906107003807,-5.938744197856297,-1.3983623649461538,0.436426116838488,-0.3813631688927564
agg_act__coupon_long_govt__w1__book,63,1434,-0.028789775428609183,0.22737305724221185,-4.794837039896386,-0.9421915874932977,0.45327754532775455,-0.2532382312820866
agg_act__coupon_long_govt__w1__equal,5,1492,-0.009007266128580507,0.20451216357279753,-1.7012113162897342,-1.0506010274215176,0.47989276139410186,-0.3126720921437514
agg_act__coupon_long_govt__w1__equal,10,1487,-0.014971643712165621,0.20879198346742,-2.7651019450939454,-1.2928947195995792,0.4714189643577673,-0.35996140131789506
agg_act__coupon_long_govt__w1__equal,21,1476,-0.029599946105836134,0.19221121467915137,-5.916370675458099,-2.007894559757311,0.43089430894308944,-0.5334611785497414
agg_act__coupon_long_govt__w1__equal,42,1455,-0.029020147961603095,0.20497754723769931,-5.4003863018086715,-1.3273122800503327,0.41855670103092785,-0.346791908303814
agg_act__coupon_long_govt__w1__equal,63,1434,-0.02383198121659941,0.2144460656124688,-4.208396403901128,-0.8530353857937698,0.44839609483960946,-0.2222655020369254
agg_act__daily_only__w025__book,5,1491,-0.001799730164685362,0.18463762727200292,-0.376379539879668,-0.23952721878174482,0.4922870556673374,-0.06919941985591643
agg_act__daily_only__w025__book,10,1486,-0.005283215648290021,0.18463042590366138,-1.1030735502742226,-0.5294133704734139,0.4757738896366083,-0.1436465952840305
agg_act__daily_only__w025__book,21,1475,-0.009317688622193782,0.17640117725899976,-2.0286294414930284,-0.698326367484003,0.5037288135593221,-0.18297735143853983
agg_act__daily_only__w025__book,42,1454,-0.0066026032571083,0.1863087154091025,-1.3513387599571018,-0.3260678321859194,0.5116918844566712,-0.08680758126875807
agg_act__daily_only__w025__book,63,1433,-0.009932788507986854,0.19274130702063066,-1.9508302621113416,-0.37862949577852334,0.4982554082344731,-0.10306860175980509
agg_act__daily_only__w025__equal,5,1491,0.003246530363472231,0.17701623886819404,0.7081824856549331,0.44983568352764447,0.5083836351441985,0.13020319110626963
agg_act__daily_only__w025__equal,10,1486,0.0017779567239614104,0.17564057976184963,0.3902165892986582,0.19525134635068025,0.49865410497981155,0.05081554576498035
agg_act__daily_only__w025__equal,21,1475,0.0018733931856070526,0.16231474154477263,0.44326861395218303,0.16037808091728642,0.5132203389830509,0.03998173116185733
agg_act__daily_only__w025__equal,42,1454,0.012295127600201535,0.1707205466615996,2.7461828509448045,0.6698169857454925,0.5275103163686382,0.17640986707125053
agg_act__daily_only__w025__equal,63,1433,0.016958848950138647,0.17982551707840697,3.569999451913886,0.7302028804741132,0.5478018143754362,0.18861448837368616
agg_act__daily_only__w05__book,5,1492,-0.004582824945384531,0.20339833297702337,-0.8703026196586646,-0.5422299069198231,0.48257372654155495,-0.15995622547370675
agg_act__daily_only__w05__book,10,1487,-0.006876291125958265,0.2064706123866012,-1.2842556758180714,-0.5968724611677123,0.4862138533960995,-0.16718460364116058
agg_act__daily_only__w05__book,21,1476,-0.0074305975633461125,0.2034363869708723,-1.4032604510406463,-0.4752830948798175,0.47696476964769646,-0.1265277338233076
agg_act__daily_only__w05__book,42,1455,0.004018425494948759,0.21872709927830358,0.7007850425679637,0.16642729836831405,0.5195876288659794,0.045001703330282194
agg_act__daily_only__w05__book,63,1434,0.01509174074730692,0.218653384238333,2.61371185782849,0.49926537149477107,0.5418410041841004,0.13804259924792078
agg_act__daily_only__w05__equal,5,1492,0.00044023467942775864,0.20025740464665187,0.08491415246840239,0.05354878377593377,0.4973190348525469,0.015606694741964126
agg_act__daily_only__w05__equal,10,1487,0.0033423812381899363,0.1958257691520712,0.6581753727458199,0.3195984691912207,0.5023537323470074,0.08568137240179183
agg_act__daily_only__w05__equal,21,1476,0.00972783101147002,0.18689684905038445,1.9996648689481948,0.6927079792044966,0.5257452574525745,0.18030370918418176
agg_act__daily_only__w05__equal,42,1455,0.02416411695953054,0.2075447795940933,4.441100609043727,1.0582493554572796,0.5512027491408935,0.2851902936394919
agg_act__daily_only__w05__equal,63,1434,0.038666573160733415,0.21165229067053337,6.91810719120839,1.3758904579449212,0.5662482566248257,0.36537826298250076
agg_act__daily_only__w1__book,5,1492,-0.011600612003618173,0.20658400411801545,-2.1690452998358674,-1.3431849795225466,0.47587131367292224,-0.3986570776717938
agg_act__daily_only__w1__book,10,1487,-0.017494267465082414,0.21238681855963407,-3.1763158871922736,-1.454301999726654,0.4741089441829186,-0.4134932962636856
agg_act__daily_only__w1__book,21,1476,-0.03556896327819997,0.21653943645409066,-6.310697799805751,-2.063833827712429,0.4349593495934959,-0.5690164579647421
agg_act__daily_only__w1__book,42,1455,-0.03238033590247422,0.22134091314830925,-5.580217786043143,-1.3108655427144513,0.43848797250859106,-0.3583399902567463
agg_act__daily_only__w1__book,63,1434,-0.0251466717988239,0.22515809854716937,-4.229290500712485,-0.8324707632231367,0.45676429567642957,-0.22336901902336692
agg_act__daily_only__w1__equal,5,1492,-0.011116451085582055,0.20484999490147324,-2.096112633102474,-1.2846054306370291,0.4879356568364611,-0.38525250572073977
agg_act__daily_only__w1__equal,10,1487,-0.011033159231908583,0.21052029916737275,-2.0209770966247613,-0.9381571547790306,0.4808338937457969,-0.2630911127971826
agg_act__daily_only__w1__equal,21,1476,-0.023248436017200138,0.19767290929600892,-4.518452973883961,-1.5487470263254357,0.44173441734417346,-0.40741518422239237
agg_act__daily_only__w1__equal,42,1455,-0.020728867458437848,0.20615647909997195,-3.835394869046855,-0.9796081771663951,0.44879725085910654,-0.24629421515456226
agg_act__daily_only__w1__equal,63,1434,-0.02158972889881043,0.20477877292137123,-3.9924255692254706,-0.8309858437114619,0.4686192468619247,-0.21085905136369018
