trade_id,opened_at,closed_at,hold_days,belly,side,score,ttm_belly,wing_span_y,a,R_entry_bp,R_exit_bp,price_bp,carry_bp,gross_bp,cost_bp,pnl_bp,convexity_bp,year,month
145,2023-05-17,2023-07-19,42,912810TL2,-1.0,-4.6477944091921195,29.503080082135522,0.503764544832304,0.5000000000000036,-2.1334075927735174,-1.6885757446289062,0.4448318481446112,-0.10532362983040736,0.33950821831420386,0.41994231906856794,-0.08043410075436408,-22.63968802024732,2023,5
146,2023-06-08,2023-08-09,42,912810SF6,1.0,3.668541012735661,25.694729637234772,0.4955509924709105,0.49171270718231963,-0.07749536083898612,-0.02516361395210609,-0.052331746886880026,0.001115510868063932,-0.05121623601881609,0.6653988147795543,-0.7166150507983704,0.7211379249174001,2023,6
147,2023-06-08,2023-08-09,42,912810SE9,1.0,3.668541012735661,25.44284736481862,0.5037645448323076,0.5,0.22979122893924675,0.46621799468997693,-0.23642676575073018,0.07368038632229972,-0.16274637942843045,0.5497138648343061,-0.7124602442627366,-10.280665502289622,2023,6
148,2023-06-08,2023-08-09,42,912810SD1,1.0,3.668541012735661,25.190965092402465,0.5037645448323076,0.5,0.0382498404002618,0.009794235229465542,0.02845560517079626,-0.033939424068817385,-0.005483818898021124,0.6122999961662899,-0.617783815064311,5.800529726101104,2023,6
149,2023-06-08,2023-08-09,42,912810TN8,-1.0,-3.703082303301157,29.694729637234772,0.4955509924709105,0.49171270718231963,0.833657301591928,1.0975098478200884,0.26385254622816046,-0.007745737697759939,0.2561068085304005,0.36919545120712416,-0.11308864267672364,2.3558023832276547,2023,6
150,2023-07-10,2023-09-07,42,912810RQ3,-1.0,-2.1224908652985963,22.611909650924023,0.7474332648870643,0.32600732600733007,0.006685847447096549,0.118444952772645,0.11175910532554845,0.03738083925510106,0.1491399445806495,1.175266019435793,-1.0261260748551435,2.0807640875934794,2023,7
151,2023-07-10,2023-09-07,42,912810RS9,-1.0,-2.1224908652985963,22.855578370978783,0.7474332648870643,0.6739926739926699,0.020700636364079372,0.00765803969382528,-0.013042596670254092,0.045284251663343704,0.03224165499308961,1.2066350876485246,-1.174393432655435,6.322215332138015,2023,7
152,2023-07-10,2023-09-07,42,912810RN0,-1.0,-2.1224908652985963,22.10814510609172,0.9993155373032145,0.5041095890410945,0.5653665002295583,0.7191284388711416,0.15376193864158338,-0.13162316516909772,0.022138773472485662,1.1756158280199573,-1.1534770545474717,-12.328125484327614,2023,7
153,2023-07-24,2023-09-21,42,912810TL2,-1.0,-2.1825943406067587,29.322381930184804,0.5037645448323076,0.5,-1.7178402187182584,-0.47025680541987747,1.247583413298381,-0.17447181924772887,1.0731115940506522,0.3815048535267929,0.6916067405238593,-22.44014692863871,2023,7
154,2023-08-14,2023-10-13,42,912810SE9,1.0,1.9375148109453963,25.26488706365503,0.5037645448323076,0.5,0.5355834960938832,0.19598007202143997,0.33960342407244326,0.17890514865717153,0.5185085727296148,0.5958470007896371,-0.07733842806002234,-16.660452976805885,2023,8
155,2023-08-14,2023-10-13,42,912810SD1,1.0,1.9375148109453963,25.013004791238878,0.5037645448323076,0.5,-0.060249398114464725,0.12121200561527878,-0.1814614037297435,-0.13398022527531683,-0.31544162900506034,0.6640823009557867,-0.979523929960847,12.10775706475684,2023,8
156,2023-08-14,2023-10-13,42,912810SF6,1.0,1.9375148109453963,25.516769336071185,0.4955509924709105,0.49171270718231963,-0.13421438016951726,0.0920395824790976,-0.22625396264861486,-0.08557664864664762,-0.31183061129526246,0.6607711851011089,-0.9726017963963713,7.266935248543518,2023,8
157,2023-08-14,2023-10-13,42,912810TN8,-1.0,-1.8450886252313847,29.516769336071185,0.4955509924709105,0.49171270718231963,1.047548905262019,0.35879124593996004,-0.688757659322059,0.08620450861928616,-0.6025531507027728,0.3014879668699809,-0.9040411175727537,10.21697091242902,2023,8
158,2023-08-21,2023-10-20,42,912810RV2,1.0,2.1101969170893007,23.496235455167692,0.7474332648870643,0.6630036630036626,0.29317607606116347,-0.012450710084754846,0.3056267861459183,0.0311210813640247,0.336747867509943,1.0212892333153891,-0.6845413658054461,-3.8674289838236007,2023,8
159,2023-08-21,2023-10-20,42,912810RU4,1.0,2.1101969170893007,23.24435318275154,0.7556468172484578,0.3333333333333349,-0.08939073957696664,0.12492618494408525,-0.2143169245210519,0.05188576963876992,-0.16243115488228196,1.0833632842417014,-1.2457944391239832,-3.5639051765913337,2023,8
160,2023-08-21,2023-10-20,42,912810RY6,1.0,2.1101969170893007,23.991786447638603,0.7474332648870643,0.33699633699633735,-0.06517625948903039,0.02476269508897566,-0.08993895457800605,-0.0642386885777774,-0.15417764315578344,0.9367265886637248,-1.0909042318195084,5.055065222846821,2023,8
161,2023-09-05,2023-11-03,42,912810TR9,-1.0,-1.853264287538452,29.702943189596166,0.4955509924709105,0.5082872928176804,-0.21302834044565344,0.003947971615669843,0.21697631206132328,0.018121720176311248,0.23509803223763454,0.41153697876988937,-0.17643894653225484,4.759497412803455,2023,9
162,2023-10-03,2023-12-04,42,912810RG5,1.0,1.723178109719271,20.618754277891856,0.4982888432580417,0.5054945054945,0.04970843975344863,0.09978865892068534,-0.050080219167236706,0.02940866786678186,-0.020671551300454845,1.4761689119861698,-1.4968404632866248,-2.8824613981553426,2023,10
163,2023-10-18,2023-12-18,42,912810TN8,-1.0,-1.2852564708566692,29.333333333333332,0.4955509924709105,0.49171270718231963,0.3112561136319414,0.4542230840762773,0.14296697044433593,0.044903432871384534,0.18787040331572047,0.48629608401694036,-0.2984256807012199,10.351691145072351,2023,10
164,2023-11-08,2024-01-10,42,912810RZ3,-1.0,-1.2779299410150786,24.021902806297057,0.5037645448323076,0.5,-0.2769470214845082,-0.21076202392587007,0.06618499755863816,0.08301137196960115,0.1491963695282393,0.8463866248321159,-0.6971902553038766,1.479934994992135,2023,11
165,2023-11-08,2024-01-10,42,912810SA7,-1.0,-1.2779299410150786,24.27378507871321,0.4982888432580417,0.4945054945054928,0.313473795796515,0.22349766322555809,-0.08997613257095693,-0.06049526758913498,-0.15047140016009192,0.8271111513613142,-0.977582551521406,0.8649907545922702,2023,11
166,2023-11-08,2024-01-10,42,912810SC3,-1.0,-1.2779299410150786,24.520191649555098,0.4982888432580417,0.5054945054945073,0.1258661458781063,0.058149610246927,-0.0677165356311793,-0.005881597368839666,-0.07359813300001897,0.8139979882251163,-0.8875961212251352,-7.628135992715329,2023,11
167,2023-11-22,2024-01-25,42,912810RH3,1.0,5.0,20.733744010951405,0.503764544832304,0.49999999999999645,0.30078887939448684,-0.006937870743950469,0.3077267501384373,0.027969281163204577,0.3356960313016419,1.5514943945642339,-1.215798363262592,-1.3252279986504902,2023,11
168,2023-11-22,2024-01-25,42,912810SS8,-1.0,-5.0,26.98425735797399,0.5037645448323076,0.5,0.06847381591787993,0.090255934177641,0.021782118259761063,0.02244598053963267,0.04422809879939373,1.1440903296324398,-1.0998622308330461,2.3484665360741417,2023,11
169,2023-11-22,2024-01-25,42,912810SL3,-1.0,-5.0,26.236824093086927,0.4955509924709105,0.49171270718231963,0.5289218155142272,0.5170222962399329,-0.011899519274294335,-0.14356550973622453,-0.15546502901051887,1.0353888105109406,-1.1908538395214594,-23.44112300075406,2023,11
170,2023-11-22,2024-01-25,42,912810SN9,-1.0,-5.0,26.480492813141684,0.4955509924709105,0.5082872928176804,-1.2841811138617931,-0.5500792255487941,0.734101888312999,0.24915333065626458,0.9832552189692636,1.0956192754851874,-0.11236405651592385,39.20502530133314,2023,11
171,2023-12-07,2024-02-08,42,912810RG5,1.0,3.613079881098154,20.44079397672827,0.49828884325804523,0.5054945054945036,-0.1672689198636501,-0.11732080480544305,-0.049948115058207065,-0.04958410098113109,-0.09953221603933815,1.3078278366910416,-1.4073600527303798,2.221353465322636,2023,12
172,2023-12-07,2024-02-08,42,912810SP4,-1.0,-4.102706496254084,26.691307323750856,0.5037645448323076,0.5,-0.02230219579693049,-0.01764247640942962,0.004659719387500871,0.00454756998897141,0.009207289376472281,0.8765575845927123,-0.86735029521624,2.0081742803727707,2023,12
173,2024-01-30,2024-04-01,42,912810RH3,1.0,1.9521507157011302,20.54483230663929,0.503764544832304,0.49999999999999645,-0.09928142176298671,-0.06990432739257812,-0.029377094370408585,-0.05180776507401834,-0.08118485944442692,1.4707766149517902,-1.5519614743962171,-1.1061120165477973,2024,1
174,2024-01-30,2024-04-01,42,912810SL3,-1.0,-2.060705725773794,26.04791238877481,0.4955509924709105,0.49171270718231963,0.4494649138899298,1.1024000894957808,0.652935175605851,-0.09892100403144675,0.5540141715744042,1.2019802750939172,-0.647966103519513,-22.76648661551323,2024,1
175,2024-01-30,2024-04-01,42,912810SN9,-1.0,-2.060705725773794,26.29158110882957,0.4955509924709105,0.5082872928176804,-0.46330314973435094,-1.4214752777071293,-0.9581721279727784,0.21501033513593995,-0.7431617928368385,1.3441840701740584,-2.087345863010897,38.04282732359627,2024,1
