Date,2Y,5Y,10Y,30Y,2Y/5Y,2Y/10Y,2Y/30Y,5Y/10Y,5Y/30Y,10Y/30Y,2Y/5Y/10Y,2Y/5Y/30Y,2Y/10Y/30Y,5Y/10Y/30Y
2023-01-05,2.097889849391077,-25.644079953113508,-33.48889195894795,-74.6812186823099,-27.741969802504585,-35.586781808339026,-76.77910853170098,-7.844812005834445,-49.0371387291964,-41.19232672336195,-19.897157796670136,21.295168926691815,5.605544915022918,33.3475147175275
2023-01-06,3.652808849914191,-24.905779719632193,-32.793399312001135,-73.55885388549721,-28.558588569546384,-36.44620816191532,-77.21166273541141,-7.887619592368942,-48.65307416586502,-40.76545457349608,-20.670968977177445,20.094485596318634,4.31924641158075,32.87783498112714
2023-01-09,2.479023160100091,-27.481743477649225,-36.167610016156225,-76.40876008064868,-29.960766637749316,-38.646633176256316,-78.88778324074877,-8.685866538507,-48.92701660299945,-40.24115006449245,-21.274900099242316,18.966249965250135,1.594516888236143,31.555283525985452
2023-01-10,1.7599175758375551,-25.546915042753284,-34.261837619821776,-73.41347424178548,-27.30683261859084,-36.02175519565933,-75.17339181762304,-8.714922577068492,-47.866559199032196,-39.1516366219637,-18.591910041522347,20.559726580441357,3.1298814263043653,30.43671404489521
2023-01-11,1.5973259931037376,-24.311321632758045,-32.18798664102831,-71.53497281943575,-25.908647625861782,-33.78531263413205,-73.13229881253949,-7.876665008270265,-47.22365118667771,-39.34698617840744,-18.031982617591517,21.315003560815924,5.5616735442753935,31.470321170137176
2023-01-12,2.4290546435681293,-22.651311334832734,-31.363197740420468,-67.56932060567804,-25.080365978400863,-33.7922523839886,-69.99837524924618,-8.711886405587734,-44.91800927084531,-36.206122865257576,-16.36847957281313,19.837643292444447,2.4138704812689724,27.494236459669843
2023-01-13,-0.4702847937065435,-23.165682128721787,-30.988883232776885,-66.59556986679193,-22.695397335015244,-30.51859843907034,-66.1252850730854,-7.823201104055098,-43.42988773807015,-35.60668663401505,-14.872196230960142,20.734490403054906,5.088088194944703,27.783485529959947
2023-01-17,-1.9106896246273486,-24.564713165965337,-33.3074305752346,-67.88049586506189,-22.65402354133799,-31.39674095060725,-65.96980624043454,-8.742717409269261,-43.31578269909655,-34.57306528982729,-13.911306132068724,20.661759157758567,3.176324339220045,25.83034788055803
2023-01-18,-0.1448898893786854,-21.757674595677745,-30.892356207289275,-65.1602017813758,-21.61278470629906,-30.74746631791059,-65.01531189199711,-9.13468161161153,-43.40252718569806,-34.26784557408653,-12.478103094687533,21.789742479398996,3.520379256175943,25.133163962474995
2023-01-19,0.04654054224850768,-23.30132232447322,-32.30409674689714,-68.29284430598489,-23.347862866721727,-32.350637289145645,-68.3393848482334,-9.002774422423919,-44.99152198151167,-35.98874755908775,-14.345088444297808,21.64365911478994,3.6381102699421035,26.98597313666383
2023-01-20,0.04770938546458936,-22.753203745275165,-32.422603699212615,-68.46325117981134,-22.800913130739755,-32.4703130846772,-68.51096056527592,-9.66939995393745,-45.71004743453617,-36.04064748059872,-13.1315131768023,22.90913430379642,3.5703343959215204,26.37124752666127
2023-01-23,-1.4078523856891678,-22.633588727646803,-32.61714382400878,-68.68519958099739,-21.225736341957635,-31.20929143831961,-67.27734719530822,-9.983555096361975,-46.05161085335059,-36.06805575698861,-11.24218124559566,24.825874511392954,4.858764318669003,26.084500660626638
2023-01-24,-2.0279133176892117,-23.84590165646201,-33.27357044923303,-68.99003910103278,-21.8179883387728,-31.245657131543815,-66.96212578334357,-9.427668792771016,-45.14413744457077,-35.71646865179975,-12.390319546001784,23.326149105797967,4.4708115202559355,26.288799859028735
2023-01-25,-3.184269036687404,-22.961122852465454,-32.836829583069886,-67.64780511511286,-19.77685381577805,-29.65256054638248,-64.46353607842545,-9.875706730604431,-44.68668226264741,-34.810975532042974,-9.90114708517362,24.909828446869355,5.158414985660492,24.93526880143854
2023-01-26,-5.047004837542257,-24.588353325948642,-32.043598409666394,-65.45764407645666,-19.541348488406385,-26.996593572124137,-60.4106392389144,-7.455245083717752,-40.869290750508014,-33.414045666790265,-12.086103404688636,21.32794226210163,6.417452094666132,25.958800583072517
2023-01-27,-5.860470430267117,-23.25575359206504,-31.67901386720464,-66.28706922405634,-17.395283161797924,-25.818543436937524,-60.426598793789225,-8.4232602751396,-43.0313156319913,-34.60805535685169,-8.972022886658326,25.63603247019337,8.789511919914176,26.184795081712096
2023-01-30,-3.8891974191511025,-22.88972664444109,-31.357545129345876,-66.18049030878454,-19.000529225289988,-27.468347710194774,-62.29129288963344,-8.467818484904786,-43.29076366434345,-34.82294517943866,-10.532710740385202,24.290234439053464,7.354597469243892,26.35512669453388
2023-01-31,2.0068139037528354,-21.728759073512414,-31.29173554110727,-67.29318289734975,-23.73557297726525,-33.2985494448601,-69.2999968011026,-9.562976467594854,-45.56442382383734,-36.00144735624248,-14.172596509670395,21.828850846572088,2.7028979113823794,26.43847088864763
2023-02-01,4.734126722291521,-19.04523163345413,-30.441569371578716,-67.92002539285082,-23.77935835574565,-35.175696093870236,-72.65415211514234,-11.396337738124586,-48.87479375939669,-37.4784560212721,-12.383020617621064,25.095435403651038,2.3027599274018655,26.082118283147516
2023-02-02,2.0252733341621365,-20.603690292975063,-29.94098472598519,-63.85625049331636,-22.6289636271372,-31.966258060147325,-65.8815238274785,-9.337294433010126,-43.25256020034129,-33.91526576733117,-13.291669194127074,20.623596573204097,1.9490077071838456,24.57797133432104
2023-02-03,0.15868240033158898,-21.027255161328952,-30.53706603585149,-66.2991411243384,-21.18593756166054,-30.695748436183077,-66.45782352466999,-9.509810874522536,-45.27188596300945,-35.76207508848692,-11.676126687138002,24.085948401348915,5.066326652303843,26.25226421396438
2023-02-06,1.242383023168614,-20.84938929871911,-30.92348750865486,-65.2948096578052,-22.091772321887724,-32.16587053182347,-66.53719268097382,-10.074098209935748,-44.44542035908609,-34.371322149150345,-12.017674111951976,22.35364803719837,2.2054516173268723,24.297223939214597
2023-02-07,0.6781009600630661,-22.692505640537597,-31.399592773684716,-67.5582311111,-23.370606600600663,-32.07769373374778,-68.23633207116306,-8.70708713314712,-44.8657254705624,-36.15863833741528,-14.66351946745354,21.495118869961743,4.080944603667504,27.451551204268164
2023-02-08,1.1201748532735145,-22.061174572850774,-30.075665536529694,-65.8976418489626,-23.18134942612429,-31.19584038980321,-67.01781670223612,-8.01449096367892,-43.83646727611183,-35.82197631243291,-15.166858462445365,20.655117849987548,4.6261359226297,27.807485348753993
2023-02-09,3.677814279364,-20.997892413274457,-30.903831406107596,-67.07201045391943,-24.675706692638457,-34.5816456854716,-70.74982473328343,-9.90593899283314,-46.074118040644976,-36.16817904781183,-14.769767699805318,21.39841134800652,1.5865333623402478,26.262240054978697
2023-02-10,3.9827599990235996,-22.891265887687197,-32.216127145132624,-67.17534569379539,-26.874025886710797,-36.198887144156224,-71.15810569281899,-9.324861257445427,-44.284079806108195,-34.95921854866277,-17.54916462926537,17.4100539193974,-1.2396685954934554,25.63435729121734
2023-02-13,3.9050079671723914,-21.886787815698796,-31.6162906509458,-66.17474067092508,-25.791795782871187,-35.521298618118195,-70.07974863809747,-9.729502835247004,-44.28795285522628,-34.558450019979276,-16.062292947624186,18.49615707235509,-0.962848598138919,24.82894718473227
2023-02-14,8.517830201605392,-20.214089158684835,-31.394085458067835,-67.5619744286808,-28.731919360290227,-39.91191565967323,-76.07980463028619,-11.179996299383,-47.34788526999596,-36.167888970612964,-17.551923060907228,18.615965909705736,-3.744026689060263,24.987892671229964
2023-02-15,8.13301334707699,-19.961543834811167,-29.492648357494478,-69.40864514990892,-28.094557181888156,-37.62566170457147,-77.54165849698592,-9.53110452268331,-49.447101315097754,-39.91599679241445,-18.563452659204845,21.352544133209598,2.2903350878429762,30.384892269731132
2023-02-16,4.465125618907972,-22.023742123931946,-30.824426834976883,-71.27444849327387,-26.48886774283992,-35.28955245388485,-75.73957411218184,-8.800684711044937,-49.25070636934192,-40.45002165829698,-17.688183031794985,22.761838626501998,5.160469204412124,31.649336947252046
2023-02-17,6.090732267026233,-21.080666163249305,-28.19905290985414,-70.42768071435397,-27.171398430275538,-34.28978517688037,-76.51841298138021,-7.118386746604834,-49.347014551104664,-42.22862780449983,-20.053011683670704,22.175616120829126,7.938842627619458,35.110241057894996
2023-02-21,6.598982009676746,-20.54469599315101,-28.148393878578393,-69.74972299408088,-27.143678002827755,-34.747375888255135,-76.34870500375763,-7.603697885427383,-49.205027000929874,-41.601329115502494,-19.539980117400372,22.06134899810212,6.853953227247352,33.99763123007511
