date,pnl,cost,in_pos,richness,nb32,equity,pnl_32nds,pnl_volbp
2019-08-22,0.0,0.0,0,1.1081916284920996e-22,0.8218581294881915,0.0,0.0,0.0
2019-08-23,0.0,0.0,0,1.1877500430514698e-24,4.6876098530065065,0.0,0.0,0.0
2019-08-26,0.0,0.0,0,-0.00015982517338106148,-0.33040205820088886,0.0,0.0,0.0
2019-08-27,0.0,0.0,0,1.3140103648851715e-05,2.995766735543839,0.0,0.0,0.0
2019-08-28,0.0,0.0,0,-8.799472704715733e-06,-2.8568544010499863,0.0,0.0,0.0
2019-08-29,0.0,0.0,0,3.569910241361039e-06,8.797416261894796,0.0,0.0,0.0
2019-08-30,0.0,0.0,0,4.510291816381701e-06,6.411809706057738,0.0,0.0,0.0
2019-09-03,0.0,0.0,0,4.30120276732536e-06,4.3989593854917075,0.0,0.0,0.0
2019-09-06,0.0,0.0,0,1.788484531324753e-05,1.3593510037999295,0.0,0.0,0.0
2019-09-10,0.0,0.0,0,-1.540812822789843e-06,-10.322112653952445,0.0,0.0,0.0
2019-09-11,0.0,0.0,0,-6.433506938679461e-06,-3.6793048613712926,0.0,0.0,0.0
2019-09-12,0.0,0.0,0,0.00010217959999873493,0.31683985075505916,0.0,0.0,0.0
2019-09-13,0.0,0.0,0,-1.8611344164421305e-05,-1.3516927569098698,0.0,0.0,0.0
2019-09-16,0.0,0.0,0,2.5373532689070024e-06,4.4332641961141235,0.0,0.0,0.0
2019-09-17,0.0,0.0,0,2.2537754489502285e-06,4.577739993016166,0.0,0.0,0.0
2019-09-18,0.0,0.0,0,-1.1057331539241665e-06,-4.362233075148197,0.0,0.0,0.0
2019-09-19,0.0,0.0,0,-1.2527743642387096e-06,-6.443318717068905,0.0,0.0,0.0
2019-09-20,0.0,0.0,0,3.178329743088624e-07,13.981601908963967,0.0,0.0,0.0
2019-09-23,0.0,0.0,0,-3.37909630423658e-07,-4.629535155808298,0.0,0.0,0.0
2019-09-24,0.0,0.0,0,1.4847230225080984e-05,0.11419793124923672,0.0,0.0,0.0
2019-09-25,0.0,0.0,0,1.387830259502399e-07,7.586716570775934,0.0,0.0,0.0
2019-09-26,0.0,0.0,0,-1.082903371841571e-07,-9.13747787834609,0.0,0.0,0.0
2019-09-27,0.0,0.0,0,-3.995136681172325e-07,-2.1617345572039994,0.0,0.0,0.0
2019-09-30,0.0,0.0,0,8.381680441416451e-07,0.5768938307246572,0.0,0.0,0.0
2019-10-01,0.0,0.0,0,-1.5140862416053957e-07,-2.824832983077158,0.0,0.0,0.0
2019-10-02,0.0,0.0,0,-4.384434354999668e-07,-0.8520072655837794,0.0,0.0,0.0
2019-10-03,0.0,0.0,0,-9.08711286148166e-08,-3.70477240372702,0.0,0.0,0.0
2019-10-04,0.0,0.0,0,3.595359098298316e-08,7.819014386957406,0.0,0.0,0.0
2019-10-07,0.0,0.0,0,-1.0773819661746042e-07,-0.5780664749172502,0.0,0.0,0.0
2019-10-08,0.0,0.0,0,1.3047705687823739e-08,3.8206986602267534,0.0,0.0,0.0
2019-10-09,0.0,0.0,0,5.1001026759341535e-08,2.6551688525655663,0.0,0.0,0.0
2019-10-10,0.0,0.0,0,-7.070158283611652e-08,-1.1853783859855866,0.0,0.0,0.0
2019-10-11,0.0,0.0,0,-9.889101533106218e-08,-0.5353692555108864,0.0,0.0,0.0
2019-10-15,0.0,0.0,0,2.2309017186697633e-09,7.173744892255854,0.0,0.0,0.0
2019-10-16,0.0,0.0,0,2.9483831481977193e-09,3.988323337998736,0.0,0.0,0.0
2019-10-17,0.0,0.0,0,3.182717441411061e-09,2.616670409267499,0.0,0.0,0.0
2019-10-18,0.0,0.0,0,-1.903930267679137e-07,-0.07480719765089816,0.0,0.0,0.0
2019-10-21,0.0,0.0,0,2.2119497908713244e-09,2.027749787763696,0.0,0.0,0.0
2019-10-22,0.0,0.0,0,-2.149594936365686e-08,-0.06030124571225315,0.0,0.0,0.0
2019-10-23,0.0,0.0,0,5.224132571172619e-10,4.308830915449107,0.0,0.0,0.0
2019-10-24,0.0,0.0,0,2.381555754322022e-10,2.100054187413207,0.0,0.0,0.0
2019-10-25,0.0,0.0,0,2.186136227341193e-10,3.518063938513478,0.0,0.0,0.0
2019-10-28,0.0,0.0,0,2.653412048762955e-11,6.511441481588008,0.0,0.0,0.0
2019-10-29,0.0,0.0,0,-1.0617396356483678e-10,-1.015938208272928,0.0,0.0,0.0
2019-10-30,0.0,0.0,0,8.351023581284084e-12,10.756471143432009,0.0,0.0,0.0
2019-10-31,0.0,0.0,0,2.3820775055382437e-12,3.9809559225491284,0.0,0.0,0.0
2019-11-01,0.0,0.0,0,1.8150307670773187e-12,6.806884418820118,0.0,0.0,0.0
2019-11-04,0.0,0.0,0,4.116843990809146e-13,3.7213271827704375,0.0,0.0,0.0
2019-11-05,0.0,0.0,0,2.2316482668650334e-13,9.966174313690772,0.0,0.0,0.0
2019-11-06,0.0,0.0,0,4.061662996067653e-13,3.6458681272461035,0.0,0.0,0.0
2019-11-07,0.0,0.0,0,6.521631242237549e-13,3.1696767849412026,0.0,0.0,0.0
2019-11-08,0.0,0.0,0,-8.265306939011679e-14,-2.1297507103763564,0.0,0.0,0.0
2019-11-12,0.0,0.0,0,6.3461248254827834e-15,1.3930326186555249,0.0,0.0,0.0
2019-11-13,0.0,0.0,0,4.227862627575277e-16,1.8910976782940452,0.0,0.0,0.0
2019-11-14,0.0,0.0,0,1.265382833800704e-15,0.3035539167040042,0.0,0.0,0.0
2019-11-15,0.0,0.0,0,9.74431952472747e-18,2.0906251014530426,0.0,0.0,0.0
2019-11-18,0.0,0.0,0,7.807905002236583e-20,5.916540551208072,0.0,0.0,0.0
2019-11-19,0.0,0.0,0,2.560421472405593e-19,4.045204124843167,0.0,0.0,0.0
2019-11-20,0.0,0.0,0,9.016204377735738e-21,6.698428720879747,0.0,0.0,0.0
2019-11-21,0.0,0.0,0,5.604000568605885e-21,1.2574909153904628,0.0,0.0,0.0
2019-11-22,0.0,0.0,0,3.5451988900533517e-23,4.819923331850077,0.0,0.0,0.0
2019-11-25,0.0,0.0,0,-5.785181109952243e-06,-2.0497047477924752,0.0,0.0,0.0
2019-11-26,0.0,0.0,0,-1.2000287226112783e-05,-0.962582427313464,0.0,0.0,0.0
2019-11-27,0.0,0.0,0,-3.4312057362035864e-06,-2.784586491115988,0.0,0.0,0.0
2019-11-29,0.0,0.0,0,-4.529071374749127e-06,-2.6105564632616733,0.0,0.0,0.0
2019-12-02,0.0,0.0,0,7.418474915929949e-06,0.5657500559004802,0.0,0.0,0.0
2019-12-03,0.0,0.0,0,-1.1616496807909556e-06,-4.692709458526224,0.0,0.0,0.0
2019-12-04,0.0,0.0,0,8.101802734770461e-07,5.013110206400597,0.0,0.0,0.0
2019-12-05,0.0,0.0,0,1.3062508907680059e-06,2.660018710452732,0.0,0.0,0.0
2019-12-06,0.0,0.0,0,-1.1602747506428277e-05,-0.4126887487732347,0.0,0.0,0.0
2019-12-09,0.0,0.0,0,-1.803428251060531e-06,-1.8391747332034356,0.0,0.0,0.0
2019-12-10,0.0,0.0,0,-6.280394379042201e-07,-2.664994444344302,0.0,0.0,0.0
2019-12-11,0.0,0.0,0,-2.572008537379593e-07,-5.933824934747008,0.0,0.0,0.0
2019-12-12,0.0,0.0,0,1.6265086378786595e-07,10.960481614763921,0.0,0.0,0.0
2019-12-13,0.0,0.0,0,3.833530534285298e-06,0.24185056969736252,0.0,0.0,0.0
2019-12-16,0.0,0.0,0,1.6097678931300525e-07,5.36183100190101,0.0,0.0,0.0
2019-12-17,0.0,0.0,0,8.058696552448e-08,4.781120944190661,0.0,0.0,0.0
2019-12-18,0.0,0.0,0,1.744735153597091e-07,2.9595080765034254,0.0,0.0,0.0
2019-12-19,0.0,0.0,0,7.952154837004421e-07,0.30926534226682634,0.0,0.0,0.0
2019-12-20,0.0,0.0,0,1.1883313508866872e-07,1.7535462551309138,0.0,0.0,0.0
2019-12-23,0.0,0.0,0,1.9252558729735112e-08,6.029496604710403,0.0,0.0,0.0
2019-12-24,0.0,0.0,0,8.214094601204303e-08,1.2747667338339852,0.0,0.0,0.0
2019-12-27,0.0,0.0,0,-1.769935602673831e-07,-0.3354021425075189,0.0,0.0,0.0
2019-12-30,0.0,0.0,0,1.2991242271945147e-08,2.146233348079477,0.0,0.0,0.0
2019-12-31,0.0,0.0,0,7.2447590064346825e-09,5.302445597665155,0.0,0.0,0.0
2020-01-02,0.0,0.0,0,1.908067590911393e-09,7.4686685215747275,0.0,0.0,0.0
2020-01-03,0.0,0.0,0,-1.4128804783913095e-08,-0.5438224960830667,0.0,0.0,0.0
2020-01-06,0.0,0.0,0,6.374024818558772e-10,4.97678703676138,0.0,0.0,0.0
2020-01-07,0.0,0.0,0,1.0022929566128763e-09,4.366948402083381,0.0,0.0,0.0
2020-01-08,0.0,0.0,0,3.733023032315714e-10,7.004578307587963,0.0,0.0,0.0
2020-01-09,0.0,0.0,0,2.5107463657388737e-10,8.296181580343273,0.0,0.0,0.0
2020-01-10,0.0,0.0,0,1.6283381627611356e-10,4.608355640191803,0.0,0.0,0.0
2020-01-13,0.0,0.0,0,9.208689761869543e-11,6.18041432170412,0.0,0.0,0.0
2020-01-14,0.0,0.0,0,5.903861817284964e-11,3.2717672790508914,0.0,0.0,0.0
2020-01-15,0.0,0.0,0,1.578167367250944e-11,10.587506735717398,0.0,0.0,0.0
2020-01-16,0.0,0.0,0,2.152402411360165e-11,4.672194519467212,0.0,0.0,0.0
2020-01-17,0.0,0.0,0,1.8796314933198727e-11,2.761790259908139,0.0,0.0,0.0
2020-01-24,0.0,0.0,0,-2.9751181514572e-13,-7.248841517160599,0.0,0.0,0.0
2020-01-27,0.0,0.0,0,5.5441304237142027e-14,4.8590150095501485,0.0,0.0,0.0
2020-01-28,0.0,0.0,0,1.2701211309075182e-12,0.24046220477839597,0.0,0.0,0.0
2020-01-29,0.0,0.0,0,2.0300982680586344e-14,4.120928129485492,0.0,0.0,0.0
2020-01-30,0.0,0.0,0,-2.657138948594431e-14,-1.8708901711374892,0.0,0.0,0.0
2020-01-31,0.0,0.0,0,,14.528603050665879,0.0,0.0,0.0
