n_days,days_in_pos,total_volbp,ann_volbp,ann_vol,sharpe,t_naive,t_nw,nw_lags,max_dd_volbp,psr_0,n_trades,mean_volbp,median_volbp,std_volbp,hit_rate,t_trade,mean_hold_days,total,top3_share,n,pnl_ex_top,root,arm,entry_richness,max_hold,take_profit,key
1837,84,-46.86447350921073,-6.4288771498753965,9.87518769636141,-0.651013160210025,-1.7581758703347075,-1.7877632029080532,2,-62.049219305668956,0.05000313266843378,33,-1.4201355608851738,-2.5456317893529845,4.451838342026038,0.3333333333333333,-1.8609271310612656,1.5757575757575757,-46.86447350921073,-0.4288528779951362,33,-66.96243784936257,ZB,B,1.25,42,2.0,ZB/B/e1.25/x1/h42/tp2/cm1
1837,83,-38.84375051687957,-5.328592885276892,9.771838792310835,-0.5453009406448459,-1.4726813749867758,-1.462551413343047,2,-54.0284963133378,0.08329808133393307,32,-1.2138672036524867,-2.2885214844304054,4.679130052259812,0.34375,-1.490991587221964,1.625,-38.843750516879574,-0.5439978463747952,32,-59.974667143181904,ZB,B,1.25,42,4.0,ZB/B/e1.25/x1/h42/tp4/cm1
1837,68,-46.678720625072785,-6.403395534849397,8.885549467133645,-0.7206527360558428,-1.9462498285216037,-1.9887740772792435,2,-53.141619870309164,0.033082155181474816,25,-1.8671488250029113,-2.771437957174495,4.771763668357663,0.28,-1.9967992152034912,1.76,-46.678720625072785,-0.41243634664520923,25,-65.93072162575018,ZB,B,1.5,10,-1.0,ZB/B/e1.5/x1/h10/tpna/cm1
1837,68,-52.733024081657334,-7.233926003580647,8.663015784351186,-0.8350355330816738,-2.25516074769155,-2.2613496747155657,2,-59.19592332689371,0.017701911852140297,26,-2.0281932339098976,-2.772800886767783,4.580478002582238,0.2692307692307692,-2.302511836185183,1.6538461538461537,-52.73302408165734,-0.36508433445549376,26,-71.98502508233474,ZB,B,1.5,10,2.0,ZB/B/e1.5/x1/h10/tp2/cm1
1837,67,-44.71230108932617,-6.133641738982141,8.545430221701633,-0.7177686295308329,-1.9384607901278015,-1.8858365397871961,2,-51.17520033456254,0.03555017957366733,25,-1.788492043573047,-2.771437957174495,4.901616302812151,0.28,-1.8620103405432222,1.72,-44.712301089326175,-0.47369156886232944,25,-65.89214113977394,ZB,B,1.5,10,4.0,ZB/B/e1.5/x1/h10/tp4/cm1
1837,68,-46.678720625072785,-6.403395534849397,8.885549467133645,-0.7206527360558428,-1.9462498285216037,-1.9887740772792435,2,-53.141619870309164,0.033082155181474816,25,-1.8671488250029113,-2.771437957174495,4.771763668357663,0.28,-1.9967992152034912,1.76,-46.678720625072785,-0.41243634664520923,25,-65.93072162575018,ZB,B,1.5,21,-1.0,ZB/B/e1.5/x1/h21/tpna/cm1
1837,68,-52.733024081657334,-7.233926003580647,8.663015784351186,-0.8350355330816738,-2.25516074769155,-2.2613496747155657,2,-59.19592332689371,0.017701911852140297,26,-2.0281932339098976,-2.772800886767783,4.580478002582238,0.2692307692307692,-2.302511836185183,1.6538461538461537,-52.73302408165734,-0.36508433445549376,26,-71.98502508233474,ZB,B,1.5,21,2.0,ZB/B/e1.5/x1/h21/tp2/cm1
1837,67,-44.71230108932617,-6.133641738982141,8.545430221701633,-0.7177686295308329,-1.9384607901278015,-1.8858365397871961,2,-51.17520033456254,0.03555017957366733,25,-1.788492043573047,-2.771437957174495,4.901616302812151,0.28,-1.8620103405432222,1.72,-44.712301089326175,-0.47369156886232944,25,-65.89214113977394,ZB,B,1.5,21,4.0,ZB/B/e1.5/x1/h21/tp4/cm1
1837,68,-46.678720625072785,-6.403395534849397,8.885549467133645,-0.7206527360558428,-1.9462498285216037,-1.9887740772792435,2,-53.141619870309164,0.033082155181474816,25,-1.8671488250029113,-2.771437957174495,4.771763668357663,0.28,-1.9967992152034912,1.76,-46.678720625072785,-0.41243634664520923,25,-65.93072162575018,ZB,B,1.5,42,-1.0,ZB/B/e1.5/x1/h42/tpna/cm1
1837,68,-52.733024081657334,-7.233926003580647,8.663015784351186,-0.8350355330816738,-2.25516074769155,-2.2613496747155657,2,-59.19592332689371,0.017701911852140297,26,-2.0281932339098976,-2.772800886767783,4.580478002582238,0.2692307692307692,-2.302511836185183,1.6538461538461537,-52.73302408165734,-0.36508433445549376,26,-71.98502508233474,ZB,B,1.5,42,2.0,ZB/B/e1.5/x1/h42/tp2/cm1
1837,67,-44.71230108932617,-6.133641738982141,8.545430221701633,-0.7177686295308329,-1.9384607901278015,-1.8858365397871961,2,-51.17520033456254,0.03555017957366733,25,-1.788492043573047,-2.771437957174495,4.901616302812151,0.28,-1.8620103405432222,1.72,-44.712301089326175,-0.47369156886232944,25,-65.89214113977394,ZB,B,1.5,42,4.0,ZB/B/e1.5/x1/h42/tp4/cm1
1837,44,-65.79099214101912,-9.025220478789775,8.272192857457306,-1.0910311974476783,-2.9465221939845976,-2.8945305354509276,2,-65.79099214101912,1.2587400903830564e-05,15,-4.386066142734608,-3.225027345199554,5.505497027465129,0.2,-3.193786533448581,2.0,-65.79099214101912,-0.13289435071381964,15,-74.53424332441786,ZB,B,2.0,10,-1.0,ZB/B/e2/x1/h10/tpna/cm1
