entry_date,side,entry_z,symbol,exit_date,held_days,reason,pnl,pnl_volbp
2024-09-09,1,-3.0352713856986484,UBZ24,2024-09-19,10,max_hold,230473.87782642664,7.375164090445653
2024-09-19,1,-3.5206348047342555,UBZ24,2024-09-20,1,z_exit,-79392.81809915144,-2.540570179172846
2024-11-08,-1,2.7807664454947676,UBZ24,2024-11-12,4,z_exit,91905.01176429677,2.9409603764574967
2025-01-14,-1,2.9518557469568782,UBH25,2025-01-24,10,max_hold,35995.321039408154,1.151850273261061
2025-04-07,1,-2.6814327854651943,UBM25,2025-04-17,10,max_hold,-17219.83661973069,-0.551034771831382
2025-11-26,1,-3.28637215220789,UBH26,2025-12-01,5,z_exit,39765.781027000456,1.2725049928640146
2025-12-11,-1,2.515328963935193,UBH26,2025-12-12,1,z_exit,-37883.99621629424,-1.2122878789214158
2026-02-25,1,-3.1861452853618535,UBM26,2026-02-26,1,z_exit,4048.353758079771,0.12954732025855267
2026-03-10,-1,2.5753012125069734,UBM26,2026-03-13,3,z_exit,-41839.2976637847,-1.3388575252411106
2026-04-08,-1,2.8056735282075165,UBM26,2026-04-09,1,z_exit,14643.320282374363,0.4685862490359796
2026-05-05,-1,8.360473339720697,UBM26,2026-05-06,1,z_exit,-188759.31138721568,-6.040297964390902
2026-05-08,-1,3.655698107172345,UBM26,2026-05-12,4,z_exit,-152288.48509049445,-4.873231522895822
2026-05-22,1,-2.959987423438962,UBM26,2026-05-25,0,roll,-15625.0,-0.5
2026-05-26,1,-5.28507581635078,UBU26,2026-05-27,1,z_exit,-103885.79647960227,-3.324345487347273
