symbol,recomputed_rate,exchange_rate,diff_bp,ok,note
ZQH21,0.0696774193548387,0.06999999999999318,-0.03225806451544744,True,
ZQJ21,0.06899999999999999,0.06999999999999318,-0.09999999999931869,True,
ZQK21,0.05806451612903226,0.060000000000002274,-0.1935483870970013,True,
ZQM21,0.07800000000000003,0.0799999999999983,-0.1999999999998267,True,
ZQN21,0.09806451612903228,0.09999999999999432,-0.19354838709620403,True,
ZQQ21,0.09225806451612903,0.09250000000000114,-0.024193548387210773,True,
ZQU21,0.07933333333333334,0.07899999999999352,0.03333333333398192,True,
ZQV21,0.07903225806451614,0.0799999999999983,-0.09677419354821581,True,
ZQX21,0.07966666666666668,0.0799999999999983,-0.03333333333316174,True,
ZQZ21,0.07967741935483871,0.0799999999999983,-0.03225806451595814,True,
ZQF22,0.07935483870967742,0.07899999999999352,0.03548387096839051,True,
ZQG22,0.08,0.0799999999999983,1.7069679003611782e-13,True,
ZQH22,0.2009677419354839,0.2009999999999934,-0.003225806450951607,True,
ZQJ22,0.33,0.3299999999999983,1.7208456881689926e-13,True,
ZQK22,0.7654838709677416,0.7650000000000006,0.04838709677410513,True,
ZQM22,1.2049999999999996,1.2049999999999983,1.3322676295501878e-13,True,
ZQN22,1.675806451612903,1.6749999999999972,0.0806451612905823,True,
ZQQ22,2.3299999999999996,2.3299999999999983,1.3322676295501878e-13,True,
ZQU22,2.5549999999999997,2.5575000000000045,-0.25000000000048317,True,
ZQV22,3.08,3.0799999999999983,1.7763568394002505e-13,True,
ZQX22,3.78,3.780000000000001,-1.3322676295501878e-13,True,
ZQZ22,4.104193548387096,4.102500000000006,0.16935483870899048,True,
ZQF23,4.330000000000001,4.329999999999998,2.6645352591003757e-13,True,
ZQG23,4.569999999999999,4.569999999999993,6.217248937900877e-13,True,
ZQH23,4.649032258064517,4.650000000000006,-0.09677419354883199,True,
ZQJ23,4.830000000000001,4.829999999999998,2.6645352591003757e-13,True,
ZQK23,5.055806451612904,5.055999999999997,-0.019354838709340072,True,
ZQM23,5.076333333333333,5.075000000000003,0.1333333333330522,True,
ZQN23,5.120000000000001,5.1200000000000045,-3.552713678800501e-13,True,
ZQQ23,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQU23,5.330000000000001,5.329999999999998,2.6645352591003757e-13,True,
ZQV23,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQX23,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQZ23,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQF24,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQG24,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQH24,5.330000000000001,5.332499999999996,-0.24999999999950617,True,
ZQJ24,5.330000000000001,5.329999999999998,2.6645352591003757e-13,True,
ZQK24,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQM24,5.330000000000001,5.332499999999996,-0.24999999999950617,True,
ZQN24,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQQ24,5.330000000000002,5.329999999999998,3.552713678800501e-13,True,
ZQU24,5.130000000000001,5.1299999999999955,5.329070518200751e-13,True,
ZQV24,4.830000000000002,4.829999999999998,3.552713678800501e-13,True,
ZQX24,4.638333333333334,4.640000000000001,-0.16666666666669272,True,
ZQZ24,4.475161290322581,4.474999999999994,0.016129032258671572,True,
ZQF25,4.330000000000001,4.327500000000001,0.2500000000000391,True,
ZQG25,4.329999999999999,4.329999999999998,8.881784197001252e-14,True,
ZQH25,4.330000000000001,4.329999999999998,2.6645352591003757e-13,True,
ZQJ25,4.33,4.329999999999998,1.7763568394002505e-13,True,
ZQK25,4.33,4.329999999999998,1.7763568394002505e-13,True,
ZQM25,4.33,4.329999999999998,1.7763568394002505e-13,True,
ZQN25,4.330000000000001,4.329999999999998,2.6645352591003757e-13,True,
ZQQ25,4.33,4.329999999999998,1.7763568394002505e-13,True,
ZQU25,4.224666666666667,4.224999999999994,-0.033333333332752346,True,
ZQV25,4.088064516129029,4.087500000000006,0.0564516129023751,True,
ZQX25,3.8763333333333327,3.8774999999999977,-0.11666666666649839,True,
ZQZ25,3.720645161290322,3.7210000000000036,-0.03548387096814487,True,
ZQF26,3.64,3.6400000000000006,-4.440892098500626e-14,True,
ZQG26,3.64,3.6400000000000006,-4.440892098500626e-14,True,
ZQH26,3.64,3.6400000000000006,-4.440892098500626e-14,True,
ZQJ26,3.64,3.6400000000000006,-4.440892098500626e-14,True,
ZQK26,3.6277419354838716,3.6299999999999955,-0.225806451612387,True,
ZQM26,3.6253333333333324,3.625,0.033333333333240844,True,
