,engine_per_unit,panel_per_unit,diff
2022-06-21,-499.3912056454271,-535.372766935778,35.98156129035095
2022-06-22,-853.5512056453616,-889.5327669357125,35.981561290350896
2022-06-23,-749.3862056452786,-785.3677669356296,35.98156129035101
2022-06-24,-597.9802056454549,-633.9617669358067,35.981561290351806
2022-06-27,-516.7462056453124,-552.7277669356636,35.981561290351124
2022-06-28,-440.34370564540075,-476.3252669357528,35.98156129035203
2022-06-29,-520.2037056452886,-556.1852669356407,35.98156129035215
2022-06-30,-531.9977056453574,-567.9792669357089,35.981561290351465
2022-07-01,-518.1152056452908,-554.0967669356426,35.981561290351806
2022-07-05,-424.3602056452779,-460.34176693562915,35.98156129035124
2022-07-06,-306.3152056453058,-342.2967669356576,35.981561290351806
2022-07-07,-264.65770564526514,-300.63926693561655,35.98156129035141
2022-07-08,-257.7302056453894,-293.7117669357413,35.98156129035192
2022-07-11,-257.7302056453894,-293.7117669357413,35.98156129035192
2022-07-12,-302.8702056453488,-338.85176693570025,35.981561290351465
2022-07-13,-535.6227056453341,-571.6042669356862,35.98156129035203
2022-07-14,-420.98770564537966,-456.9692669357312,35.98156129035152
2022-07-15,-292.48520564533806,-328.46676693569015,35.98156129035209
2022-07-18,-292.48520564533806,-328.46676693569015,35.98156129035209
2022-07-19,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-20,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-21,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-22,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-25,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-26,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-27,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-28,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-07-29,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-08-01,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-08-02,-422.36045564541456,-396.5340169357667,-25.826438709647846
2022-08-03,-422.36045564541456,-396.5340169357667,-25.826438709647846
