,engine_mtm_per_unit
2022-01-11,-444.84645564541273
2022-01-12,-444.84645564541273
2022-01-13,-444.84645564541273
2022-01-14,-444.84645564541273
2022-01-18,-444.84645564541273
2022-01-19,-444.84645564541273
2022-01-20,-444.84645564541273
2022-01-21,-444.84645564541273
2022-01-24,-444.84645564541273
2022-01-25,-444.84645564541273
2022-01-26,-444.84645564541273
2022-01-27,-444.84645564541273
2022-01-28,-444.84645564541273
2022-01-31,-444.84645564541273
2022-02-01,-444.84645564541273
2022-02-02,-444.84645564541273
2022-02-03,-444.84645564541273
2022-02-04,-444.84645564541273
2022-02-07,-444.84645564541273
2022-02-08,-444.84645564541273
2022-02-09,-444.84645564541273
2022-02-10,-444.84645564541273
2022-02-11,-455.2839556452553
2022-02-14,-361.53895564539977
2022-02-15,-351.1239556454684
2022-02-16,-423.7104072582343
2022-02-17,-423.7104072582343
2022-02-18,-423.7104072582343
2022-02-22,-423.7104072582343
2022-02-23,-423.7104072582343
2022-02-24,-423.7104072582343
2022-02-25,-423.7104072582343
2022-02-28,-423.7104072582343
2022-03-01,-423.7104072582343
2022-03-02,-423.7104072582343
2022-03-03,-423.7104072582343
2022-03-04,-423.7104072582343
2022-03-07,-281.34040725819006
2022-03-08,-199.389407258237
2022-03-09,-291.5561814517527
2022-03-10,-291.5561814517527
2022-03-11,-291.5561814517527
2022-03-14,-291.5561814517527
2022-03-15,-217.25718145184797
2022-03-16,-225.24893145178345
2022-03-17,-148.5466814518454
2022-03-18,-85.68193145184726
2022-03-21,-116.20493145185893
2022-03-22,-126.62493145184948
2022-03-23,-33.56693145175644
2022-03-24,47.68706854819728
2022-03-25,60.54031854827243
2022-03-28,-8.549931451755493
2022-03-29,78.24256854816949
2022-03-30,28.066794354572508
2022-03-31,28.066794354572508
2022-04-01,28.066794354572508
2022-04-04,28.066794354572508
2022-04-05,28.066794354572508
2022-04-06,28.066794354572508
2022-04-07,28.066794354572508
2022-04-08,28.066794354572508
2022-04-11,28.066794354572508
2022-04-12,28.066794354572508
2022-04-13,28.066794354572508
2022-04-14,28.066794354572508
2022-04-18,28.066794354572508
2022-04-19,28.066794354572508
2022-04-20,28.066794354572508
2022-04-21,28.066794354572508
2022-04-22,28.066794354572508
2022-04-25,28.066794354572508
2022-04-26,28.066794354572508
2022-04-27,28.066794354572508
2022-04-28,28.066794354572508
2022-04-29,28.066794354572508
2022-05-02,28.066794354572508
2022-05-03,28.066794354572508
2022-05-04,28.066794354572508
2022-05-05,28.066794354572508
2022-05-06,28.066794354572508
2022-05-09,28.066794354572508
2022-05-10,28.066794354572508
2022-05-11,28.066794354572508
2022-05-12,28.066794354572508
2022-05-13,28.066794354572508
2022-05-16,28.066794354572508
2022-05-17,28.066794354572508
2022-05-18,28.066794354572508
2022-05-19,28.066794354572508
2022-05-20,28.066794354572508
2022-05-23,28.066794354572508
2022-05-24,28.066794354572508
2022-05-25,28.066794354572508
2022-05-26,28.066794354572508
2022-05-27,28.066794354572508
2022-05-31,28.066794354572508
2022-06-01,28.066794354572508
2022-06-02,28.066794354572508
2022-06-03,28.066794354572508
2022-06-06,28.066794354572508
2022-06-07,28.066794354572508
2022-06-08,28.066794354572508
2022-06-09,-50.414205645454814
2022-06-10,-321.3242056453191
2022-06-13,-346.37120564531625
2022-06-14,-422.29420564534644
2022-06-15,-447.28620564535595
2022-06-16,-541.0412056453686
2022-06-17,-568.8262056454424
2022-06-21,-499.3912056454271
2022-06-22,-853.5512056453616
2022-06-23,-749.3862056452786
2022-06-24,-597.9802056454549
2022-06-27,-516.7462056453124
2022-06-28,-440.34370564540075
2022-06-29,-520.2037056452886
2022-06-30,-531.9977056453574
2022-07-01,-518.1152056452908
2022-07-05,-424.3602056452779
2022-07-06,-306.3152056453058
2022-07-07,-264.65770564526514
2022-07-08,-257.7302056453894
2022-07-11,-257.7302056453894
2022-07-12,-302.8702056453488
2022-07-13,-535.6227056453341
2022-07-14,-420.98770564537966
2022-07-15,-292.48520564533806
2022-07-18,-292.48520564533806
2022-07-19,-422.36045564541456
2022-07-20,-422.36045564541456
