entry_date,sr3_symbol,direction,units,entry_signal_bp,entry_residual_basis_bp,entry_residual_turn_bp,entry_cost,sr3_contracts,zq_contracts,exit_date,exit_signal_bp,exit_reason,exit_cost
2022-06-08,SR3M22,-1,1,2.8719049541209856,2.871865213209573,3.974091141212741e-05,61.808,-5,"{'ZQM22': 0.5333333333333333, 'ZQN22': 1.0, 'ZQQ22': 1.0, 'ZQU22': 0.6666666666666666}",2022-07-19,0.2803091826788051,signal,43.75225
2022-08-09,SR3M22,1,1,-1.7066518185767732,-1.7066533697915833,1.5512148100495097e-06,27.778750000000002,5,"{'ZQQ22': -1.0, 'ZQU22': -0.6666666666666666}",2022-08-11,-0.44934763173597264,signal,27.778750000000002
2022-09-09,SR3U22,-1,1,1.6248234693471593,1.6247483472189919,7.512212816740845e-05,60.54221774193549,-5,"{'ZQU22': 0.3333333333333333, 'ZQV22': 1.0, 'ZQX22': 1.0, 'ZQZ22': 0.6451612903225806}",2022-09-23,0.26740233088173676,signal,44.91721774193548
2022-09-28,SR3U22,-1,1,1.5703069375727283,1.5701946606693145,0.00011227690341380326,44.91721774193548,-5,"{'ZQU22': 0.3333333333333333, 'ZQV22': 1.0, 'ZQX22': 1.0, 'ZQZ22': 0.6451612903225806}",2022-10-05,-0.2523246535675028,signal,41.44471774193548
2022-11-21,SR3U22,1,1,-1.5086728125018842,-1.508682524546472,9.712044587636268e-06,27.554717741935484,5,"{'ZQX22': -1.0, 'ZQZ22': -0.6451612903225806}",2022-12-06,-0.23855011372381507,signal,29.40298387096774
2022-12-08,SR3Z22,1,1,-3.5558077259858094,-3.5560545869963867,0.0002468610105770962,58.6379435483871,5,"{'ZQZ22': -0.3548387096774194, 'ZQF23': -1.0, 'ZQG23': -1.0, 'ZQH23': -0.45161290322580644}",2023-03-02,-2.0056904387138084,roll,42.508870967741935
2023-03-02,SR3H23,1,1,-2.0056904387138084,-2.005799287303499,0.00010884858969064903,61.88641129032259,5,"{'ZQH23': -0.5483870967741935, 'ZQJ23': -1.0, 'ZQK23': -1.0, 'ZQM23': -0.6666666666666666}",2023-05-05,-0.1782540241223029,signal,43.90907258064516
2023-06-07,SR3M23,1,1,-2.503331936056296,-2.5060033068679877,0.002671370811692029,60.419000000000004,5,"{'ZQM23': -0.3333333333333333, 'ZQN23': -1.0, 'ZQQ23': -1.0, 'ZQU23': -0.6333333333333333}",2023-06-16,-0.31503639704920844,signal,60.419000000000004
2023-06-20,SR3M23,1,1,-3.802694521852398,-3.8055731624219593,0.002878640569561184,60.419000000000004,5,"{'ZQM23': -0.3333333333333333, 'ZQN23': -1.0, 'ZQQ23': -1.0, 'ZQU23': -0.6333333333333333}",2023-06-21,0.07769831696653459,signal,44.794
2023-06-27,SR3M23,1,1,-1.9086612649227805,-1.9124896365430908,0.0038283716203102113,44.794,5,"{'ZQM23': -0.3333333333333333, 'ZQN23': -1.0, 'ZQQ23': -1.0, 'ZQU23': -0.6333333333333333}",2023-08-04,-0.3578040667199812,signal,41.3215
