clock,split,scope,bucket,n_obs,n_days,n_clusters,sum_beta_kneg,se_cluster_kneg,t_cluster_kneg,se_nw_kneg,t_nw_kneg,sum_beta_kpos,se_cluster_kpos,t_cluster_kpos,se_nw_kpos,t_nw_kpos,diff_pos_minus_neg,se_cluster_diff,t_cluster_diff,se_nw_diff,t_nw_diff,beta_k0,se_cluster_k0,t_cluster_k0,abs_ratio_pos_over_neg,post_print_share,centroid_absbeta_D2,abs_beta_mass,abs_beta_mass_null
exec,D2C,bucket,SFR_FF,57600,44,44,0.00534234528818305,0.00743368405833417,0.7186672511584018,,,-0.0012147032613829935,0.00767169692814056,-0.15833566846564795,,,-0.006557048549566045,0.010650538052684707,-0.6156542061190227,,,0.0007669669290179744,0.001097416724191224,0.698883944550066,0.22737266048112703,0.1852515277568571,-1.4098088078900788,0.0545134251294979,0.0687228056079257
exec,D2C,bucket,TU,86331,67,67,0.032956434615482075,0.013777638688697413,2.3920234345031943,,,-0.00682513935359002,0.02190542903184985,-0.3115729595465338,,,-0.03978157396907209,0.030399960966616343,-1.3086060871182743,,,-0.0041241280356410824,0.0030725604643288247,-1.342244712031066,0.2070958049079662,0.1715653422586089,-1.3000851903169273,0.1573413582073075,0.1379486459493543
exec,D2C,bucket,FV,86336,67,67,0.03112164913157818,0.012355185557766128,2.5189139399056595,,,-0.01541996056235224,0.014144881031818051,-1.0901442385882196,,,-0.04654160969393042,0.019201981278263766,-2.423792056636079,,,0.00012623282866355438,0.0020647518812922736,0.061137044991841145,0.49547376159787365,0.3313155832760805,1.4934174002813787,0.12391774701892147,0.1280632083814005
exec,D2C,bucket,TY_UXY,86340,67,67,0.023686459298567768,0.01157244463972229,2.0467982380545813,,,-0.006900505154197767,0.012369300675189022,-0.557873507597657,,,-0.030586964452765535,0.013552039506042547,-2.257000832909873,,,0.0005123296853659952,0.0024942818320678396,0.20540168267242578,0.291327001102905,0.2256028107939248,2.6088949018710585,0.10312172165845805,0.10300066256594297
exec,D2C,bucket,US,86339,67,67,0.04065580883610228,0.013976780306417759,2.908810752175466,,,-0.02543190267254215,0.023267501130835665,-1.0930225179547999,,,-0.06608771150864444,0.029718908888275233,-2.2237596863698283,,,-0.005489135550810706,0.004355547620846353,-1.2602630090734903,0.6255416729025612,0.38482044682717753,0.5602107452891886,0.1594417401248711,0.16824592148527928
exec,IDB,pooled,POOLED,402946,67,67,0.00011871168723587961,0.0016493345714791005,0.07197550411462036,,,0.00030799766020289687,0.0011565181285706863,0.2663145977517395,,,0.0001892859729670179,0.002213212712122743,0.0855254318440406,,,0.00048386457721959707,0.0003871999044552227,1.2496505594452,2.594501580884002,0.721797312506935,-4.517227075667737,0.010558720323530217,0.009929428450600778
exec,IDB,bucket,SFR_FF,57600,44,44,0.0004908020631150839,0.001667755999074761,0.29428889081338727,,,0.0010229301019978687,0.0011542516376594862,0.8862279841093382,,,0.0005321280388827849,0.0009141625989609199,0.582093425707447,,,8.839354997824492e-05,0.00014195235458883194,0.622698723344736,2.084200900675535,0.6757669061762581,-7.165650533187967,0.004506193987432076,0.003987670191229673
exec,IDB,bucket,TU,86331,67,67,0.002182955959933842,0.0029630293400692252,0.7367311320254566,,,-0.002383260975175711,0.0017249852595603522,-1.381612371448979,,,-0.004566216935109552,0.0037319522795772916,-1.2235464424606082,,,0.0007697547672847445,0.0003615514042573093,2.1290327135250857,1.0917586148865501,0.5219333660761634,-0.7370846965298496,0.033404176903109636,0.020482896010060786
exec,IDB,bucket,FV,86336,67,67,-0.050124454717604974,0.01489035256736139,-3.3662369303111244,,,0.001289015658552134,0.020329148686060845,0.06340726207762834,,,0.05141347037615711,0.026631235906412063,1.9305701979748588,,,0.005340171826393219,0.003932797990479043,1.3578556130574984,0.025716302866819998,0.025071555160958603,-1.236365060324037,0.19934314915700319,0.1864229311665561
exec,IDB,bucket,TY_UXY,86340,67,67,-0.008543841860120192,0.011563424012174162,-0.7388678172767076,,,-0.013738166591925671,0.01352335178293542,-1.0158847312735972,,,-0.005194324731805473,0.01725859322319342,-0.30097034356339897,,,0.0038952338571086238,0.0033924766271731356,1.148197698963787,1.6079612447008012,0.6165587191788483,2.195304112606251,0.14498470774892286,0.11077155253426148
exec,IDB,bucket,US,86339,67,67,-0.005549730389755182,0.01659853646915737,-0.3343505856716605,,,0.03769957657780111,0.018737734000485003,2.011960281687492,,,0.0432493069675563,0.018151497614857424,2.3826853235600645,,,0.008322530591949621,0.005378910906971173,1.5472519876028175,6.793046495987379,0.8716804781653879,0.8217559477566511,0.21079023419788273,0.18277468979172748
diss,all,pooled,POOLED,402946,67,67,0.015914389711163292,0.008139506123549467,1.9552033587295052,0.006676969384373727,2.383475016136531,-0.001142731556237557,0.009013853597435336,-0.12677502955702458,0.0069319695007800655,-0.1648494783638277,-0.01705712126740085,0.014560106209612518,-1.1714970359309476,0.009964061316460762,-1.7118643418243782,-0.0012361114618728,0.0021249129439855413,-0.5817233432416848,0.07180492478677819,0.06699439713907161,-0.5700149330797228,0.07190393668753722,0.0632057509982699
diss,all,bucket,SFR_FF,57600,44,44,0.008244014971789473,0.007132332005243549,1.1558652858179674,0.00836868847206894,0.9851023848365758,-0.007378010544348074,0.00984119807905598,-0.7497065382770766,0.00898669535292079,-0.820992617931588,-0.015622025516137549,0.012241374801132906,-1.276165934784692,0.012899922469796201,-1.2110170082583722,-0.0008304387147679961,0.0022131864294136386,-0.375223118907345,0.8949535595938612,0.4722825818410418,0.013061649932991028,0.05180223282304523,0.06240673419095306
diss,all,bucket,TU,86331,67,67,0.02628297997933864,0.01692764835103246,1.552665759253888,0.015711652514584427,1.6728335835419808,-0.00221464464228573,0.023561036433919928,-0.09399606203644718,0.02040087117813243,-0.10855637599729535,-0.028497624621624366,0.03363102340741697,-0.8473612080249545,0.02800751052382266,-1.0174993810101338,-0.00014390045964119484,0.0038771553811017792,-0.03711495813208868,0.08426155040359533,0.07771330669452459,2.3243596337198484,0.17059909984280397,0.1641302279417267
diss,all,bucket,FV,86336,67,67,0.025483952239888898,0.013778168655630842,1.8495892216759993,0.015557385854405125,1.638061334878638,-0.018006643882755156,0.016583505963663984,-1.0858164686170344,0.01771144707278853,-1.016667006865868,-0.04349059612264406,0.024199510052826157,-1.7971684562086818,0.024927712553388263,-1.744668550293142,-2.205409965255215e-06,0.0024846817275204496,-0.000887602601503441,0.7065875698264007,0.4140353429963614,-0.3253229686656674,0.1752540457208244,0.16007366549075128
diss,all,bucket,TY_UXY,86340,67,67,0.007589601144633284,0.01653025139191111,0.4591340424711973,0.01711902313955873,0.44334312085221694,0.00847723624322716,0.0173931621986593,0.48738901796020745,0.015815012404048312,0.536024634483193,0.0008876350985938704,0.02522676091591425,0.03518624929900959,0.023021234837896434,0.0385572322616113,-0.00384725611607775,0.004175469823925642,-0.9213947838954045,1.1169541167814248,0.5276232054002283,-0.2955448717339566,0.18205707109702876,0.15999048046924497
diss,all,bucket,US,86339,67,67,0.01730436038173719,0.016759299144696142,1.0325229135380367,0.017589588869831595,0.9837842436110823,0.01546275140299495,0.023798546833672846,0.6497351082426814,0.023518149273940338,0.6574816420664826,-0.001841608978742238,0.029229302472614207,-0.06300557396016192,0.02995854933898106,-0.06147190098907754,-0.002448751084809062,0.005817918190764255,-0.4208981640024382,0.8935754377442434,0.4718985153338974,0.7794699888100891,0.21714550201174979,0.18701451751306822
diss,block,pooled,POOLED,402946,67,67,0.011125709362757124,0.005169448715079612,2.1522042244664736,,,-0.015383815658922682,0.006856860894840785,-2.2435653712178585,,,-0.02650952502167981,0.008091121409972327,-3.2763721712304004,,,0.0014858466803898457,0.001460341023391957,1.017465548518692,1.382726723962375,0.5803127610299171,-1.0667685455557814,0.0711892454013152,0.06358914003684346
diss,block,bucket,SFR_FF,57600,44,44,-0.019930821812826696,0.014990981695495995,-1.3295207890764662,,,-0.02519607376655246,0.01914058394504541,-1.3163691264014195,,,-0.005265251953725764,0.015149658525779017,-0.3475492166880386,,,0.0028045631571299175,0.002885627986324567,0.9719073873767414,1.2641763597694329,0.5583382912354793,-1.5098319108370553,0.13679508362050957,0.12053498193367929
diss,block,bucket,TU,86331,67,67,0.00022332066707920345,0.011860190991980216,0.018829432614551608,,,-0.006624129428955221,0.013153980486937646,-0.5035836441701589,,,-0.006847450096034422,0.018268259370102725,-0.374827724815466,,,0.005127171496443083,0.002842938819177064,1.8034758475482169,29.661963290687694,0.9673863023538447,-1.6124418408029326,0.12773542345354896,0.12138162549915953
diss,block,bucket,FV,86336,67,67,0.022197189005429125,0.015363682458037741,1.4447831153797592,,,-0.01698827173564048,0.014350831971832675,-1.1837830565492287,,,-0.0391854607410696,0.019446364487106925,-2.0150532901432467,,,0.003908968848907719,0.0036023993122673375,1.0851014865554778,0.7653343732616495,0.43353507689742093,0.4252864470877855,0.14981123563094548,0.15147696324016635
